## FlyBase disease model annotation report
## Generated: Thu Jul 21 06:25:05 2022
## Using datasource: fb_2022_04_reporting
##
## FBgn ID	Gene symbol	HGNC ID	DO qualifier	DO ID	DO term	Allele used in model (FBal ID)	Allele used in model (symbol)	Based on orthology with (HGNC ID)	Based on orthology with (symbol)	Evidence/interacting alleles	Reference (FBrf ID)
FBgn0000008	a		exacerbates	DOID:2129	atypical teratoid rhabdoid tumor	FBal0299140	a[HMC03685]			modeled by FLYBASE:Snr1[KK101602]; FB:FBal0231379	FBrf0241270
FBgn0000028	acj6		model of	DOID:0110546	autosomal dominant nonsyndromic deafness 15			HGNC:9220	POU4F3	IEA	FBrf0241599
FBgn0000032	Acph-1		model of	DOID:0080953	amelogenesis imperfecta type 1J			HGNC:14376	ACP4	IEA	FBrf0241599
FBgn0000036	nAChRalpha1		model of	DOID:0060682	autosomal dominant nocturnal frontal lobe epilepsy 1			HGNC:1958	CHRNA4	IEA	FBrf0241599
FBgn0000036	nAChRalpha1		model of	DOID:0060684	autosomal dominant nocturnal frontal lobe epilepsy 3			HGNC:1962	CHRNB2	IEA	FBrf0241599
FBgn0000036	nAChRalpha1		model of	DOID:0060685	autosomal dominant nocturnal frontal lobe epilepsy 4			HGNC:1956	CHRNA2	IEA	FBrf0241599
FBgn0000036	nAChRalpha1		model of	DOID:0110666	congenital myasthenic syndrome 3A			HGNC:1965	CHRND	IEA	FBrf0241599
FBgn0000036	nAChRalpha1		model of	DOID:0110665	congenital myasthenic syndrome 3B			HGNC:1965	CHRND	IEA	FBrf0241599
FBgn0000036	nAChRalpha1		model of	DOID:0110664	congenital myasthenic syndrome 3C			HGNC:1965	CHRND	IEA	FBrf0241599
FBgn0000036	nAChRalpha1		model of	DOID:0110678	congenital myasthenic syndrome 4A			HGNC:1966	CHRNE	IEA	FBrf0241599
FBgn0000036	nAChRalpha1		model of	DOID:0110677	congenital myasthenic syndrome 4B			HGNC:1966	CHRNE	IEA	FBrf0241599
FBgn0000036	nAChRalpha1		model of	DOID:0110679	congenital myasthenic syndrome 4C			HGNC:1966	CHRNE	IEA	FBrf0241599
FBgn0000036	nAChRalpha1		model of	DOID:0080110	multiple pterygium syndrome			HGNC:1965	CHRND	IEA	FBrf0241599
FBgn0000036	nAChRalpha1		model of	DOID:0080110	multiple pterygium syndrome			HGNC:1967	CHRNG	IEA	FBrf0241599
FBgn0000037	mAChR-A		ameliorates	DOID:4252	Alexander disease	FBal0209960	mAChR-A[GD630]			modeled by FLYBASE:Hsap\GFAP[R79H.UAS]; FB:FBal0283570	FBrf0230868
FBgn0000037	mAChR-A		ameliorates	DOID:4252	Alexander disease	FBal0236031	mAChR-A[KK109077]			modeled by FLYBASE:Hsap\GFAP[R79H.UAS]; FB:FBal0283570	FBrf0230868
FBgn0000037	mAChR-A		ameliorates	DOID:0050752	amyotrophic lateral sclerosis type 8	FBal0292081	mAChR-A[HMC02343]			modeled by FLYBASE:Hsap\MAPT[UAS.cAa]; FB:FBal0043132	FBrf0248788
FBgn0000037	mAChR-A		ameliorates	DOID:0050752	amyotrophic lateral sclerosis type 8	FBal0292081	mAChR-A[HMC02343]			modeled by FLYBASE:Vap33[P58S.UAS]; FB:FBal0241348	FBrf0248788
FBgn0000037	mAChR-A		model of	DOID:0060889	prune belly syndrome			HGNC:1952	CHRM3	IEA	FBrf0241599
FBgn0000038	nAChRbeta1		model of	DOID:0060682	autosomal dominant nocturnal frontal lobe epilepsy 1			HGNC:1958	CHRNA4	IEA	FBrf0241599
FBgn0000038	nAChRbeta1		model of	DOID:0060684	autosomal dominant nocturnal frontal lobe epilepsy 3			HGNC:1962	CHRNB2	IEA	FBrf0241599
FBgn0000038	nAChRbeta1		model of	DOID:0110663	congenital myasthenic syndrome 1A			HGNC:1955	CHRNA1	IEA	FBrf0241599
FBgn0000038	nAChRbeta1		model of	DOID:0110662	congenital myasthenic syndrome 1B			HGNC:1955	CHRNA1	IEA	FBrf0241599
FBgn0000038	nAChRbeta1		model of	DOID:0110681	congenital myasthenic syndrome 2A			HGNC:1961	CHRNB1	IEA	FBrf0241599
FBgn0000038	nAChRbeta1		model of	DOID:0110680	congenital myasthenic syndrome 2C			HGNC:1961	CHRNB1	IEA	FBrf0241599
FBgn0000038	nAChRbeta1		model of	DOID:0110666	congenital myasthenic syndrome 3A			HGNC:1965	CHRND	IEA	FBrf0241599
FBgn0000038	nAChRbeta1		model of	DOID:0110665	congenital myasthenic syndrome 3B			HGNC:1965	CHRND	IEA	FBrf0241599
FBgn0000038	nAChRbeta1		model of	DOID:0110664	congenital myasthenic syndrome 3C			HGNC:1965	CHRND	IEA	FBrf0241599
FBgn0000038	nAChRbeta1		model of	DOID:0110678	congenital myasthenic syndrome 4A			HGNC:1966	CHRNE	IEA	FBrf0241599
FBgn0000038	nAChRbeta1		model of	DOID:0110677	congenital myasthenic syndrome 4B			HGNC:1966	CHRNE	IEA	FBrf0241599
FBgn0000038	nAChRbeta1		model of	DOID:0110679	congenital myasthenic syndrome 4C			HGNC:1966	CHRNE	IEA	FBrf0241599
FBgn0000038	nAChRbeta1		model of	DOID:0080110	multiple pterygium syndrome			HGNC:1955	CHRNA1	IEA	FBrf0241599
FBgn0000038	nAChRbeta1		model of	DOID:0080110	multiple pterygium syndrome			HGNC:1965	CHRND	IEA	FBrf0241599
FBgn0000038	nAChRbeta1		model of	DOID:0080110	multiple pterygium syndrome			HGNC:1967	CHRNG	IEA	FBrf0241599
FBgn0000039	nAChRalpha2		model of	DOID:0060682	autosomal dominant nocturnal frontal lobe epilepsy 1			HGNC:1958	CHRNA4	IEA	FBrf0241599
FBgn0000039	nAChRalpha2		model of	DOID:0060685	autosomal dominant nocturnal frontal lobe epilepsy 4			HGNC:1956	CHRNA2	IEA	FBrf0241599
FBgn0000039	nAChRalpha2		model of	DOID:0110666	congenital myasthenic syndrome 3A			HGNC:1965	CHRND	IEA	FBrf0241599
FBgn0000039	nAChRalpha2		model of	DOID:0110665	congenital myasthenic syndrome 3B			HGNC:1965	CHRND	IEA	FBrf0241599
FBgn0000039	nAChRalpha2		model of	DOID:0110664	congenital myasthenic syndrome 3C			HGNC:1965	CHRND	IEA	FBrf0241599
FBgn0000039	nAChRalpha2		model of	DOID:0110678	congenital myasthenic syndrome 4A			HGNC:1966	CHRNE	IEA	FBrf0241599
FBgn0000039	nAChRalpha2		model of	DOID:0110677	congenital myasthenic syndrome 4B			HGNC:1966	CHRNE	IEA	FBrf0241599
FBgn0000039	nAChRalpha2		model of	DOID:0110679	congenital myasthenic syndrome 4C			HGNC:1966	CHRNE	IEA	FBrf0241599
FBgn0000039	nAChRalpha2		model of	DOID:0080110	multiple pterygium syndrome			HGNC:1965	CHRND	IEA	FBrf0241599
FBgn0000039	nAChRalpha2		model of	DOID:0080110	multiple pterygium syndrome			HGNC:1967	CHRNG	IEA	FBrf0241599
FBgn0000042	Act5C		model of	DOID:0060229	Baraitser-Winter syndrome			HGNC:132	ACTB	IEA	FBrf0241599
FBgn0000042	Act5C		model of	DOID:0060229	Baraitser-Winter syndrome			HGNC:144	ACTG1	IEA	FBrf0241599
FBgn0000042	Act5C		model of	DOID:0110110	atrial heart septal defect 5			HGNC:143	ACTC1	IEA	FBrf0241599
FBgn0000042	Act5C		model of	DOID:0110550	autosomal dominant nonsyndromic deafness 20			HGNC:144	ACTG1	IEA	FBrf0241599
FBgn0000042	Act5C		model of	DOID:0080102	congenital fiber-type disproportion			HGNC:129	ACTA1	IEA	FBrf0241599
FBgn0000042	Act5C		model of	DOID:0110456	dilated cardiomyopathy 1R			HGNC:143	ACTC1	IEA	FBrf0241599
FBgn0000042	Act5C		model of	DOID:0110317	hypertrophic cardiomyopathy 11			HGNC:143	ACTC1	IEA	FBrf0241599
FBgn0000042	Act5C		model of	DOID:0110927	nemaline myopathy 3			HGNC:129	ACTA1	IEA	FBrf0241599
FBgn0000042	Act5C		ameliorates	DOID:0050890	synucleinopathy	FBal0152800	Act5C[G0010]			modeled by FLYBASE:Hsap\SNCA[QUAS.cOa]; FB:FBal0337971	FBrf0237620
FBgn0000042	Act5C		exacerbates	DOID:0050890	synucleinopathy	FBal0188266	Act5C[UASp.R.GFP]			modeled by FLYBASE:Hsap\SNCA[QUAS.cOa]; FB:FBal0337971	FBrf0237620
FBgn0000042	Act5C		exacerbates	DOID:680	tauopathy	FBal0095890	Act5C[UAS.GFP]			modeled by FLYBASE:Hsap\MAPT[V337M.UAS]; FB:FBal0126525	FBrf0193954
FBgn0000042	Act5C		ameliorates	DOID:680	tauopathy	FBal0152800	Act5C[G0010]			modeled by FLYBASE:Hsap\MAPT[V337M.UAS]; FB:FBal0126525	FBrf0193954
FBgn0000043	Act42A		model of	DOID:0060229	Baraitser-Winter syndrome			HGNC:132	ACTB	IEA	FBrf0241599
FBgn0000043	Act42A		model of	DOID:0060229	Baraitser-Winter syndrome			HGNC:144	ACTG1	IEA	FBrf0241599
FBgn0000043	Act42A		model of	DOID:0110110	atrial heart septal defect 5			HGNC:143	ACTC1	IEA	FBrf0241599
FBgn0000043	Act42A		model of	DOID:0110550	autosomal dominant nonsyndromic deafness 20			HGNC:144	ACTG1	IEA	FBrf0241599
FBgn0000043	Act42A		model of	DOID:0080102	congenital fiber-type disproportion			HGNC:129	ACTA1	IEA	FBrf0241599
FBgn0000043	Act42A		model of	DOID:0110456	dilated cardiomyopathy 1R			HGNC:143	ACTC1	IEA	FBrf0241599
FBgn0000043	Act42A		model of	DOID:0110317	hypertrophic cardiomyopathy 11			HGNC:143	ACTC1	IEA	FBrf0241599
FBgn0000043	Act42A		model of	DOID:0110927	nemaline myopathy 3			HGNC:129	ACTA1	IEA	FBrf0241599
FBgn0000044	Act57B		model of	DOID:0060229	Baraitser-Winter syndrome			HGNC:132	ACTB	IEA	FBrf0241599
FBgn0000044	Act57B		model of	DOID:0110110	atrial heart septal defect 5			HGNC:143	ACTC1	IEA	FBrf0241599
FBgn0000044	Act57B		model of	DOID:0080102	congenital fiber-type disproportion			HGNC:129	ACTA1	IEA	FBrf0241599
FBgn0000044	Act57B		model of	DOID:0110456	dilated cardiomyopathy 1R			HGNC:143	ACTC1	IEA	FBrf0241599
FBgn0000044	Act57B		model of	DOID:11984	hypertrophic cardiomyopathy	FBal0335682	Act57B[UAS.GFP]			CEA	FBrf0236636
FBgn0000044	Act57B		model of	DOID:11984	hypertrophic cardiomyopathy	FBal0335747	Act57B[A296S.UAS.GFP]			CEA	FBrf0236636
FBgn0000044	Act57B		model of	DOID:11984	hypertrophic cardiomyopathy	FBal0335748	Act57B[A296S.UAS]			CEA	FBrf0236636
FBgn0000044	Act57B		model of	DOID:0110317	hypertrophic cardiomyopathy 11			HGNC:143	ACTC1	IEA	FBrf0241599
FBgn0000044	Act57B		model of	DOID:0110317	hypertrophic cardiomyopathy 11	FBal0362572	Act57B[M306L.UAS]			CEA	FBrf0246480
FBgn0000044	Act57B		model of	DOID:0110317	hypertrophic cardiomyopathy 11	FBal0362573	Act57B[M306L.UAS.GFP]			CEA	FBrf0246480
FBgn0000044	Act57B		model of	DOID:0110927	nemaline myopathy 3			HGNC:129	ACTA1	IEA	FBrf0241599
FBgn0000045	Act79B		model of	DOID:0060229	Baraitser-Winter syndrome			HGNC:132	ACTB	IEA	FBrf0241599
FBgn0000045	Act79B		model of	DOID:13099	Moyamoya disease			HGNC:130	ACTA2	IEA	FBrf0241599
FBgn0000045	Act79B		model of	DOID:0110110	atrial heart septal defect 5			HGNC:143	ACTC1	IEA	FBrf0241599
FBgn0000045	Act79B		model of	DOID:0080102	congenital fiber-type disproportion			HGNC:129	ACTA1	IEA	FBrf0241599
FBgn0000045	Act79B		ameliorates	DOID:0080100	congenital myopathy	FBal0188259	Act79B[UASp.GFP]			modeled by FLYBASE:mst[JF03280]; FB:FBal0242456	FBrf0237663
FBgn0000045	Act79B		model of	DOID:0110456	dilated cardiomyopathy 1R			HGNC:143	ACTC1	IEA	FBrf0241599
FBgn0000045	Act79B		model of	DOID:0110317	hypertrophic cardiomyopathy 11			HGNC:143	ACTC1	IEA	FBrf0241599
FBgn0000045	Act79B		model of	DOID:0060610	megacystis-microcolon-intestinal hypoperistalsis syndrome			HGNC:145	ACTG2	IEA	FBrf0241599
FBgn0000045	Act79B		model of	DOID:0110927	nemaline myopathy 3			HGNC:129	ACTA1	IEA	FBrf0241599
FBgn0000045	Act79B		model of	DOID:0112279	spermatogenic failure 53			HGNC:28494	ACTL9	IEA	FBrf0241599
FBgn0000045	Act79B		model of	DOID:14004	thoracic aortic aneurysm			HGNC:130	ACTA2	IEA	FBrf0241599
FBgn0000046	Act87E		model of	DOID:0060229	Baraitser-Winter syndrome			HGNC:132	ACTB	IEA	FBrf0241599
FBgn0000046	Act87E		model of	DOID:13099	Moyamoya disease			HGNC:130	ACTA2	IEA	FBrf0241599
FBgn0000046	Act87E		model of	DOID:0110110	atrial heart septal defect 5			HGNC:143	ACTC1	IEA	FBrf0241599
FBgn0000046	Act87E		model of	DOID:0080102	congenital fiber-type disproportion			HGNC:129	ACTA1	IEA	FBrf0241599
FBgn0000046	Act87E		model of	DOID:0110456	dilated cardiomyopathy 1R			HGNC:143	ACTC1	IEA	FBrf0241599
FBgn0000046	Act87E		model of	DOID:0110317	hypertrophic cardiomyopathy 11			HGNC:143	ACTC1	IEA	FBrf0241599
FBgn0000046	Act87E		model of	DOID:0110927	nemaline myopathy 3			HGNC:129	ACTA1	IEA	FBrf0241599
FBgn0000046	Act87E		model of	DOID:14004	thoracic aortic aneurysm			HGNC:130	ACTA2	IEA	FBrf0241599
FBgn0000047	Act88F		model of	DOID:0060229	Baraitser-Winter syndrome			HGNC:132	ACTB	IEA	FBrf0241599
FBgn0000047	Act88F		model of	DOID:0110110	atrial heart septal defect 5			HGNC:143	ACTC1	IEA	FBrf0241599
FBgn0000047	Act88F		model of	DOID:0080102	congenital fiber-type disproportion			HGNC:129	ACTA1	IEA	FBrf0241599
FBgn0000047	Act88F		model of	DOID:422	congenital structural myopathy	FBal0000272	Act88F[6]			CEA with FLYBASE:Act88F[R372H]; FB:FBal0028753	FBrf0211153
FBgn0000047	Act88F		model of	DOID:422	congenital structural myopathy	FBal0028753	Act88F[R372H]			CEA with FLYBASE:Act88F[6]; FB:FBal0000272	FBrf0211153
FBgn0000047	Act88F		model of	DOID:422	congenital structural myopathy	FBal0038095	Act88F[M320]			CEA	FBrf0211153
FBgn0000047	Act88F		model of	DOID:422	congenital structural myopathy	FBal0062243	Act88F[G268D]			CEA	FBrf0211153
FBgn0000047	Act88F		model of	DOID:422	congenital structural myopathy	FBal0248514	Act88F[R256C]			CEA	FBrf0211153
FBgn0000047	Act88F		model of	DOID:0110456	dilated cardiomyopathy 1R			HGNC:143	ACTC1	IEA	FBrf0241599
FBgn0000047	Act88F		model of	DOID:0110317	hypertrophic cardiomyopathy 11			HGNC:143	ACTC1	IEA	FBrf0241599
FBgn0000047	Act88F		ameliorates	DOID:423	myopathy	FBal0294732	Act88F[+t4.0]			modeled by FLYBASE:Act88F[D154N]; FB:FBal0294735, FLYBASE:Act88F[6]; FB:FBal0000272	FBrf0220869
FBgn0000047	Act88F		ameliorates	DOID:423	myopathy	FBal0294732	Act88F[+t4.0]			modeled by FLYBASE:Act88F[D292V]; FB:FBal0294738, FLYBASE:Act88F[6]; FB:FBal0000272	FBrf0220869
FBgn0000047	Act88F		ameliorates	DOID:423	myopathy	FBal0294732	Act88F[+t4.0]			modeled by FLYBASE:Act88F[G15R]; FB:FBal0294733, FLYBASE:Act88F[6]; FB:FBal0000272	FBrf0220869
FBgn0000047	Act88F		ameliorates	DOID:423	myopathy	FBal0294732	Act88F[+t4.0]			modeled by FLYBASE:Act88F[I136M]; FB:FBal0294734, FLYBASE:Act88F[6]; FB:FBal0000272	FBrf0220869
FBgn0000047	Act88F		ameliorates	DOID:423	myopathy	FBal0294732	Act88F[+t4.0]			modeled by FLYBASE:Act88F[V163L]; FB:FBal0294736, FLYBASE:Act88F[6]; FB:FBal0000272	FBrf0220869
FBgn0000047	Act88F		ameliorates	DOID:423	myopathy	FBal0294732	Act88F[+t4.0]			modeled by FLYBASE:Act88F[V163M]; FB:FBal0294737, FLYBASE:Act88F[6]; FB:FBal0000272	FBrf0220869
FBgn0000047	Act88F		model of	DOID:423	myopathy	FBal0294733	Act88F[G15R]			CEA with FLYBASE:Act88F[6]; FB:FBal0000272	FBrf0220869
FBgn0000047	Act88F		model of	DOID:423	myopathy	FBal0294734	Act88F[I136M]			CEA with FLYBASE:Act88F[6]; FB:FBal0000272	FBrf0220869
FBgn0000047	Act88F		model of	DOID:423	myopathy	FBal0294735	Act88F[D154N]			CEA with FLYBASE:Act88F[6]; FB:FBal0000272	FBrf0220869
FBgn0000047	Act88F		model of	DOID:423	myopathy	FBal0294736	Act88F[V163L]			CEA with FLYBASE:Act88F[6]; FB:FBal0000272	FBrf0220869
FBgn0000047	Act88F		model of	DOID:423	myopathy	FBal0294737	Act88F[V163M]			CEA with FLYBASE:Act88F[6]; FB:FBal0000272	FBrf0220869
FBgn0000047	Act88F		model of	DOID:423	myopathy	FBal0294738	Act88F[D292V]			CEA with FLYBASE:Act88F[6]; FB:FBal0000272	FBrf0220869
FBgn0000047	Act88F		DOES NOT model	DOID:423	myopathy	FBal0000272	Act88F[6]			CEA with FLYBASE:cher[sko]; FB:FBal0101475	FBrf0236159
FBgn0000047	Act88F		model of	DOID:423	myopathy	FBal0000272	Act88F[6]			CEA with FLYBASE:cher[1]; FB:FBal0060473	FBrf0236159
FBgn0000047	Act88F		model of	DOID:423	myopathy	FBal0000272	Act88F[6]			CEA with FLYBASE:cher[CPTI001403]; FB:FBal0262156	FBrf0236159
FBgn0000047	Act88F		model of	DOID:423	myopathy	FBal0000272	Act88F[6]			CEA with FLYBASE:cher[EPS&Dgr;5]; FB:FBal0101476	FBrf0236159
FBgn0000047	Act88F		model of	DOID:3191	nemaline myopathy	FBal0000272	Act88F[6]			CEA	FBrf0227496
FBgn0000047	Act88F		model of	DOID:0110927	nemaline myopathy 3			HGNC:129	ACTA1	IEA	FBrf0241599
FBgn0000055	Adh		model of	DOID:14283	primary hypertrophic osteoarthropathy			HGNC:5154	HPGD	IEA	FBrf0241599
FBgn0000056	Adhr		model of	DOID:14283	primary hypertrophic osteoarthropathy			HGNC:5154	HPGD	IEA	FBrf0241599
FBgn0000057	adp		model of	DOID:9970	obesity	FBal0000386	adp[60]			CEA	FBrf0158903
FBgn0000057	adp		model of	DOID:9970	obesity	FBal0000386	adp[60]			CEA	FBrf0212749
FBgn0000061	al		model of	DOID:14744	Partington syndrome			HGNC:18060	ARX	IEA	FBrf0241599
FBgn0000061	al		model of	DOID:0112238	X-linked lissencephaly 2			HGNC:18060	ARX	IEA	FBrf0241599
FBgn0000061	al		model of	DOID:0112151	corpus callosum agenesis-abnormal genitalia syndrome			HGNC:18060	ARX	IEA	FBrf0241599
FBgn0000061	al		model of	DOID:0080468	developmental and epileptic encephalopathy 1			HGNC:18060	ARX	IEA	FBrf0241599
FBgn0000061	al		model of	DOID:0081045	frontonasal dysplasia 1			HGNC:449	ALX3	IEA	FBrf0241599
FBgn0000061	al		model of	DOID:0081046	frontonasal dysplasia 2			HGNC:450	ALX4	IEA	FBrf0241599
FBgn0000061	al		model of	DOID:0081047	frontonasal dysplasia 3			HGNC:1494	ALX1	IEA	FBrf0241599
FBgn0000061	al		model of	DOID:0112021	non-syndromic X-linked intellectual disability ARX-related			HGNC:18060	ARX	IEA	FBrf0241599
FBgn0000061	al		model of	DOID:0060285	parietal foramina			HGNC:450	ALX4	IEA	FBrf0241599
FBgn0000064	Ald1		ameliorates	DOID:3068	glioblastoma	FBal0220562	Ald1[JF02071]			modeled by FLYBASE:Pi3K92E[CAAX.UAS]; FB:FBal0156077, FLYBASE:btl::Egfr[&lgr;.UAS]; FB:FBal0065871	FBrf0242299
FBgn0000064	Ald1		model of	DOID:9869	hereditary fructose intolerance syndrome			HGNC:417	ALDOB	IEA	FBrf0241599
FBgn0000071	Ama		ameliorates	DOID:3070	high grade glioma	FBal0257193	Ama[HMS00297]			modeled by FLYBASE:Pi3K92E[CAAX.UAS]; FB:FBal0156077, FLYBASE:btl::Egfr[&lgr;.UAS]; FB:FBal0065871	FBrf0246843
FBgn0000075	amd		model of	DOID:0090123	aromatic L-amino acid decarboxylase deficiency			HGNC:2719	DDC	IEA	FBrf0241599
FBgn0000077	amx		ameliorates	DOID:8712	neurofibromatosis	FBal0159504	amx[f06362]			modeled by FLYBASE:Nf1[E2]; FB:FBal0197115	FBrf0223429
FBgn0000077	amx		ameliorates	DOID:8712	neurofibromatosis	FBal0209064	amx[GD1168]			modeled by FLYBASE:Nf1[E2]; FB:FBal0197115	FBrf0223429
FBgn0000083	AnxB9		model of	DOID:0080225	amyotrophic lateral sclerosis type 23			HGNC:535	ANXA11	IEA	FBrf0241599
FBgn0000084	AnxB10		ameliorates	DOID:12858	Huntington's disease	FBal0162808	AnxB10[d03410]			modeled by FLYBASE:Hsap\HTT[128Q.1-231.UAS]; FB:FBal0368452	FBrf0249076
FBgn0000097	aop		model of	DOID:9119	acute myeloid leukemia			HGNC:3495	ETV6	IEA	FBrf0241599
FBgn0000097	aop		exacerbates	DOID:680	tauopathy	FBal0119315	aop[EP2500]			modeled by FLYBASE:Hsap\MAPT[V337M.UAS]; FB:FBal0126525	FBrf0167629
FBgn0000100	RpLP0		exacerbates	DOID:680	tauopathy	FBal0009416	RpLP0[01544]			modeled by FLYBASE:Hsap\MAPT[GMR.Ex.PJ]; FB:FBal0137485	FBrf0217690
FBgn0000108	Appl		model of	DOID:0070028	APP-related cerebral amyloid angiopathy			HGNC:620	APP	IEA	FBrf0241599
FBgn0000108	Appl		model of	DOID:10652	Alzheimer's disease	FBal0221088	Appl[UAS.cCSa]			CEA	FBrf0206813
FBgn0000108	Appl		model of	DOID:10652	Alzheimer's disease	FBal0221088	Appl[UAS.cCSa]			is exacerbated by FLYBASE:Bace[UAS.cCSa]; FB:FBal0221090	FBrf0206813
FBgn0000108	Appl		model of	DOID:10652	Alzheimer's disease	FBal0221089	Appl[Abeta.UAS.Tag:HA]			CEA	FBrf0206813
FBgn0000108	Appl		model of	DOID:10652	Alzheimer's disease	FBal0028990	Appl[d]			CEA	FBrf0227377
FBgn0000108	Appl		model of	DOID:10652	Alzheimer's disease	FBal0028990	Appl[d]			is exacerbated by FLYBASE:kuz[UAS.cFa]; FB:FBal0057208	FBrf0227377
FBgn0000108	Appl		model of	DOID:10652	Alzheimer's disease	FBal0231851	Appl[KK102543]			CEA	FBrf0227377
FBgn0000108	Appl		model of	DOID:10652	Alzheimer's disease	FBal0028990	Appl[d]			CEA	FBrf0229288
FBgn0000108	Appl		model of	DOID:10652	Alzheimer's disease	FBal0028990	Appl[d]			is exacerbated by FLYBASE:Bace[UAS.cCSa]; FB:FBal0221090	FBrf0229288
FBgn0000108	Appl		model of	DOID:10652	Alzheimer's disease	FBal0221088	Appl[UAS.cCSa]			CEA with FLYBASE:Psn[UAS.cUa]; FB:FBal0358289	FBrf0234171
FBgn0000108	Appl		model of	DOID:10652	Alzheimer's disease	FBal0221088	Appl[UAS.cCSa]			is ameliorated by FLYBASE:Psn[UAS.cUa]; FB:FBal0358289	FBrf0234171
FBgn0000108	Appl		model of	DOID:10652	Alzheimer's disease	FBal0240847	Appl[JF02878]			CEA	FBrf0235362
FBgn0000108	Appl		model of	DOID:10652	Alzheimer's disease	FBal0221089	Appl[Abeta.UAS.Tag:HA]			CEA	FBrf0237026
FBgn0000108	Appl		model of	DOID:0080348	Alzheimer's disease 1	FBal0028990	Appl[d]			CEA	FBrf0206756
FBgn0000108	Appl		model of	DOID:0080348	Alzheimer's disease 1	FBal0221088	Appl[UAS.cCSa]			CEA	FBrf0228148
FBgn0000108	Appl		model of	DOID:0080348	Alzheimer's disease 1	FBal0221088	Appl[UAS.cCSa]			CEA	FBrf0234171
FBgn0000108	Appl		model of	DOID:0080348	Alzheimer's disease 1	FBal0365274	Appl[UAS.mRFP.EGFP]			CEA	FBrf0234171
FBgn0000108	Appl		model of	DOID:0080348	Alzheimer's disease 1			HGNC:620	APP	IEA	FBrf0241599
FBgn0000108	Appl		model of	DOID:0080348	Alzheimer's disease 1	FBal0028990	Appl[d]			CEA	FBrf0243022
FBgn0000108	Appl		model of	DOID:0080348	Alzheimer's disease 1	FBal0103093	Appl[sd.UAS]			CEA with FLYBASE:Scer\GAL4[GMR91H05]; FB:FBal0256021	FBrf0243022
FBgn0000108	Appl		model of	DOID:0080348	Alzheimer's disease 1	FBal0198740	Appl[GD3170]			CEA	FBrf0245314
FBgn0000108	Appl		model of	DOID:0080348	Alzheimer's disease 1	FBal0231851	Appl[KK102543]			CEA	FBrf0245314
FBgn0000108	Appl		model of	DOID:0080348	Alzheimer's disease 1	FBal0231851	Appl[KK102543]			is exacerbated by FLYBASE:CASK[HMC03260]; FB:FBal0292435	FBrf0245314
FBgn0000108	Appl		model of	DOID:0080348	Alzheimer's disease 1	FBal0231851	Appl[KK102543]			is exacerbated by FLYBASE:dlg1[JF02287]; FB:FBal0266603	FBrf0245314
FBgn0000108	Appl		model of	DOID:0080348	Alzheimer's disease 1	FBal0240847	Appl[JF02878]			CEA	FBrf0246614
FBgn0000108	Appl		model of	DOID:0080348	Alzheimer's disease 1	FBal0028990	Appl[d]			CEA	FBrf0247440
