gene_id,gene_name,hgnc_id,do_qualifier,do_id,do_term,allele_used_in_model_fbal,allele_used_in_model_symbol,orthology_with_hgnc_id,orthology_with_symbol,evidence,reference
FBgn0000037,mAChR-A,NA,ameliorates,DOID:4252,Alexander disease,FBal0236031,mAChR-A[KK109077],NA,NA,modeled by FLYBASE:Hsap\GFAP[R79H.UAS]; FB:FBal0283570,FBrf0230868
FBgn0000037,mAChR-A,NA,ameliorates,DOID:0050752,amyotrophic lateral sclerosis,FBal0292081,mAChR-A[HMC02343],NA,NA,modeled by FLYBASE:Hsap\MAPT[UAS.cAa]; FB:FBal0043132,FBrf0248788
FBgn0000037,mAChR-A,NA,ameliorates,DOID:0050752,amyotrophic lateral sclerosis,FBal0292081,mAChR-A[HMC02343],NA,NA,modeled by FLYBASE:Vap33[P58S.UAS]; FB:FBal0241348,FBrf0248788
FBgn0000037,mAChR-A,NA,model of,DOID:0060889,prune belly syndrome,NA,NA,HGNC:1952,CHRM3,IEA,FBrf0241599
FBgn0000038,nAChRbeta1,NA,model of,DOID:0060682,autosomal dominant nocturnal frontal lobe epilepsy,NA,NA,HGNC:1958,CHRNA4,IEA,FBrf0241599
FBgn0000038,nAChRbeta1,NA,model of,DOID:0060684,autosomal dominant nocturnal frontal lobe epilepsy,NA,NA,HGNC:1962,CHRNB2,IEA,FBrf0241599
FBgn0000038,nAChRbeta1,NA,model of,DOID:0110663,congenital myasthenic syndrome,NA,NA,HGNC:1955,CHRNA1,IEA,FBrf0241599
FBgn0000038,nAChRbeta1,NA,model of,DOID:0110662,congenital myasthenic syndrome,NA,NA,HGNC:1955,CHRNA1,IEA,FBrf0241599
FBgn0000038,nAChRbeta1,NA,model of,DOID:0110681,congenital myasthenic syndrome,NA,NA,HGNC:1961,CHRNB1,IEA,FBrf0241599
FBgn0000038,nAChRbeta1,NA,model of,DOID:0110680,congenital myasthenic syndrome,NA,NA,HGNC:1961,CHRNB1,IEA,FBrf0241599
FBgn0000038,nAChRbeta1,NA,model of,DOID:0110666,congenital myasthenic syndrome,NA,NA,HGNC:1965,CHRND,IEA,FBrf0241599
FBgn0000038,nAChRbeta1,NA,model of,DOID:0110665,congenital myasthenic syndrome,NA,NA,HGNC:1965,CHRND,IEA,FBrf0241599
FBgn0000038,nAChRbeta1,NA,model of,DOID:0110664,congenital myasthenic syndrome,NA,NA,HGNC:1965,CHRND,IEA,FBrf0241599
FBgn0000038,nAChRbeta1,NA,model of,DOID:0110678,congenital myasthenic syndrome,NA,NA,HGNC:1966,CHRNE,IEA,FBrf0241599
FBgn0000038,nAChRbeta1,NA,model of,DOID:0110677,congenital myasthenic syndrome,NA,NA,HGNC:1966,CHRNE,IEA,FBrf0241599
FBgn0000038,nAChRbeta1,NA,model of,DOID:0110679,congenital myasthenic syndrome,NA,NA,HGNC:1966,CHRNE,IEA,FBrf0241599
FBgn0000038,nAChRbeta1,NA,model of,DOID:0080110,multiple pterygium syndrome,NA,NA,HGNC:1955,CHRNA1,IEA,FBrf0241599
FBgn0000038,nAChRbeta1,NA,model of,DOID:0080110,multiple pterygium syndrome,NA,NA,HGNC:1965,CHRND,IEA,FBrf0241599
FBgn0000038,nAChRbeta1,NA,model of,DOID:0080110,multiple pterygium syndrome,NA,NA,HGNC:1967,CHRNG,IEA,FBrf0241599
FBgn0000039,nAChRalpha2,NA,model of,DOID:0060682,autosomal dominant nocturnal frontal lobe epilepsy,NA,NA,HGNC:1958,CHRNA4,IEA,FBrf0241599
FBgn0000039,nAChRalpha2,NA,model of,DOID:0060685,autosomal dominant nocturnal frontal lobe epilepsy,NA,NA,HGNC:1956,CHRNA2,IEA,FBrf0241599
FBgn0000039,nAChRalpha2,NA,model of,DOID:0110666,congenital myasthenic syndrome,NA,NA,HGNC:1965,CHRND,IEA,FBrf0241599
FBgn0000039,nAChRalpha2,NA,model of,DOID:0110665,congenital myasthenic syndrome,NA,NA,HGNC:1965,CHRND,IEA,FBrf0241599
FBgn0000039,nAChRalpha2,NA,model of,DOID:0110664,congenital myasthenic syndrome,NA,NA,HGNC:1965,CHRND,IEA,FBrf0241599
FBgn0000039,nAChRalpha2,NA,model of,DOID:0110678,congenital myasthenic syndrome,NA,NA,HGNC:1966,CHRNE,IEA,FBrf0241599
FBgn0000039,nAChRalpha2,NA,model of,DOID:0110677,congenital myasthenic syndrome,NA,NA,HGNC:1966,CHRNE,IEA,FBrf0241599
FBgn0000039,nAChRalpha2,NA,model of,DOID:0110679,congenital myasthenic syndrome,NA,NA,HGNC:1966,CHRNE,IEA,FBrf0241599
FBgn0000039,nAChRalpha2,NA,model of,DOID:0080110,multiple pterygium syndrome,NA,NA,HGNC:1965,CHRND,IEA,FBrf0241599
FBgn0000039,nAChRalpha2,NA,model of,DOID:0080110,multiple pterygium syndrome,NA,NA,HGNC:1967,CHRNG,IEA,FBrf0241599
FBgn0000042,Act5C,NA,model of,DOID:0060229,Baraitser-Winter syndrome,NA,NA,HGNC:132,ACTB,IEA,FBrf0241599
FBgn0000042,Act5C,NA,model of,DOID:0060229,Baraitser-Winter syndrome,NA,NA,HGNC:144,ACTG1,IEA,FBrf0241599
FBgn0000042,Act5C,NA,model of,DOID:0110110,atrial heart septal defect,NA,NA,HGNC:143,ACTC1,IEA,FBrf0241599
FBgn0000042,Act5C,NA,model of,DOID:0110550,autosomal dominant nonsyndromic deafness,NA,NA,HGNC:144,ACTG1,IEA,FBrf0241599
FBgn0000042,Act5C,NA,model of,DOID:0080102,congenital fiber-type disproportion,NA,NA,HGNC:129,ACTA1,IEA,FBrf0241599
FBgn0000042,Act5C,NA,model of,DOID:0110456,dilated cardiomyopathy,NA,NA,HGNC:143,ACTC1,IEA,FBrf0241599
FBgn0000042,Act5C,NA,model of,DOID:0110317,hypertrophic cardiomyopathy,NA,NA,HGNC:143,ACTC1,IEA,FBrf0241599
FBgn0000042,Act5C,NA,model of,DOID:0110927,nemaline myopathy,NA,NA,HGNC:129,ACTA1,IEA,FBrf0241599
FBgn0000042,Act5C,NA,ameliorates,DOID:0050890,synucleinopathy,FBal0152800,Act5C[G0010],NA,NA,modeled by FLYBASE:Hsap\SNCA[QUAS.cOa]; FB:FBal0337971,FBrf0237620
FBgn0000042,Act5C,NA,exacerbates,DOID:0050890,synucleinopathy,FBal0188266,Act5C[UASp.R.GFP],NA,NA,modeled by FLYBASE:Hsap\SNCA[QUAS.cOa]; FB:FBal0337971,FBrf0237620
FBgn0000042,Act5C,NA,exacerbates,DOID:680,tauopathy,FBal0095890,Act5C[UAS.GFP],NA,NA,modeled by FLYBASE:Hsap\MAPT[V337M.UAS]; FB:FBal0126525,FBrf0193954
FBgn0000042,Act5C,NA,ameliorates,DOID:680,tauopathy,FBal0152800,Act5C[G0010],NA,NA,modeled by FLYBASE:Hsap\MAPT[V337M.UAS]; FB:FBal0126525,FBrf0193954
FBgn0000043,Act42A,NA,model of,DOID:0060229,Baraitser-Winter syndrome,NA,NA,HGNC:132,ACTB,IEA,FBrf0241599
FBgn0000043,Act42A,NA,model of,DOID:0060229,Baraitser-Winter syndrome,NA,NA,HGNC:144,ACTG1,IEA,FBrf0241599
FBgn0000043,Act42A,NA,model of,DOID:0110110,atrial heart septal defect,NA,NA,HGNC:143,ACTC1,IEA,FBrf0241599
FBgn0000043,Act42A,NA,model of,DOID:0110550,autosomal dominant nonsyndromic deafness,NA,NA,HGNC:144,ACTG1,IEA,FBrf0241599
FBgn0000043,Act42A,NA,model of,DOID:0080102,congenital fiber-type disproportion,NA,NA,HGNC:129,ACTA1,IEA,FBrf0241599
FBgn0000043,Act42A,NA,model of,DOID:0110456,dilated cardiomyopathy,NA,NA,HGNC:143,ACTC1,IEA,FBrf0241599
FBgn0000043,Act42A,NA,model of,DOID:0110317,hypertrophic cardiomyopathy,NA,NA,HGNC:143,ACTC1,IEA,FBrf0241599
FBgn0000043,Act42A,NA,model of,DOID:0110927,nemaline myopathy,NA,NA,HGNC:129,ACTA1,IEA,FBrf0241599
FBgn0000044,Act57B,NA,model of,DOID:0060229,Baraitser-Winter syndrome,NA,NA,HGNC:132,ACTB,IEA,FBrf0241599
FBgn0000044,Act57B,NA,model of,DOID:0110110,atrial heart septal defect,NA,NA,HGNC:143,ACTC1,IEA,FBrf0241599
FBgn0000044,Act57B,NA,model of,DOID:0080102,congenital fiber-type disproportion,NA,NA,HGNC:129,ACTA1,IEA,FBrf0241599
FBgn0000044,Act57B,NA,model of,DOID:0110456,dilated cardiomyopathy,NA,NA,HGNC:143,ACTC1,IEA,FBrf0241599
FBgn0000044,Act57B,NA,model of,DOID:11984,hypertrophic cardiomyopathy,FBal0335682,Act57B[UAS.GFP],NA,NA,CEA,FBrf0236636
FBgn0000044,Act57B,NA,model of,DOID:11984,hypertrophic cardiomyopathy,FBal0335747,Act57B[A296S.UAS.GFP],NA,NA,CEA,FBrf0236636
FBgn0000044,Act57B,NA,model of,DOID:11984,hypertrophic cardiomyopathy,FBal0335748,Act57B[A296S.UAS],NA,NA,CEA,FBrf0236636
FBgn0000044,Act57B,NA,model of,DOID:0110317,hypertrophic cardiomyopathy,NA,NA,HGNC:143,ACTC1,IEA,FBrf0241599
FBgn0000044,Act57B,NA,model of,DOID:0110317,hypertrophic cardiomyopathy,FBal0362572,Act57B[M306L.UAS],NA,NA,CEA,FBrf0246480
FBgn0000044,Act57B,NA,model of,DOID:0110317,hypertrophic cardiomyopathy,FBal0362573,Act57B[M306L.UAS.GFP],NA,NA,CEA,FBrf0246480
FBgn0000044,Act57B,NA,model of,DOID:0110927,nemaline myopathy,NA,NA,HGNC:129,ACTA1,IEA,FBrf0241599
FBgn0000045,Act79B,NA,model of,DOID:0060229,Baraitser-Winter syndrome,NA,NA,HGNC:132,ACTB,IEA,FBrf0241599
FBgn0000045,Act79B,NA,model of,DOID:13099,Moyamoya disease,NA,NA,HGNC:130,ACTA2,IEA,FBrf0241599
FBgn0000045,Act79B,NA,model of,DOID:0110110,atrial heart septal defect,NA,NA,HGNC:143,ACTC1,IEA,FBrf0241599
FBgn0000045,Act79B,NA,model of,DOID:0080102,congenital fiber-type disproportion,NA,NA,HGNC:129,ACTA1,IEA,FBrf0241599
FBgn0000045,Act79B,NA,ameliorates,DOID:0080100,congenital myopathy,FBal0188259,Act79B[UASp.GFP],NA,NA,modeled by FLYBASE:mst[JF03280]; FB:FBal0242456,FBrf0237663
FBgn0000045,Act79B,NA,model of,DOID:0110456,dilated cardiomyopathy,NA,NA,HGNC:143,ACTC1,IEA,FBrf0241599
FBgn0000045,Act79B,NA,model of,DOID:0110317,hypertrophic cardiomyopathy,NA,NA,HGNC:143,ACTC1,IEA,FBrf0241599
FBgn0000045,Act79B,NA,model of,DOID:0060610,megacystis-microcolon-intestinal hypoperistalsis syndrome,NA,NA,HGNC:145,ACTG2,IEA,FBrf0241599
FBgn0000045,Act79B,NA,model of,DOID:0110927,nemaline myopathy,NA,NA,HGNC:129,ACTA1,IEA,FBrf0241599
FBgn0000045,Act79B,NA,model of,DOID:0112279,spermatogenic failure,NA,NA,HGNC:28494,ACTL9,IEA,FBrf0241599
FBgn0000045,Act79B,NA,model of,DOID:14004,thoracic aortic aneurysm,NA,NA,HGNC:130,ACTA2,IEA,FBrf0241599
FBgn0000046,Act87E,NA,model of,DOID:0060229,Baraitser-Winter syndrome,NA,NA,HGNC:132,ACTB,IEA,FBrf0241599
FBgn0000046,Act87E,NA,model of,DOID:13099,Moyamoya disease,NA,NA,HGNC:130,ACTA2,IEA,FBrf0241599
FBgn0000046,Act87E,NA,model of,DOID:0110110,atrial heart septal defect,NA,NA,HGNC:143,ACTC1,IEA,FBrf0241599
FBgn0000046,Act87E,NA,model of,DOID:0080102,congenital fiber-type disproportion,NA,NA,HGNC:129,ACTA1,IEA,FBrf0241599
FBgn0000046,Act87E,NA,model of,DOID:0110456,dilated cardiomyopathy,NA,NA,HGNC:143,ACTC1,IEA,FBrf0241599
FBgn0000046,Act87E,NA,model of,DOID:0110317,hypertrophic cardiomyopathy,NA,NA,HGNC:143,ACTC1,IEA,FBrf0241599
FBgn0000046,Act87E,NA,model of,DOID:0110927,nemaline myopathy,NA,NA,HGNC:129,ACTA1,IEA,FBrf0241599
FBgn0000046,Act87E,NA,model of,DOID:14004,thoracic aortic aneurysm,NA,NA,HGNC:130,ACTA2,IEA,FBrf0241599
FBgn0000047,Act88F,NA,model of,DOID:0060229,Baraitser-Winter syndrome,NA,NA,HGNC:132,ACTB,IEA,FBrf0241599
FBgn0000047,Act88F,NA,model of,DOID:0110110,atrial heart septal defect,NA,NA,HGNC:143,ACTC1,IEA,FBrf0241599
FBgn0000047,Act88F,NA,model of,DOID:0080102,congenital fiber-type disproportion,NA,NA,HGNC:129,ACTA1,IEA,FBrf0241599
FBgn0000047,Act88F,NA,model of,DOID:422,congenital structural myopathy,FBal0000272,Act88F[6],NA,NA,CEA with FLYBASE:Act88F[R372H]; FB:FBal0028753,FBrf0211153
FBgn0000047,Act88F,NA,model of,DOID:422,congenital structural myopathy,FBal0028753,Act88F[R372H],NA,NA,CEA with FLYBASE:Act88F[6]; FB:FBal0000272,FBrf0211153
FBgn0000047,Act88F,NA,model of,DOID:422,congenital structural myopathy,FBal0038095,Act88F[M320],NA,NA,CEA,FBrf0211153
FBgn0000047,Act88F,NA,model of,DOID:422,congenital structural myopathy,FBal0062243,Act88F[G268D],NA,NA,CEA,FBrf0211153
FBgn0000047,Act88F,NA,model of,DOID:422,congenital structural myopathy,FBal0248514,Act88F[R256C],NA,NA,CEA,FBrf0211153
FBgn0000047,Act88F,NA,model of,DOID:0110456,dilated cardiomyopathy,NA,NA,HGNC:143,ACTC1,IEA,FBrf0241599
FBgn0000047,Act88F,NA,model of,DOID:0110317,hypertrophic cardiomyopathy,NA,NA,HGNC:143,ACTC1,IEA,FBrf0241599
FBgn0000047,Act88F,NA,ameliorates,DOID:423,myopathy,FBal0294732,Act88F[+t4.0],NA,NA,"modeled by FLYBASE:Act88F[D154N]; FB:FBal0294735, FLYBASE:Act88F[6]; FB:FBal0000272",FBrf0220869
FBgn0000047,Act88F,NA,ameliorates,DOID:423,myopathy,FBal0294732,Act88F[+t4.0],NA,NA,"modeled by FLYBASE:Act88F[D292V]; FB:FBal0294738, FLYBASE:Act88F[6]; FB:FBal0000272",FBrf0220869
FBgn0000047,Act88F,NA,ameliorates,DOID:423,myopathy,FBal0294732,Act88F[+t4.0],NA,NA,"modeled by FLYBASE:Act88F[G15R]; FB:FBal0294733, FLYBASE:Act88F[6]; FB:FBal0000272",FBrf0220869
FBgn0000047,Act88F,NA,ameliorates,DOID:423,myopathy,FBal0294732,Act88F[+t4.0],NA,NA,"modeled by FLYBASE:Act88F[I136M]; FB:FBal0294734, FLYBASE:Act88F[6]; FB:FBal0000272",FBrf0220869
FBgn0000047,Act88F,NA,ameliorates,DOID:423,myopathy,FBal0294732,Act88F[+t4.0],NA,NA,"modeled by FLYBASE:Act88F[V163L]; FB:FBal0294736, FLYBASE:Act88F[6]; FB:FBal0000272",FBrf0220869
FBgn0000047,Act88F,NA,ameliorates,DOID:423,myopathy,FBal0294732,Act88F[+t4.0],NA,NA,"modeled by FLYBASE:Act88F[V163M]; FB:FBal0294737, FLYBASE:Act88F[6]; FB:FBal0000272",FBrf0220869
FBgn0000047,Act88F,NA,model of,DOID:423,myopathy,FBal0294733,Act88F[G15R],NA,NA,CEA with FLYBASE:Act88F[6]; FB:FBal0000272,FBrf0220869
FBgn0000047,Act88F,NA,model of,DOID:423,myopathy,FBal0294734,Act88F[I136M],NA,NA,CEA with FLYBASE:Act88F[6]; FB:FBal0000272,FBrf0220869
FBgn0000047,Act88F,NA,model of,DOID:423,myopathy,FBal0294735,Act88F[D154N],NA,NA,CEA with FLYBASE:Act88F[6]; FB:FBal0000272,FBrf0220869
FBgn0000047,Act88F,NA,model of,DOID:423,myopathy,FBal0294736,Act88F[V163L],NA,NA,CEA with FLYBASE:Act88F[6]; FB:FBal0000272,FBrf0220869
FBgn0000047,Act88F,NA,model of,DOID:423,myopathy,FBal0294737,Act88F[V163M],NA,NA,CEA with FLYBASE:Act88F[6]; FB:FBal0000272,FBrf0220869
FBgn0000047,Act88F,NA,model of,DOID:423,myopathy,FBal0294738,Act88F[D292V],NA,NA,CEA with FLYBASE:Act88F[6]; FB:FBal0000272,FBrf0220869
FBgn0000047,Act88F,NA,model of,DOID:423,myopathy,FBal0000272,Act88F[6],NA,NA,CEA with FLYBASE:cher[1]; FB:FBal0060473,FBrf0236159
FBgn0000047,Act88F,NA,model of,DOID:423,myopathy,FBal0000272,Act88F[6],NA,NA,CEA with FLYBASE:cher[CPTI001403]; FB:FBal0262156,FBrf0236159
FBgn0000047,Act88F,NA,model of,DOID:423,myopathy,FBal0000272,Act88F[6],NA,NA,CEA with FLYBASE:cher[EPS&Dgr;5]; FB:FBal0101476,FBrf0236159
FBgn0000047,Act88F,NA,model of,DOID:3191,nemaline myopathy,FBal0000272,Act88F[6],NA,NA,CEA,FBrf0227496
FBgn0000047,Act88F,NA,model of,DOID:0110927,nemaline myopathy,NA,NA,HGNC:129,ACTA1,IEA,FBrf0241599
FBgn0000055,Adh,NA,model of,DOID:14283,primary hypertrophic osteoarthropathy,NA,NA,HGNC:5154,HPGD,IEA,FBrf0241599
FBgn0000056,Adhr,NA,model of,DOID:14283,primary hypertrophic osteoarthropathy,NA,NA,HGNC:5154,HPGD,IEA,FBrf0241599
FBgn0000057,adp,NA,model of,DOID:9970,obesity,FBal0000386,adp[60],NA,NA,CEA,FBrf0158903
FBgn0000057,adp,NA,model of,DOID:9970,obesity,FBal0000386,adp[60],NA,NA,CEA,FBrf0212749
FBgn0000061,al,NA,model of,DOID:14744,Partington syndrome,NA,NA,HGNC:18060,ARX,IEA,FBrf0241599
FBgn0000061,al,NA,model of,DOID:0112238,X-linked lissencephaly,NA,NA,HGNC:18060,ARX,IEA,FBrf0241599
FBgn0000061,al,NA,model of,DOID:0112151,corpus callosum agenesis-abnormal genitalia syndrome,NA,NA,HGNC:18060,ARX,IEA,FBrf0241599
FBgn0000061,al,NA,model of,DOID:0080468,developmental and epileptic encephalopathy,NA,NA,HGNC:18060,ARX,IEA,FBrf0241599
FBgn0000061,al,NA,model of,DOID:0081045,frontonasal dysplasia,NA,NA,HGNC:449,ALX3,IEA,FBrf0241599
FBgn0000061,al,NA,model of,DOID:0081046,frontonasal dysplasia,NA,NA,HGNC:450,ALX4,IEA,FBrf0241599
FBgn0000061,al,NA,model of,DOID:0081047,frontonasal dysplasia,NA,NA,HGNC:1494,ALX1,IEA,FBrf0241599
FBgn0000061,al,NA,model of,DOID:0112021,non-syndromic X-linked intellectual disability,NA,NA,HGNC:18060,ARX,IEA,FBrf0241599
FBgn0000061,al,NA,model of,DOID:0060285,parietal foramina,NA,NA,HGNC:450,ALX4,IEA,FBrf0241599
FBgn0000064,Ald1,NA,ameliorates,DOID:3068,glioblastoma,FBal0220562,Ald1[JF02071],NA,NA,"modeled by FLYBASE:Pi3K92E[CAAX.UAS]; FB:FBal0156077, FLYBASE:btl::Egfr[&lgr;.UAS]; FB:FBal0065871",FBrf0242299
FBgn0000064,Ald1,NA,model of,DOID:9869,hereditary fructose intolerance syndrome,NA,NA,HGNC:417,ALDOB,IEA,FBrf0241599
FBgn0000071,Ama,NA,ameliorates,DOID:3070,high grade glioma,FBal0257193,Ama[HMS00297],NA,NA,"modeled by FLYBASE:Pi3K92E[CAAX.UAS]; FB:FBal0156077, FLYBASE:btl::Egfr[&lgr;.UAS]; FB:FBal0065871",FBrf0246843
FBgn0000075,amd,NA,model of,DOID:0090123,aromatic L-amino acid decarboxylase deficiency,NA,NA,HGNC:2719,DDC,IEA,FBrf0241599
FBgn0000077,amx,NA,ameliorates,DOID:8712,neurofibromatosis,FBal0159504,amx[f06362],NA,NA,modeled by FLYBASE:Nf1[E2]; FB:FBal0197115,FBrf0223429
FBgn0000077,amx,NA,ameliorates,DOID:8712,neurofibromatosis,FBal0209064,amx[GD1168],NA,NA,modeled by FLYBASE:Nf1[E2]; FB:FBal0197115,FBrf0223429
FBgn0000083,AnxB9,NA,model of,DOID:0080225,amyotrophic lateral sclerosis,NA,NA,HGNC:535,ANXA11,IEA,FBrf0241599
FBgn0000084,AnxB10,NA,ameliorates,DOID:12858,Huntington's disease,FBal0162808,AnxB10[d03410],NA,NA,modeled by FLYBASE:Hsap\HTT[128Q.1-231.UAS]; FB:FBal0368452,FBrf0249076
FBgn0000097,aop,NA,model of,DOID:9119,acute myeloid leukemia,NA,NA,HGNC:3495,ETV6,IEA,FBrf0241599
FBgn0000097,aop,NA,exacerbates,DOID:680,tauopathy,FBal0119315,aop[EP2500],NA,NA,modeled by FLYBASE:Hsap\MAPT[V337M.UAS]; FB:FBal0126525,FBrf0167629
FBgn0000100,RpLP0,NA,exacerbates,DOID:680,tauopathy,FBal0009416,RpLP0[01544],NA,NA,modeled by FLYBASE:Hsap\MAPT[GMR.Ex.PJ]; FB:FBal0137485,FBrf0217690
FBgn0000108,Appl,NA,model of,DOID:0070028,APP-related cerebral amyloid angiopathy,NA,NA,HGNC:620,APP,IEA,FBrf0241599
FBgn0000108,Appl,NA,model of,DOID:10652,Alzheimer's disease,FBal0221088,Appl[UAS.cCSa],NA,NA,CEA,FBrf0206813
FBgn0000108,Appl,NA,model of,DOID:10652,Alzheimer's disease,FBal0221088,Appl[UAS.cCSa],NA,NA,is exacerbated by FLYBASE:Bace[UAS.cCSa]; FB:FBal0221090,FBrf0206813
FBgn0000108,Appl,NA,model of,DOID:10652,Alzheimer's disease,FBal0221089,Appl[Abeta.UAS.Tag:HA],NA,NA,CEA,FBrf0206813
FBgn0000108,Appl,NA,model of,DOID:10652,Alzheimer's disease,FBal0028990,Appl[d],NA,NA,CEA,FBrf0227377
FBgn0000108,Appl,NA,model of,DOID:10652,Alzheimer's disease,FBal0028990,Appl[d],NA,NA,is exacerbated by FLYBASE:kuz[UAS.cFa]; FB:FBal0057208,FBrf0227377
FBgn0000108,Appl,NA,model of,DOID:10652,Alzheimer's disease,FBal0231851,Appl[KK102543],NA,NA,CEA,FBrf0227377
FBgn0000108,Appl,NA,model of,DOID:10652,Alzheimer's disease,FBal0028990,Appl[d],NA,NA,CEA,FBrf0229288
FBgn0000108,Appl,NA,model of,DOID:10652,Alzheimer's disease,FBal0028990,Appl[d],NA,NA,is exacerbated by FLYBASE:Bace[UAS.cCSa]; FB:FBal0221090,FBrf0229288
FBgn0000108,Appl,NA,model of,DOID:10652,Alzheimer's disease,FBal0221088,Appl[UAS.cCSa],NA,NA,CEA with FLYBASE:Psn[UAS.cUa]; FB:FBal0358289,FBrf0234171
FBgn0000108,Appl,NA,model of,DOID:10652,Alzheimer's disease,FBal0221088,Appl[UAS.cCSa],NA,NA,is ameliorated by FLYBASE:Psn[UAS.cUa]; FB:FBal0358289,FBrf0234171
FBgn0000108,Appl,NA,model of,DOID:10652,Alzheimer's disease,FBal0240847,Appl[JF02878],NA,NA,CEA,FBrf0235362
FBgn0000108,Appl,NA,model of,DOID:10652,Alzheimer's disease,FBal0221089,Appl[Abeta.UAS.Tag:HA],NA,NA,CEA,FBrf0237026
