mmus_gene_id,mmus_gene_name,dmel_gene_id,dmel_gene_name,diopt_score
ENSMUSG00000034187,Nsf,FBgn0000346,comt,16
ENSMUSG00000038002,Cramp1,FBgn0000376,crm,11
ENSMUSG00000001767,Crnkl1,FBgn0000377,crn,17
ENSMUSG00000004266,Ptpn6,FBgn0000382,csw,14
ENSMUSG00000043733,Ptpn11,FBgn0000382,csw,14
ENSMUSG00000020611,Gna13,FBgn0000384,cta,16
ENSMUSG00000000149,Gna12,FBgn0000384,cta,15
ENSMUSG00000024098,Twsg1,FBgn0000394,cv,16
ENSMUSG00000031963,Bmper,FBgn0000395,cv-2,13
ENSMUSG00000027715,Ccna2,FBgn0000404,CycA,13
ENSMUSG00000027793,Ccna1,FBgn0000404,CycA,13
ENSMUSG00000041431,Ccnb1,FBgn0000405,CycB,15
ENSMUSG00000032218,Ccnb2,FBgn0000405,CycB,14
ENSMUSG00000028519,Dab1,FBgn0000414,Dab,10
ENSMUSG00000004207,Psap,FBgn0000416,Sap-r,14
ENSMUSG00000043430,Psapl1,FBgn0000416,Sap-r,11
ENSMUSG00000020182,Ddc,FBgn0000422,Ddc,15
ENSMUSG00000020018,Snrpf,FBgn0000426,SmF,15
ENSMUSG00000029334,Prkg2,FBgn0000442,Pkg21D,10
ENSMUSG00000052920,Prkg1,FBgn0000442,Pkg21D,10
ENSMUSG00000031730,Dhodh,FBgn0000447,Dhod,15
ENSMUSG00000032238,Rora,FBgn0000448,Hr3,12
ENSMUSG00000036192,Rorb,FBgn0000448,Hr3,11
ENSMUSG00000063931,Pepd,FBgn0000455,Dip-C,18
ENSMUSG00000014773,Dll1,FBgn0000463,Dl,15
ENSMUSG00000027314,Dll4,FBgn0000463,Dl,13
ENSMUSG00000028399,Ptprd,FBgn0000464,Lar,13
ENSMUSG00000033295,Ptprf,FBgn0000464,Lar,13
ENSMUSG00000013236,Ptprs,FBgn0000464,Lar,12
ENSMUSG00000028185,Dnase2b,FBgn0000477,DNaseII,15
ENSMUSG00000003812,Dnase2a,FBgn0000477,DNaseII,14
ENSMUSG00000028525,Pde4b,FBgn0000479,dnc,16
ENSMUSG00000021699,Pde4d,FBgn0000479,dnc,12
ENSMUSG00000032177,Pde4a,FBgn0000479,dnc,12
ENSMUSG00000034216,Vps18,FBgn0000482,dor,16
ENSMUSG00000035725,Prkx,FBgn0000489,Pka-C3,17
ENSMUSG00000027358,Bmp2,FBgn0000490,dpp,12
ENSMUSG00000021835,Bmp4,FBgn0000490,dpp,10
ENSMUSG00000021469,Msx2,FBgn0000492,Dr,12
ENSMUSG00000025469,Msx3,FBgn0000492,Dr,11
ENSMUSG00000048450,Msx1,FBgn0000492,Dr,11
ENSMUSG00000003233,Dvl3,FBgn0000499,dsh,15
ENSMUSG00000020888,Dvl2,FBgn0000499,dsh,14
ENSMUSG00000029071,Dvl1,FBgn0000499,dsh,13
ENSMUSG00000029603,Dtx1,FBgn0000524,dx,15
ENSMUSG00000039982,Dtx4,FBgn0000524,dx,14
ENSMUSG00000004947,Dtx2,FBgn0000524,dx,13
ENSMUSG00000054360,Bsx,FBgn0000529,bsh,11
ENSMUSG00000034402,Kcnh5,FBgn0000535,eag,15
ENSMUSG00000058248,Kcnh1,FBgn0000535,eag,14
ENSMUSG00000030275,Etnk1,FBgn0000536,eas,15
ENSMUSG00000070644,Etnk2,FBgn0000536,eas,13
ENSMUSG00000040481,Bptf,FBgn0000541,E(bx),14
ENSMUSG00000039701,Usp53,FBgn0000542,ec,9
ENSMUSG00000021810,Ecd,FBgn0000543,ecd,16
ENSMUSG00000002108,Nr1h3,FBgn0000546,EcR,12
ENSMUSG00000060601,Nr1h2,FBgn0000546,EcR,12
ENSMUSG00000016349,Eef1a2,FBgn0000557,eEF1alpha2,14
ENSMUSG00000037742,Eef1a1,FBgn0000557,eEF1alpha2,13
ENSMUSG00000034994,Eef2,FBgn0000559,eEF2,18
ENSMUSG00000048647,Exd1,FBgn0000562,egl,8
ENSMUSG00000054733,Msra,FBgn0000565,MsrA,13
ENSMUSG00000028179,Cth,FBgn0000566,Eip55E,15
ENSMUSG00000020644,Id2,FBgn0000575,emc,12
ENSMUSG00000021379,Id4,FBgn0000575,emc,11
ENSMUSG00000042745,Id1,FBgn0000575,emc,11
ENSMUSG00000039095,En2,FBgn0000577,en,11
ENSMUSG00000058665,En1,FBgn0000577,en,11
ENSMUSG00000022995,Enah,FBgn0000578,ena,14
ENSMUSG00000004267,Eno2,FBgn0000579,Eno,16
ENSMUSG00000059040,Eno1b,FBgn0000579,Eno,16
ENSMUSG00000063524,Eno1,FBgn0000579,Eno,16
ENSMUSG00000069495,Epc2,FBgn0000581,E(Pc),13
ENSMUSG00000024240,Epc1,FBgn0000581,E(Pc),12
ENSMUSG00000030619,Eed,FBgn0000588,esc,15
ENSMUSG00000055730,Ces2a,FBgn0000592,Est-6,8
ENSMUSG00000055730,Ces2a,FBgn0000594,Est-P,8
ENSMUSG00000005503,Evx1,FBgn0000606,eve,10
ENSMUSG00000034673,Pbx2,FBgn0000611,exd,15
ENSMUSG00000038718,Pbx3,FBgn0000611,exd,15
ENSMUSG00000052534,Pbx1,FBgn0000611,exd,14
ENSMUSG00000047242,Taf9b,FBgn0000617,e(y)1,14
ENSMUSG00000052293,Taf9,FBgn0000617,e(y)1,12
ENSMUSG00000078941,Taf9,FBgn0000617,e(y)1,12
ENSMUSG00000022338,Eny2,FBgn0000618,e(y)2,14
ENSMUSG00000029687,Ezh2,FBgn0000629,E(z),16
ENSMUSG00000006920,Ezh1,FBgn0000629,E(z),13
ENSMUSG00000022762,Ncam2,FBgn0000635,Fas2,11
ENSMUSG00000039542,Ncam1,FBgn0000635,Fas2,11
ENSMUSG00000031613,Hpgd,FBgn0000640,Fbp2,8
ENSMUSG00000075012,Fjx1,FBgn0000658,fj,14
ENSMUSG00000037025,Foxa2,FBgn0000659,fkh,13
ENSMUSG00000035451,Foxa1,FBgn0000659,fkh,12
ENSMUSG00000060475,Wtap,FBgn0000662,fl(2)d,13
ENSMUSG00000006457,Actn3,FBgn0000667,Actn,16
ENSMUSG00000015143,Actn1,FBgn0000667,Actn,15
ENSMUSG00000052374,Actn2,FBgn0000667,Actn,15
ENSMUSG00000002812,Flii,FBgn0000709,fliI,17
ENSMUSG00000014956,Ppp1cb,FBgn0000711,flw,15
ENSMUSG00000052920,Prkg1,FBgn0000721,for,16
ENSMUSG00000000127,Fer,FBgn0000723,FER,14
ENSMUSG00000053158,Fes,FBgn0000723,FER,12
ENSMUSG00000055435,Maf,FBgn0000964,tj,12
ENSMUSG00000074622,Mafb,FBgn0000964,tj,12
ENSMUSG00000047591,Mafa,FBgn0000964,tj,11
ENSMUSG00000006585,Cdt1,FBgn0000996,dup,13
ENSMUSG00000046743,Fat4,FBgn0001075,ft,14
ENSMUSG00000026751,Nr5a1,FBgn0001078,ftz-f1,15
ENSMUSG00000026398,Nr5a2,FBgn0001078,ftz-f1,12
ENSMUSG00000033276,Stk36,FBgn0001079,fu,11
ENSMUSG00000028369,Svep1,FBgn0001083,fw,8
ENSMUSG00000011658,Fuz,FBgn0001084,fy,16
ENSMUSG00000044674,Fzd1,FBgn0001085,fz,15
ENSMUSG00000041075,Fzd7,FBgn0001085,fz,14
ENSMUSG00000050288,Fzd2,FBgn0001085,fz,13
ENSMUSG00000006398,Cdc20,FBgn0001086,fzy,15
ENSMUSG00000020198,Ap3d1,FBgn0001087,g,13
ENSMUSG00000045594,Glb1,FBgn0001089,Gal,15
ENSMUSG00000026200,Glb1l,FBgn0001089,Gal,14
ENSMUSG00000057666,Gapdh,FBgn0001091,Gapdh1,13
ENSMUSG00000110469,Gm10358,FBgn0001091,Gapdh1,11
ENSMUSG00000057666,Gapdh,FBgn0001092,Gapdh2,13
ENSMUSG00000110469,Gm10358,FBgn0001092,Gapdh2,11
ENSMUSG00000021794,Glud1,FBgn0001098,Gdh,16
ENSMUSG00000003531,Dgcr6,FBgn0001099,gdl,14
ENSMUSG00000057614,Gnai1,FBgn0001104,Galphai,15
ENSMUSG00000000001,Gnai3,FBgn0001104,Galphai,14
ENSMUSG00000032562,Gnai2,FBgn0001104,Galphai,14
ENSMUSG00000029064,Gnb1,FBgn0001105,Gbeta13F,16
ENSMUSG00000029713,Gnb2,FBgn0001105,Gbeta13F,16
ENSMUSG00000027669,Gnb4,FBgn0001105,Gbeta13F,15
ENSMUSG00000031865,Dctn1,FBgn0001108,DCTN1-p150,16
ENSMUSG00000015970,Chdh,FBgn0001112,Gld,10
ENSMUSG00000031748,Gnao1,FBgn0001122,Galphao,16
ENSMUSG00000024524,Gnal,FBgn0001123,Galphas,15
ENSMUSG00000027523,Gnas,FBgn0001123,Galphas,11
ENSMUSG00000025190,Got1,FBgn0001124,Got1,16
ENSMUSG00000031672,Got2,FBgn0001125,Got2,15
ENSMUSG00000023019,Gpd1,FBgn0001128,Gpdh1,17
ENSMUSG00000050627,Gpd1l,FBgn0001128,Gpdh1,14
ENSMUSG00000015053,Gata2,FBgn0001138,grn,12
ENSMUSG00000015619,Gata3,FBgn0001138,grn,12
ENSMUSG00000031162,Gata1,FBgn0001138,grn,10
ENSMUSG00000024642,Tle4,FBgn0001139,gro,14
ENSMUSG00000032280,Tle3,FBgn0001139,gro,14
ENSMUSG00000008305,Tle1,FBgn0001139,gro,12
ENSMUSG00000034771,Tle2,FBgn0001139,gro,12
ENSMUSG00000026473,Glul,FBgn0001142,Gs1,13
ENSMUSG00000026473,Glul,FBgn0001145,Gs2,16
ENSMUSG00000028736,Pax7,FBgn0001147,gsb-n,10
ENSMUSG00000028736,Pax7,FBgn0001148,gsb,11
ENSMUSG00000004872,Pax3,FBgn0001148,gsb,10
ENSMUSG00000022528,Hes1,FBgn0001168,h,12
ENSMUSG00000039377,Hlx,FBgn0001170,H2.0,13
ENSMUSG00000024382,Ercc3,FBgn0001179,hay,17
ENSMUSG00000041798,Gck,FBgn0001186,Hex-A,14
ENSMUSG00000037012,Hk1,FBgn0001186,Hex-A,11
ENSMUSG00000000628,Hk2,FBgn0001186,Hex-A,10
ENSMUSG00000020080,Hkdc1,FBgn0001186,Hex-A,10
ENSMUSG00000025877,Hk3,FBgn0001186,Hex-A,10
ENSMUSG00000041798,Gck,FBgn0001187,Hex-C,14
ENSMUSG00000037012,Hk1,FBgn0001187,Hex-C,11
ENSMUSG00000000628,Hk2,FBgn0001187,Hex-C,10
ENSMUSG00000020080,Hkdc1,FBgn0001187,Hex-C,10
ENSMUSG00000037894,H2az1,FBgn0001197,His2Av,15
ENSMUSG00000041126,H2az2,FBgn0001197,His2Av,15
ENSMUSG00000037234,Hook3,FBgn0001202,hook,16
ENSMUSG00000052566,Hook2,FBgn0001202,hook,13
ENSMUSG00000028572,Hook1,FBgn0001202,hook,11
ENSMUSG00000020051,Pah,FBgn0001208,Hn,16
ENSMUSG00000004980,Hnrnpa2b1,FBgn0001215,Hrb98DE,13
ENSMUSG00000046434,Hnrnpa1,FBgn0001215,Hrb98DE,12
ENSMUSG00000015656,Hspa8,FBgn0001216,Hsc70-1,10
ENSMUSG00000026864,Hspa5,FBgn0001218,Hsc70-3,16
ENSMUSG00000024359,Hspa9,FBgn0001220,Hsc70-5,18
ENSMUSG00000022556,Hsf1,FBgn0001222,Hsf,14
ENSMUSG00000019878,Hsf2,FBgn0001222,Hsf,11
ENSMUSG00000033249,Hsf4,FBgn0001222,Hsf,11
ENSMUSG00000036854,Hspb6,FBgn0001226,Hsp27,8
ENSMUSG00000028251,Tstd3,FBgn0001228,CG4456,11
ENSMUSG00000023944,Hsp90ab1,FBgn0001233,Hsp83,16
ENSMUSG00000021270,Hsp90aa1,FBgn0001233,Hsp83,15
ENSMUSG00000020160,Meis1,FBgn0001235,hth,15
ENSMUSG00000027210,Meis2,FBgn0001235,hth,13
ENSMUSG00000041420,Meis3,FBgn0001235,hth,12
ENSMUSG00000056999,Ide,FBgn0001247,Ide,17
ENSMUSG00000025950,Idh1,FBgn0001248,Idh,16
ENSMUSG00000026768,Itga8,FBgn0001250,if,16
ENSMUSG00000000555,Itga5,FBgn0001250,if,14
ENSMUSG00000027087,Itgav,FBgn0001250,if,13
ENSMUSG00000034664,Itga2b,FBgn0001250,if,13
ENSMUSG00000030246,Ldhb,FBgn0001258,Ldh,15
ENSMUSG00000063229,Ldha,FBgn0001258,Ldh,14
ENSMUSG00000030851,Ldhc,FBgn0001258,Ldh,13
ENSMUSG00000060798,Intu,FBgn0001259,in,14
ENSMUSG00000028402,Mpdz,FBgn0001263,inaD,8
ENSMUSG00000058665,En1,FBgn0001269,inv,10
ENSMUSG00000003444,Med29,FBgn0001276,ix,13
ENSMUSG00000036504,Phpt1,FBgn0001280,janA,16
ENSMUSG00000052684,Jun,FBgn0001291,Jra,13
ENSMUSG00000052837,Junb,FBgn0001291,Jra,13
ENSMUSG00000071076,Jund,FBgn0001291,Jra,13
ENSMUSG00000019838,Slc16a10,FBgn0001296,kar,16
ENSMUSG00000033965,Slc16a2,FBgn0001296,kar,12
ENSMUSG00000031605,Klhl2,FBgn0001301,kel,11
ENSMUSG00000006740,Kif5b,FBgn0001308,Khc,18
ENSMUSG00000074657,Kif5a,FBgn0001308,Khc,14
ENSMUSG00000026764,Kif5c,FBgn0001308,Khc,13
ENSMUSG00000005237,Dnah2,FBgn0001313,kl-2,13
ENSMUSG00000010476,Ebf3,FBgn0001319,kn,15
ENSMUSG00000057098,Ebf1,FBgn0001319,kn,14
ENSMUSG00000022053,Ebf2,FBgn0001319,kn,13
ENSMUSG00000053552,Ebf4,FBgn0001319,kn,13
ENSMUSG00000056476,Med12l,FBgn0001324,kto,14
ENSMUSG00000079487,Med12,FBgn0001324,kto,14
ENSMUSG00000029480,Dhx37,FBgn0001330,kz,17
ENSMUSG00000038722,Bud31,FBgn0001491,l(1)10Bb,14
ENSMUSG00000004393,Ddx56,FBgn0001565,Hlc,17
ENSMUSG00000000759,Tubgcp3,FBgn0001612,Grip91,17
ENSMUSG00000022770,Dlg1,FBgn0001624,dlg1,16
ENSMUSG00000020886,Dlg4,FBgn0001624,dlg1,15
ENSMUSG00000052572,Dlg2,FBgn0001624,dlg1,15
ENSMUSG00000021263,Degs2,FBgn0001941,ifc,17
ENSMUSG00000038633,Degs1,FBgn0001941,ifc,15
ENSMUSG00000038768,9130409I23Rik,FBgn0001941,ifc,13
ENSMUSG00000022884,Eif4a2,FBgn0001942,eIF4A,14
ENSMUSG00000059796,Eif4a1,FBgn0001942,eIF4A,14
ENSMUSG00000029621,Arpc1a,FBgn0001961,Arpc1,16
ENSMUSG00000029622,Arpc1b,FBgn0001961,Arpc1,15
ENSMUSG00000024241,Sos1,FBgn0001965,Sos,16
ENSMUSG00000034801,Sos2,FBgn0001965,Sos,13
ENSMUSG00000038072,Galnt11,FBgn0001970,Pgant35A,16
ENSMUSG00000031781,Ciapin1,FBgn0001977,CIAPIN1,15
ENSMUSG00000028423,Nfx1,FBgn0001978,stc,17
ENSMUSG00000022676,Snai2,FBgn0001981,esg,11
ENSMUSG00000022676,Snai2,FBgn0001983,wor,10
ENSMUSG00000016018,Mtrex,FBgn0001986,Mtr4,16
ENSMUSG00000015968,Cacna1d,FBgn0001991,Ca-alpha1D,13
ENSMUSG00000026407,Cacna1s,FBgn0001991,Ca-alpha1D,13
ENSMUSG00000031142,Cacna1f,FBgn0001991,Ca-alpha1D,12
ENSMUSG00000051331,Cacna1c,FBgn0001991,Ca-alpha1D,12
ENSMUSG00000066704,Cyp2b19,FBgn0001992,Cyp303a1,8
ENSMUSG00000005718,Tfap4,FBgn0001994,crp,13
ENSMUSG00000003299,Mrpl4,FBgn0001995,mRpL4,15
ENSMUSG00000039048,Foxred1,FBgn0002021,l(2)37Bb,14
ENSMUSG00000024327,Slc39a7,FBgn0002022,Catsup,16
ENSMUSG00000026934,Lhx3,FBgn0002023,Lim3,14
ENSMUSG00000026468,Lhx4,FBgn0002023,Lim3,13
ENSMUSG00000038845,Phb,FBgn0002031,l(2)37Cc,15
ENSMUSG00000022119,Rbm26,FBgn0002044,swm,15
ENSMUSG00000024491,Rbm27,FBgn0002044,swm,15
ENSMUSG00000026356,Dars,FBgn0002069,AspRS,16
ENSMUSG00000020536,Llgl1,FBgn0002121,l(2)gl,16
ENSMUSG00000020782,Llgl2,FBgn0002121,l(2)gl,14
ENSMUSG00000004069,Dnaja3,FBgn0002174,CG5504,16
ENSMUSG00000035726,Supt16,FBgn0002183,dre4,16
ENSMUSG00000033623,Pcgf3,FBgn0002283,l(3)73Ah,15
ENSMUSG00000014769,Psmb1,FBgn0002284,Prosbeta6,16
ENSMUSG00000026500,Cox20,FBgn0002354,l(3)87Df,12
ENSMUSG00000022433,Csnk1e,FBgn0002413,dco,16
ENSMUSG00000025162,Csnk1d,FBgn0002413,dco,13
ENSMUSG00000037487,Ubr5,FBgn0002431,hyd,18
ENSMUSG00000039089,L3mbtl3,FBgn0002441,l(3)mbt,11
ENSMUSG00000035576,L3mbtl1,FBgn0002441,l(3)mbt,10
ENSMUSG00000029516,Cit,FBgn0002466,sti,15
ENSMUSG00000021264,Yy1,FBgn0002521,pho,13
ENSMUSG00000091736,Yy2,FBgn0002521,pho,10
ENSMUSG00000029844,Hoxa1,FBgn0002522,lab,8
ENSMUSG00000021036,Sptlc2,FBgn0002524,lace,16
ENSMUSG00000039092,Sptlc3,FBgn0002524,lace,12
ENSMUSG00000024590,Lmnb1,FBgn0002525,Lam,14
ENSMUSG00000062075,Lmnb2,FBgn0002525,Lam,14
ENSMUSG00000028063,Lmna,FBgn0002525,Lam,13
ENSMUSG00000015647,Lama5,FBgn0002526,LanA,12
ENSMUSG00000033222,Ttf2,FBgn0002542,lds,15
ENSMUSG00000009248,Ascl2,FBgn0002561,l(1)sc,11
ENSMUSG00000020052,Ascl1,FBgn0002561,l(1)sc,11
ENSMUSG00000041236,Vps41,FBgn0002566,lt,16
ENSMUSG00000019832,Rab32,FBgn0002567,Rab32,12
ENSMUSG00000024131,Slc3a1,FBgn0002569,Mal-A2,11
ENSMUSG00000024131,Slc3a1,FBgn0002570,Mal-A1,10
ENSMUSG00000024131,Slc3a1,FBgn0002571,Mal-A3,11
ENSMUSG00000057863,Rpl36,FBgn0002579,RpL36,14
ENSMUSG00000012848,Rps5,FBgn0002590,RpS5a,15
ENSMUSG00000007892,Rplp1,FBgn0002593,RpLP1,14
ENSMUSG00000030744,Rps3,FBgn0002622,RpS3,16
ENSMUSG00000057841,Rpl32,FBgn0002626,RpL32,14
ENSMUSG00000068969,Rpl32-ps,FBgn0002626,RpL32,10
ENSMUSG00000028940,Hes2,FBgn0002631,E(spl)m5-HLH,8
ENSMUSG00000028896,Rcc1,FBgn0002638,Rcc1,16
ENSMUSG00000039616,Mocos,FBgn0002641,mal,18
ENSMUSG00000032477,Cdc25a,FBgn0002673,twe,14
ENSMUSG00000027330,Cdc25b,FBgn0002673,twe,13
ENSMUSG00000044201,Cdc25c,FBgn0002673,twe,13
ENSMUSG00000022545,Ercc4,FBgn0002707,mei-9,16
