"","gene_id","Gene name","description","Datasets with significant neurite enrichment (p<0.1)","Average of significant (p<0.1) log2 enrichment","Datasets with neurite TPM > 10","Detection Rank (extended Table1)","Exclusive significant enrichment in specific cells","Studies with neurite ribosome association","primary motor neurons B","Ascl1 induced neurons B","primary dorsal root ganglia","neuroblastoma line CAD","primary cortical neurons B","neuroblastoma line N2A","Ascl1 induced neurons A","primary motor neurons C","iPSC derived motor neurons","hippocampal tissue B","hippocampal tissue C","Zappulo2017_loc.translation","Shigeoka2016_loc.translation","Ouwenga2017_loc.translation","Ainsley2014_loc.translation"
"8686","ENSMUSG00000021222","Dcaf4","DDB1 and CUL4 associated factor 4 [Source:MGI Symbol;Acc:MGI:1921078]","0","","6","6820","Non-primary","0","","","","","","","","","","","","","","",""
"8687","ENSMUSG00000021241","Isca2","iron-sulfur cluster assembly 2 [Source:MGI Symbol;Acc:MGI:1921566]","0","","10","3201","Non-primary","1","","","","","","","","","","","","","0.807195932733672","",""
"8688","ENSMUSG00000021598","Med10","mediator complex subunit 10 [Source:MGI Symbol;Acc:MGI:106331]","0","","3","10462","Non-primary","0","","","","","","","","","","","","","","",""
"8689","ENSMUSG00000021645","Smn1","survival motor neuron 1 [Source:MGI Symbol;Acc:MGI:109257]","0","","10","2742","Non-primary","0","","","","","","","","","","","","","","",""
"8690","ENSMUSG00000022095","Fam160b2","family with sequence similarity 160, member B2 [Source:MGI Symbol;Acc:MGI:3036290]","0","","4","9543","Non-primary","0","","","","","","","","","","","","","","",""
"8691","ENSMUSG00000022387","Brd1","bromodomain containing 1 [Source:MGI Symbol;Acc:MGI:1924161]","0","","12","1531","Non-primary","0","","","","","","","","","","","","","","",""
"8692","ENSMUSG00000022407","Adsl","adenylosuccinate lyase [Source:MGI Symbol;Acc:MGI:103202]","0","","9","3747","Non-primary","0","","","","","","","","","","","","","","",""
"8693","ENSMUSG00000022602","Arc","activity regulated cytoskeletal-associated protein [Source:MGI Symbol;Acc:MGI:88067]","0","","5","7518","Non-primary","2","","","","","","","","","","","","","","0.627450980392157","0.0457334076965979"
"8694","ENSMUSG00000022779","Top3b","topoisomerase (DNA) III beta [Source:MGI Symbol;Acc:MGI:1333803]","0","","11","2487","Non-primary","0","","","","","","","","","","","","","","",""
"8695","ENSMUSG00000022858","Tra2b","transformer 2 beta [Source:MGI Symbol;Acc:MGI:106016]","0","","13","571","Non-primary","0","","","","","","","","","","","","","","",""
"8696","ENSMUSG00000023262","Acy1","aminoacylase 1 [Source:MGI Symbol;Acc:MGI:87913]","0","","4","9359","Non-primary","0","","","","","","","","","","","","","","",""
"8697","ENSMUSG00000024145","Pigf","phosphatidylinositol glycan anchor biosynthesis, class F [Source:MGI Symbol;Acc:MGI:99462]","0","","3","10837","Non-primary","0","","","","","","","","","","","","","","",""
"8698","ENSMUSG00000024570","Rbfa","ribosome binding factor A [Source:MGI Symbol;Acc:MGI:1915981]","0","","5","8279","Non-primary","0","","","","","","","","","","","","","","",""
"8699","ENSMUSG00000024667","Tmem216","transmembrane protein 216 [Source:MGI Symbol;Acc:MGI:1920020]","0","","3","10887","Non-primary","0","","","","","","","","","","","","","","",""
"8700","ENSMUSG00000024939","Fam89b","family with sequence similarity 89, member B [Source:MGI Symbol;Acc:MGI:106595]","0","","3","10192","Non-primary","1","","","","","","","","","","","","","0.724677356276887","",""
"8701","ENSMUSG00000024983","Vti1a","vesicle transport through interaction with t-SNAREs 1A [Source:MGI Symbol;Acc:MGI:1855699]","0","","4","9119","Non-primary","0","","","","","","","","","","","","","","",""
"8702","ENSMUSG00000025218","Poll","polymerase (DNA directed), lambda [Source:MGI Symbol;Acc:MGI:1889000]","0","","4","9334","Non-primary","1","","","","","","","","","","","","","0.995307000391083","",""
"8703","ENSMUSG00000025817","Nudt5","nudix (nucleoside diphosphate linked moiety X)-type motif 5 [Source:MGI Symbol;Acc:MGI:1858232]","0","","9","4275","Non-primary","1","","","","","","","","","","","","","","","0.370886781929727"
"8704","ENSMUSG00000026575","Nme7","NME/NM23 family member 7 [Source:MGI Symbol;Acc:MGI:2449121]","0","","5","8059","Non-primary","1","","","","","","","","","","","","","","","0.934746235359732"
"8705","ENSMUSG00000026798","Coq4","coenzyme Q4 [Source:MGI Symbol;Acc:MGI:1098826]","0","","6","7276","Non-primary","1","","","","","","","","","","","","","0.1662104028158","",""
"8706","ENSMUSG00000026965","Anapc2","anaphase promoting complex subunit 2 [Source:MGI Symbol;Acc:MGI:2139135]","0","","12","1329","Non-primary","1","","","","","","","","","","","","","0.371529135705905","",""
"8707","ENSMUSG00000027883","Gpsm2","G-protein signalling modulator 2 (AGS3-like, C. elegans) [Source:MGI Symbol;Acc:MGI:1923373]","0","","8","5067","Non-primary","0","","","","","","","","","","","","","","",""
"8708","ENSMUSG00000028085","Gatb","glutamyl-tRNA(Gln) amidotransferase, subunit B [Source:MGI Symbol;Acc:MGI:2442496]","0","","5","8188","Non-primary","1","","","","","","","","","","","","","0.277669143527571","",""
"8709","ENSMUSG00000028328","Tmod1","tropomodulin 1 [Source:MGI Symbol;Acc:MGI:98775]","0","","3","10595","Non-primary","0","","","","","","","","","","","","","","",""
"8710","ENSMUSG00000028437","Ubap1","ubiquitin-associated protein 1 [Source:MGI Symbol;Acc:MGI:2149543]","0","","11","2431","Non-primary","0","","","","","","","","","","","","","","",""
"8711","ENSMUSG00000028809","Srrm1","serine/arginine repetitive matrix 1 [Source:MGI Symbol;Acc:MGI:1858303]","0","","13","666","Non-primary","0","","","","","","","","","","","","","","",""
"8712","ENSMUSG00000028850","Gpatch3","G patch domain containing 3 [Source:MGI Symbol;Acc:MGI:2442492]","0","","3","10788","Non-primary","0","","","","","","","","","","","","","","",""
"8713","ENSMUSG00000028901","Gmeb1","glucocorticoid modulatory element binding protein 1 [Source:MGI Symbol;Acc:MGI:2135604]","0","","8","5294","Non-primary","1","","","","","","","","","","","","","","","0.108198549916341"
"8714","ENSMUSG00000028910","Mecr","mitochondrial trans-2-enoyl-CoA reductase [Source:MGI Symbol;Acc:MGI:1349441]","0","","7","5861","Non-primary","0","","","","","","","","","","","","","","",""
"8715","ENSMUSG00000028991","Mtor","mechanistic target of rapamycin kinase [Source:MGI Symbol;Acc:MGI:1928394]","0","","10","2752","Non-primary","1","","","","","","","","","","","","","","","0.494143892916899"
"8716","ENSMUSG00000029060","Mib2","mindbomb E3 ubiquitin protein ligase 2 [Source:MGI Symbol;Acc:MGI:2679684]","0","","9","4210","Non-primary","1","","","","","","","","","","","","","0.605005866249511","",""
"8717","ENSMUSG00000029125","Stx18","syntaxin 18 [Source:MGI Symbol;Acc:MGI:1918366]","0","","8","5288","Non-primary","1","","","","","","","","","","","","","0.488854125928823","",""
"8718","ENSMUSG00000029361","Nos1","nitric oxide synthase 1, neuronal [Source:MGI Symbol;Acc:MGI:97360]","0","","3","9723","Non-primary","0","","","","","","","","","","","","","","",""
"8719","ENSMUSG00000029535","Triap1","TP53 regulated inhibitor of apoptosis 1 [Source:MGI Symbol;Acc:MGI:1916326]","0","","7","5890","Non-primary","0","","","","","","","","","","","","","","",""
"8720","ENSMUSG00000029815","Malsu1","mitochondrial assembly of ribosomal large subunit 1 [Source:MGI Symbol;Acc:MGI:1922843]","0","","6","7180","Non-primary","0","","","","","","","","","","","","","","",""
"8721","ENSMUSG00000030177","Ccdc77","coiled-coil domain containing 77 [Source:MGI Symbol;Acc:MGI:1914450]","0","","4","9148","Non-primary","0","","","","","","","","","","","","","","",""
"8722","ENSMUSG00000030271","Ogg1","8-oxoguanine DNA-glycosylase 1 [Source:MGI Symbol;Acc:MGI:1097693]","0","","4","9027","Non-primary","0","","","","","","","","","","","","","","",""
"8723","ENSMUSG00000030316","Tamm41","TAM41 mitochondrial translocator assembly and maintenance homolog [Source:MGI Symbol;Acc:MGI:1916221]","0","","6","7222","Non-primary","0","","","","","","","","","","","","","","",""
"8724","ENSMUSG00000030619","Eed","embryonic ectoderm development [Source:MGI Symbol;Acc:MGI:95286]","0","","11","2317","Non-primary","0","","","","","","","","","","","","","","",""
"8725","ENSMUSG00000030871","Ears2","glutamyl-tRNA synthetase 2, mitochondrial [Source:MGI Symbol;Acc:MGI:1914667]","0","","3","10740","Non-primary","0","","","","","","","","","","","","","","",""
"8726","ENSMUSG00000030890","Ilk","integrin linked kinase [Source:MGI Symbol;Acc:MGI:1195267]","0","","4","8442","Non-primary","1","","","","","","","","","","","","0.564237415477085","","",""
"8727","ENSMUSG00000031568","Rwdd4a","RWD domain containing 4A [Source:MGI Symbol;Acc:MGI:2681000]","0","","9","4290","Non-primary","0","","","","","","","","","","","","","","",""
"8728","ENSMUSG00000031575","Ash2l","ASH2 like histone lysine methyltransferase complex subunit [Source:MGI Symbol;Acc:MGI:1344416]","0","","10","2961","Non-primary","0","","","","","","","","","","","","","","",""
"8729","ENSMUSG00000031792","Usb1","U6 snRNA biogenesis 1 [Source:MGI Symbol;Acc:MGI:2142454]","0","","8","5217","Non-primary","1","","","","","","","","","","","","","0.290574892452092","",""
"8730","ENSMUSG00000031901","Dus2","dihydrouridine synthase 2 [Source:MGI Symbol;Acc:MGI:1913619]","0","","7","6233","Non-primary","0","","","","","","","","","","","","","","",""
"8731","ENSMUSG00000031979","Cog2","component of oligomeric golgi complex 2 [Source:MGI Symbol;Acc:MGI:1923582]","0","","10","3388","Non-primary","0","","","","","","","","","","","","","","",""
"8732","ENSMUSG00000032044","Rpusd4","RNA pseudouridylate synthase domain containing 4 [Source:MGI Symbol;Acc:MGI:1919239]","0","","6","7073","Non-primary","0","","","","","","","","","","","","","","",""
"8733","ENSMUSG00000032263","Bckdhb","branched chain ketoacid dehydrogenase E1, beta polypeptide [Source:MGI Symbol;Acc:MGI:88137]","0","","6","7274","Non-primary","0","","","","","","","","","","","","","","",""
"8734","ENSMUSG00000032342","Mto1","mitochondrial tRNA translation optimization 1 [Source:MGI Symbol;Acc:MGI:1915541]","0","","3","10656","Non-primary","0","","","","","","","","","","","","","","",""
"8735","ENSMUSG00000032478","Nme6","NME/NM23 nucleoside diphosphate kinase 6 [Source:MGI Symbol;Acc:MGI:1861676]","0","","7","6192","Non-primary","0","","","","","","","","","","","","","","",""
"8736","ENSMUSG00000032498","Mlh1","mutL homolog 1 [Source:MGI Symbol;Acc:MGI:101938]","0","","5","8157","Non-primary","0","","","","","","","","","","","","","","",""
"8737","ENSMUSG00000032602","Slc25a20","solute carrier family 25 (mitochondrial carnitine/acylcarnitine translocase), member 20 [Source:MGI Symbol;Acc:MGI:1928738]","0","","6","7088","Non-primary","0","","","","","","","","","","","","","","",""
"8738","ENSMUSG00000032782","Cntrob","centrobin, centrosomal BRCA2 interacting protein [Source:MGI Symbol;Acc:MGI:2443290]","0","","4","9089","Non-primary","0","","","","","","","","","","","","","","",""
"8739","ENSMUSG00000033106","Slc7a6os","solute carrier family 7, member 6 opposite strand [Source:MGI Symbol;Acc:MGI:1916951]","0","","7","6265","Non-primary","0","","","","","","","","","","","","","","",""
"8740","ENSMUSG00000033429","Mcee","methylmalonyl CoA epimerase [Source:MGI Symbol;Acc:MGI:1920974]","0","","7","6063","Non-primary","1","","","","","","","","","","","","","0.140789988267501","",""
"8741","ENSMUSG00000034105","Meak7","MTOR associated protein , eak-7 homolog [Source:MGI Symbol;Acc:MGI:1921597]","0","","3","10600","Non-primary","0","","","","","","","","","","","","","","",""
"8742","ENSMUSG00000034371","Tkfc","triokinase, FMN cyclase [Source:MGI Symbol;Acc:MGI:2385084]","0","","4","9436","Non-primary","0","","","","","","","","","","","","","","",""
"8743","ENSMUSG00000035504","Reep6","receptor accessory protein 6 [Source:MGI Symbol;Acc:MGI:1917585]","0","","4","9238","Non-primary","1","","","","","","","","","","","","","","","0.229224762967094"
"8744","ENSMUSG00000036285","Noa1","nitric oxide associated 1 [Source:MGI Symbol;Acc:MGI:1914306]","0","","5","7876","Non-primary","0","","","","","","","","","","","","","","",""
"8745","ENSMUSG00000036390","Gadd45a","growth arrest and DNA-damage-inducible 45 alpha [Source:MGI Symbol;Acc:MGI:107799]","0","","5","8361","Non-primary","0","","","","","","","","","","","","","","",""
"8746","ENSMUSG00000036513","Commd2","COMM domain containing 2 [Source:MGI Symbol;Acc:MGI:1098806]","0","","6","6687","Non-primary","0","","","","","","","","","","","","","","",""
"8747","ENSMUSG00000036835","Psenen","presenilin enhancer gamma secretase subunit [Source:MGI Symbol;Acc:MGI:1913590]","0","","14","382","Non-primary","0","","","","","","","","","","","","","","",""
"8748","ENSMUSG00000037214","Thap1","THAP domain containing, apoptosis associated protein 1 [Source:MGI Symbol;Acc:MGI:1921004]","0","","4","9514","Non-primary","0","","","","","","","","","","","","","","",""
"8749","ENSMUSG00000038544","Inip","INTS3 and NABP interacting protein [Source:MGI Symbol;Acc:MGI:1913459]","0","","6","6935","Non-primary","0","","","","","","","","","","","","","","",""
"8750","ENSMUSG00000038721","Hoxb7","homeobox B7 [Source:MGI Symbol;Acc:MGI:96188]","0","","3","10757","Non-primary","0","","","","","","","","","","","","","","",""
"8751","ENSMUSG00000038776","Ephx1","epoxide hydrolase 1, microsomal [Source:MGI Symbol;Acc:MGI:95405]","0","","7","5769","Non-primary","0","","","","","","","","","","","","","","",""
"8752","ENSMUSG00000038861","Pi4kb","phosphatidylinositol 4-kinase beta [Source:MGI Symbol;Acc:MGI:1334433]","0","","6","6602","Non-primary","1","","","","","","","","","","","","","","","0.664807585052984"
"8753","ENSMUSG00000038967","Pdk2","pyruvate dehydrogenase kinase, isoenzyme 2 [Source:MGI Symbol;Acc:MGI:1343087]","0","","5","7790","Non-primary","0","","","","","","","","","","","","","","",""
"8754","ENSMUSG00000039055","Eme1","essential meiotic structure-specific endonuclease 1 [Source:MGI Symbol;Acc:MGI:3576783]","0","","3","10919","Non-primary","0","","","","","","","","","","","","","","",""
"8755","ENSMUSG00000039183","Nubp2","nucleotide binding protein 2 [Source:MGI Symbol;Acc:MGI:1347072]","0","","8","4888","Non-primary","1","","","","","","","","","","","","","0.399296050058662","",""
"8756","ENSMUSG00000039810","Zc3h10","zinc finger CCCH type containing 10 [Source:MGI Symbol;Acc:MGI:2143670]","0","","3","10801","Non-primary","0","","","","","","","","","","","","","","",""
"8757","ENSMUSG00000040112","Mrps35","mitochondrial ribosomal protein S35 [Source:MGI Symbol;Acc:MGI:2385255]","0","","7","5846","Non-primary","0","","","","","","","","","","","","","","",""
"8758","ENSMUSG00000040174","Alkbh3","alkB homolog 3, alpha-ketoglutarate-dependent dioxygenase [Source:MGI Symbol;Acc:MGI:1916363]","0","","6","7065","Non-primary","0","","","","","","","","","","","","","","",""
"8759","ENSMUSG00000040795","Iqcc","IQ motif containing C [Source:MGI Symbol;Acc:MGI:2446212]","0","","3","10839","Non-primary","0","","","","","","","","","","","","","","",""
"8760","ENSMUSG00000040822","1700123O20Rik","RIKEN cDNA 1700123O20 gene [Source:MGI Symbol;Acc:MGI:1920893]","0","","9","4223","Non-primary","1","","","","","","","","","","","","","","","0.408254322364752"
"8761","ENSMUSG00000041161","Otud3","OTU domain containing 3 [Source:MGI Symbol;Acc:MGI:1920412]","0","","3","10735","Non-primary","0","","","","","","","","","","","","","","",""
"8762","ENSMUSG00000042426","Dhx29","DEAH (Asp-Glu-Ala-His) box polypeptide 29 [Source:MGI Symbol;Acc:MGI:2145374]","0","","8","5239","Non-primary","0","","","","","","","","","","","","","","",""
"8763","ENSMUSG00000042709","Atpaf2","ATP synthase mitochondrial F1 complex assembly factor 2 [Source:MGI Symbol;Acc:MGI:2180561]","0","","7","6048","Non-primary","0","","","","","","","","","","","","","","",""
"8764","ENSMUSG00000042831","Alkbh6","alkB homolog 6 [Source:MGI Symbol;Acc:MGI:2142037]","0","","6","6886","Non-primary","1","","","","","","","","","","","","","","","0.5287228109314"
"8765","ENSMUSG00000043372","Hexim2","hexamethylene bis-acetamide inducible 2 [Source:MGI Symbol;Acc:MGI:1918309]","0","","3","10896","Non-primary","0","","","","","","","","","","","","","","",""
"8766","ENSMUSG00000044148","1810030O07Rik","RIKEN cDNA 1810030O07 gene [Source:MGI Symbol;Acc:MGI:1916405]","0","","4","9499","Non-primary","0","","","","","","","","","","","","","","",""
"8767","ENSMUSG00000044881","Coa4","cytochrome c oxidase assembly factor 4 [Source:MGI Symbol;Acc:MGI:1915435]","0","","4","9454","Non-primary","0","","","","","","","","","","","","","","",""
"8768","ENSMUSG00000045114","Prrt2","proline-rich transmembrane protein 2 [Source:MGI Symbol;Acc:MGI:1916267]","0","","3","10329","Non-primary","2","","","","","","","","","","","","","0.25576847868596","","0.468488566648076"
"8769","ENSMUSG00000047098","Rnf31","ring finger protein 31 [Source:MGI Symbol;Acc:MGI:1934704]","0","","6","7297","Non-primary","1","","","","","","","","","","","","","","","0.17122141662019"
"8770","ENSMUSG00000048410","Zfp407","zinc finger protein 407 [Source:MGI Symbol;Acc:MGI:2685179]","0","","4","9329","Non-primary","0","","","","","","","","","","","","","","",""
"8771","ENSMUSG00000051149","Adnp","activity-dependent neuroprotective protein [Source:MGI Symbol;Acc:MGI:1338758]","0","","4","8386","Non-primary","2","","","","","","","","","","","","","0.824403597966367","","0.214166201896263"
"8772","ENSMUSG00000053483","Usp21","ubiquitin specific peptidase 21 [Source:MGI Symbol;Acc:MGI:1353665]","0","","8","5158","Non-primary","2","","","","","","","","","","","","","0.458349628470864","","0.656441717791411"
"8773","ENSMUSG00000054604","Cggbp1","CGG triplet repeat binding protein 1 [Source:MGI Symbol;Acc:MGI:2146370]","0","","12","1606","Non-primary","0","","","","","","","","","","","","","","",""
"8774","ENSMUSG00000057788","Ddx49","DEAD (Asp-Glu-Ala-Asp) box polypeptide 49 [Source:MGI Symbol;Acc:MGI:2136689]","0","","8","4904","Non-primary","1","","","","","","","","","","","","","0.439186546734454","",""
"8775","ENSMUSG00000058440","Nrf1","nuclear respiratory factor 1 [Source:MGI Symbol;Acc:MGI:1332235]","0","","8","5281","Non-primary","0","","","","","","","","","","","","","","",""
"8776","ENSMUSG00000059866","Tnip2","TNFAIP3 interacting protein 2 [Source:MGI Symbol;Acc:MGI:2386643]","0","","4","9051","Non-primary","1","","","","","","","","","","","","","","","0.191857222532069"
"8777","ENSMUSG00000061758","Akr1b10","aldo-keto reductase family 1, member B10 (aldose reductase) [Source:MGI Symbol;Acc:MGI:1915111]","0","","4","8785","Non-primary","1","","","","","","","","","","","","0.646882043576258","","",""
"8778","ENSMUSG00000062012","Zfp13","zinc finger protein 13 [Source:MGI Symbol;Acc:MGI:99159]","0","","6","7280","Non-primary","0","","","","","","","","","","","","","","",""
"8779","ENSMUSG00000063320","1190007I07Rik","RIKEN cDNA 1190007I07 gene [Source:MGI Symbol;Acc:MGI:3698433]","0","","5","8347","Non-primary","1","","","","","","","","","","","","","","","0.241494701617401"
"8780","ENSMUSG00000065979","Cpped1","calcineurin-like phosphoesterase domain containing 1 [Source:MGI Symbol;Acc:MGI:2443300]","0","","5","8290","Non-primary","0","","","","","","","","","","","","","","",""
"8781","ENSMUSG00000066149","Cdc26","cell division cycle 26 [Source:MGI Symbol;Acc:MGI:1913690]","0","","7","6223","Non-primary","0","","","","","","","","","","","","","","",""
"8782","ENSMUSG00000070738","Dgkd","diacylglycerol kinase, delta [Source:MGI Symbol;Acc:MGI:2138334]","0","","12","1499","Non-primary","1","","","","","","","","","","","","","0.334376222135315","",""
"8783","ENSMUSG00000073422","H2-Ke6","H2-K region expressed gene 6 [Source:MGI Symbol;Acc:MGI:95911]","0","","3","10717","Non-primary","0","","","","","","","","","","","","","","",""
"8784","ENSMUSG00000073987","Ggh","gamma-glutamyl hydrolase [Source:MGI Symbol;Acc:MGI:1329035]","0","","4","8772","Non-primary","0","","","","","","","","","","","","","","",""
"8785","ENSMUSG00000074643","Cpne1","copine I [Source:MGI Symbol;Acc:MGI:2386621]","0","","3","9989","Non-primary","1","","","","","","","","","","","","","","","0.237590630228667"
"8786","ENSMUSG00000075704","Txnrd2","thioredoxin reductase 2 [Source:MGI Symbol;Acc:MGI:1347023]","0","","6","7191","Non-primary","1","","","","","","","","","","","","","0.123582323034806","",""
"8787","ENSMUSG00000080268","Brms1","breast cancer metastasis-suppressor 1 [Source:MGI Symbol;Acc:MGI:2388804]","0","","3","10279","Non-primary","0","","","","","","","","","","","","","","",""
"8788","ENSMUSG00000116207","Nnt","nicotinamide nucleotide transhydrogenase [Source:MGI Symbol;Acc:MGI:109279]","0","","3","9730","Non-primary","0","","","","","","","","","","","","","","",""
"8661","ENSMUSG00000000303","Cdh1","cadherin 1 [Source:MGI Symbol;Acc:MGI:88354]","0","-3.63956864930275","3","10416","not exclusive","0","","-1.16968840206275","-6.10944889654275","","","","","","","","","","","",""
"8660","ENSMUSG00000021259","Cyp46a1","cytochrome P450, family 46, subfamily a, polypeptide 1 [Source:MGI Symbol;Acc:MGI:1341877]","0","-3.24922699361794","4","8509","not exclusive","0","","-5.42903419984224","","","","","","","","","-1.06941978739364","","","",""
"8659","ENSMUSG00000094377","Gm24407","predicted gene, 24407 [Source:MGI Symbol;Acc:MGI:5454184]","0","-3.06916211115161","3","9631","not exclusive","0","","","-5.21295755743791","","","","-0.589751372379597","","-3.40477740363732","","","","","",""
"8658","ENSMUSG00000034156","Tspoap1","TSPO associated protein 1 [Source:MGI Symbol;Acc:MGI:2450877]","0","-3.04926866904507","3","10324","Non-primary","1","","-3.04926866904507","","","","","","","","","","","0.684004692999609","",""
"8657","ENSMUSG00000030110","Ret","ret proto-oncogene [Source:MGI Symbol;Acc:MGI:97902]","0","-2.85254958996283","4","8477","not exclusive","0","-2.8281699654673","-2.73375656846938","-2.9957222359518","","","","","","","","","","","",""
"8656","ENSMUSG00000032036","Kirrel3","kirre like nephrin family adhesion molecule 3 [Source:MGI Symbol;Acc:MGI:1914953]","0","-2.82361691659858","4","8741","not exclusive","1","","-2.73455535028703","-2.91267848291014","","","","","","","","","","0.228783730934689","",""
"8655","ENSMUSG00000022610","Mapk12","mitogen-activated protein kinase 12 [Source:MGI Symbol;Acc:MGI:1353438]","0","-2.78449087620703","3","9738","Non-primary","0","","-2.95618625335779","","","","","-2.61279549905627","","","","","","","",""
"8654","ENSMUSG00000029095","Ablim2","actin-binding LIM protein 2 [Source:MGI Symbol;Acc:MGI:2385758]","0","-2.76849236075151","3","10759","Primary","0","-2.76849236075151","","","","","","","","","","","","","",""
"8653","ENSMUSG00000004885","Crabp2","cellular retinoic acid binding protein II [Source:MGI Symbol;Acc:MGI:88491]","0","-2.74743436609253","3","9765","not exclusive","0","","-2.44678806198328","-1.88916655635305","","","","-3.90634847994125","","","","","","","",""
