ensembl_gene_id	Gene	flygene	flygenename	soma_log2FC	neurite_log2FC	log2FC_LR_v1	pvalue_v1	minusdox_log2LR	plusdox_log2LR	log2FC_LR_v2	pvalue_v2	log2FC_LR_final	pvalue_final	pvalue.adjust	CLIPin3UTR
ENSMUSG00000065947	mt-Nd4l			 5.50e-01	-3.37e-02	-0.583658	 9.23e-03	 2.34e+00	 1.76e+00	-0.583658	 9.74e-03	-0.583658	 9.74e-03	 8.15e-02	no
ENSMUSG00000064363	mt-Nd4	FBgn0262952	mt:ND4	 5.78e-01	 2.32e-02	-0.554589	 4.80e-03	 2.47e+00	 1.92e+00	-0.554902	 2.10e-02	-0.554902	 2.10e-02	 1.31e-01	no
ENSMUSG00000064367	mt-Nd5	FBgn0013684	mt:ND5	 1.50e-01	-4.07e-01	-0.556650	 1.66e-02	 2.11e+00	 1.55e+00	-0.556703	 5.52e-02	-0.556703	 5.52e-02	 2.33e-01	no
ENSMUSG00000064368	mt-Nd6			-1.18e-01	-8.19e-01	-0.700634	 1.27e-04	 1.57e+00	 8.71e-01	-0.700599	 1.15e-09	-0.700634	 1.27e-04	 3.64e-03	no
ENSMUSG00000064370	mt-Cytb	FBgn0013678	mt:Cyt-b	 1.50e-01	-6.01e-01	-0.751564	 5.07e-05	 2.38e+00	 1.63e+00	-0.751678	 9.41e-04	-0.751678	 9.41e-04	 1.62e-02	no
ENSMUSG00000064372	mt-Tp			 2.80e-01	-8.80e-01	-1.159952	 1.45e-06	 1.82e+00	 6.61e-01	-1.160548	 1.43e-06	-1.159952	 1.45e-06	 8.57e-05	no
ENSMUSG00000096768	Gm47283			 2.07e-01	 6.11e-02	-0.145892	 2.17e-01	-3.29e-01	-4.75e-01	-0.145819	 2.83e-01	-0.145819	 2.83e-01	 5.77e-01	no
ENSMUSG00000024304	Cdh2			-3.88e-01	-4.27e-01	-0.039522	 7.18e-01	-4.26e-01	-4.66e-01	-0.039522	 7.34e-01	-0.039522	 7.34e-01	 8.88e-01	no
ENSMUSG00000048799	Cep120			 7.02e-01	 6.92e-01	-0.010469	 8.90e-01	-1.55e-01	-1.66e-01	-0.010469	 8.95e-01	-0.010469	 8.95e-01	 9.58e-01	yes
ENSMUSG00000073563	Csnk1g3	FBgn0031441	CG9962	-2.83e-01	-2.04e-01	 0.079512	 3.34e-01	 3.76e-02	 1.17e-01	 0.079512	 3.76e-01	 0.079512	 3.76e-01	 6.60e-01	no
ENSMUSG00000052713	Zfp608	FBgn0285917	sbb	 5.79e-02	 3.35e-02	-0.024861	 8.86e-01	-6.80e-01	-7.04e-01	-0.024551	 8.97e-01	-0.024551	 8.97e-01	 9.59e-01	no
ENSMUSG00000053644	Aldh7a1	FBgn0036857	Aldh7A1	-7.76e-02	-9.58e-01	-0.880836	 2.78e-18	 1.90e-01	-6.91e-01	-0.880692	 1.64e-21	-0.880836	 2.78e-18	 1.12e-15	no
ENSMUSG00000008301	Phax	FBgn0033380	Phax	 1.10e-02	 1.30e-01	 0.118982	 1.76e-01	 4.15e-01	 5.34e-01	 0.118790	 1.76e-01	 0.118982	 1.76e-01	 4.53e-01	no
ENSMUSG00000024590	Lmnb1			 6.30e-01	 6.52e-01	 0.021553	 8.42e-01	-1.98e-01	-1.76e-01	 0.022040	 8.52e-01	 0.022040	 8.52e-01	 9.39e-01	no
ENSMUSG00000032656	Marchf3			-7.63e-01	-7.81e-01	-0.018460	 9.05e-01	 4.12e-01	 3.94e-01	-0.018715	 8.97e-01	-0.018460	 9.05e-01	 9.64e-01	no
ENSMUSG00000024592	C330018D20Rik			 4.69e-01	 3.78e-01	-0.090799	 6.10e-01	 4.16e-01	 3.25e-01	-0.090430	 6.20e-01	-0.090430	 6.20e-01	 8.25e-01	no
ENSMUSG00000056124	B4galt6			-5.21e-01	-5.13e-01	 0.008364	 9.19e-01	-3.17e-01	-3.09e-01	 0.008364	 9.14e-01	 0.008364	 9.19e-01	 9.68e-01	yes
ENSMUSG00000033382	Trappc8	FBgn0260655	l(3)76BDm	-7.21e-02	-2.10e-02	 0.051105	 6.08e-01	-2.55e-01	-2.04e-01	 0.051105	 6.46e-01	 0.051105	 6.46e-01	 8.40e-01	no
ENSMUSG00000024317	Rnf138			 9.09e-02	 1.16e-01	 0.024491	 8.29e-01	 3.17e-01	 3.42e-01	 0.024696	 8.20e-01	 0.024491	 8.29e-01	 9.29e-01	no
ENSMUSG00000042680	Garem1			-5.60e-01	-4.77e-01	 0.083351	 4.13e-01	-8.65e-01	-7.82e-01	 0.083351	 4.63e-01	 0.083351	 4.63e-01	 7.30e-01	no
ENSMUSG00000024601	Isoc1	FBgn0039850	CG11333	 3.29e-01	 2.31e-01	-0.097147	 2.55e-01	 3.96e-01	 2.99e-01	-0.097147	 2.54e-01	-0.097147	 2.55e-01	 5.51e-01	no
ENSMUSG00000024601	Isoc1	FBgn0035044	CG3663	 3.29e-01	 2.31e-01	-0.097147	 2.55e-01	 3.96e-01	 2.99e-01	-0.097147	 2.54e-01	-0.097147	 2.55e-01	 5.51e-01	no
ENSMUSG00000033863	Klf9	FBgn0040765	luna	 2.51e-01	 2.62e-01	 0.010841	 9.32e-01	-1.91e-01	-1.80e-01	 0.011142	 9.36e-01	 0.011142	 9.36e-01	 9.73e-01	no
ENSMUSG00000006456	Rbm14			 1.80e-01	-5.78e-02	-0.237593	 9.75e-03	-7.48e-02	-3.12e-01	-0.237389	 7.89e-03	-0.237593	 9.75e-03	 8.15e-02	no
ENSMUSG00000022827	Rabl3			-1.82e-01	 1.00e-01	 0.281898	 1.27e-02	 6.14e-02	 3.43e-01	 0.281975	 8.90e-03	 0.281898	 1.27e-02	 9.61e-02	no
ENSMUSG00000022820	Ndufb4	FBgn0033961	ND-B15	-9.63e-02	-4.97e-02	 0.046681	 7.80e-01	 9.82e-01	 1.03e+00	 0.046617	 7.49e-01	 0.046681	 7.80e-01	 9.08e-01	no
ENSMUSG00000034108	Ccs	FBgn0010531	Ccs	-3.20e-01	-3.06e-01	 0.014144	 9.28e-01	 5.08e-01	 5.22e-01	 0.013866	 9.21e-01	 0.014144	 9.28e-01	 9.70e-01	no
ENSMUSG00000060657	Marf1	FBgn0039972	Marf1	 2.46e-01	 1.13e-01	-0.132733	 1.22e-01	-9.96e-01	-1.13e+00	-0.132592	 1.38e-01	-0.132592	 1.38e-01	 3.94e-01	yes
ENSMUSG00000022816	Fstl1			-1.70e+00	-1.54e+00	 0.158245	 8.09e-02	-1.30e-01	 2.87e-02	 0.158245	 8.25e-02	 0.158245	 8.25e-02	 2.93e-01	no
ENSMUSG00000038059	Smim3			-9.15e-02	-1.68e-01	-0.077060	 6.55e-01	 8.66e-01	 7.89e-01	-0.076929	 5.98e-01	-0.077060	 6.55e-01	 8.45e-01	no
ENSMUSG00000024603	Dctn4	FBgn0033206	DCTN4-p62	-1.49e-01	 2.82e-02	 0.177314	 2.07e-02	 5.56e-03	 1.83e-01	 0.177399	 3.29e-02	 0.177399	 3.29e-02	 1.72e-01	no
ENSMUSG00000034158	Lrrc58	FBgn0052687	CG32687	-1.99e-01	-2.93e-01	-0.094065	 4.09e-01	-6.73e-01	-7.67e-01	-0.094065	 4.10e-01	-0.094065	 4.10e-01	 6.88e-01	yes
ENSMUSG00000022812	Gsk3b	FBgn0046332	gskt	-1.75e-01	-8.04e-01	-0.628790	 3.55e-15	-2.05e-01	-8.33e-01	-0.628790	 4.67e-14	-0.628790	 4.67e-14	 1.10e-11	yes
ENSMUSG00000022812	Gsk3b	FBgn0003371	sgg	-1.75e-01	-8.04e-01	-0.628790	 3.55e-15	-2.05e-01	-8.33e-01	-0.628790	 4.67e-14	-0.628790	 4.67e-14	 1.10e-11	yes
ENSMUSG00000022678	Nde1	FBgn0036059	nudE	 4.16e-01	 2.79e-01	-0.137116	 3.45e-01	 3.45e-02	-1.03e-01	-0.137179	 3.98e-01	-0.137179	 3.98e-01	 6.78e-01	no
ENSMUSG00000024943	Smc5	FBgn0052438	SMC5	-5.17e-02	 5.17e-02	 0.103203	 3.62e-01	-7.40e-01	-6.36e-01	 0.103433	 3.76e-01	 0.103433	 3.76e-01	 6.60e-01	no
ENSMUSG00000024604	Rbm22	FBgn0037220	CG14641	-3.45e-02	-6.12e-02	-0.026723	 7.84e-01	-2.77e-01	-3.04e-01	-0.026723	 8.05e-01	-0.026723	 8.05e-01	 9.19e-01	no
ENSMUSG00000002489	Tiam1			-4.94e-01	-3.34e-01	 0.159573	 2.29e-01	-1.16e+00	-1.00e+00	 0.159594	 3.40e-01	 0.159594	 3.40e-01	 6.29e-01	yes
ENSMUSG00000006463	Zdhhc24			 1.06e+00	 1.99e+00	 0.929496	 2.08e-11	-3.55e-01	 5.74e-01	 0.930609	 3.97e-10	 0.930609	 3.97e-10	 5.72e-08	yes
ENSMUSG00000054008	Ndst1			-2.44e-01	-4.06e-01	-0.161926	 1.18e-01	-1.08e+00	-1.25e+00	-0.161861	 1.87e-01	-0.161861	 1.87e-01	 4.69e-01	no
ENSMUSG00000033207	Mamdc2			-3.15e-01	-2.19e-01	 0.095351	 5.21e-01	-1.06e-01	-1.09e-02	 0.095351	 5.27e-01	 0.095351	 5.27e-01	 7.70e-01	no
ENSMUSG00000024608	Rps14	FBgn0004404	RpS14b	 5.28e-01	 3.54e-01	-0.173762	 1.25e-02	 1.50e+00	 1.33e+00	-0.173800	 7.00e-03	-0.173762	 1.25e-02	 9.49e-02	no
ENSMUSG00000024608	Rps14	FBgn0004403	RpS14a	 5.28e-01	 3.54e-01	-0.173762	 1.25e-02	 1.50e+00	 1.33e+00	-0.173800	 7.00e-03	-0.173762	 1.25e-02	 9.49e-02	no
ENSMUSG00000074925	Ptar1	FBgn0027296	temp	-5.34e-02	 1.13e-01	 0.165828	 2.30e-01	-9.41e-01	-7.74e-01	 0.166242	 2.72e-01	 0.166242	 2.72e-01	 5.66e-01	no
ENSMUSG00000006464	Bbs1	FBgn0035741	BBS1	 1.01e-01	 7.40e-02	-0.027245	 8.33e-01	-8.15e-01	-8.42e-01	-0.026943	 8.52e-01	-0.026943	 8.52e-01	 9.39e-01	no
ENSMUSG00000022982	Sod1	FBgn0003462	Sod1	 1.44e-01	 3.74e-03	-0.140291	 7.12e-02	 1.48e+00	 1.34e+00	-0.140465	 9.02e-02	-0.140465	 9.02e-02	 3.08e-01	no
ENSMUSG00000022983	Scaf4	FBgn0034598	CG4266	 1.68e-01	-3.21e-02	-0.200259	 4.14e-02	 2.79e-01	 7.81e-02	-0.200456	 8.63e-02	-0.200456	 8.63e-02	 3.01e-01	no
ENSMUSG00000024897	Apba1	FBgn0052677	X11Lbeta	 1.01e+00	 5.52e-01	-0.457676	 6.30e-06	-5.35e-01	-9.93e-01	-0.457431	 1.03e-04	-0.457431	 1.03e-04	 3.10e-03	yes
ENSMUSG00000063904	Dpp3	FBgn0037580	DppIII	-3.80e-01	-3.65e-01	 0.015798	 8.42e-01	-4.25e-02	-2.68e-02	 0.015617	 8.52e-01	 0.015617	 8.52e-01	 9.39e-01	no
ENSMUSG00000039929	Urb1	FBgn0038968	CG12499	 2.11e-01	 2.73e-01	 0.061527	 5.82e-01	-1.15e+00	-1.09e+00	 0.061980	 5.90e-01	 0.061980	 5.90e-01	 8.09e-01	no
ENSMUSG00000024812	Tjp2	FBgn0262614	pyd	 2.56e-01	 4.96e-02	-0.206571	 1.15e-01	-4.25e-01	-6.32e-01	-0.206523	 1.69e-01	-0.206523	 1.69e-01	 4.43e-01	no
ENSMUSG00000024277	Mapre2	FBgn0031585	CG2955	-1.04e-01	-2.14e-01	-0.109962	 1.62e-01	-3.42e-03	-1.13e-01	-0.109962	 1.85e-01	-0.109962	 1.85e-01	 4.66e-01	no
ENSMUSG00000024277	Mapre2	FBgn0052371	CG32371	-1.04e-01	-2.14e-01	-0.109962	 1.62e-01	-3.42e-03	-1.13e-01	-0.109962	 1.85e-01	-0.109962	 1.85e-01	 4.66e-01	no
ENSMUSG00000024277	Mapre2	FBgn0034403	CG18190	-1.04e-01	-2.14e-01	-0.109962	 1.62e-01	-3.42e-03	-1.13e-01	-0.109962	 1.85e-01	-0.109962	 1.85e-01	 4.66e-01	no
ENSMUSG00000024277	Mapre2	FBgn0027066	Eb1	-1.04e-01	-2.14e-01	-0.109962	 1.62e-01	-3.42e-03	-1.13e-01	-0.109962	 1.85e-01	-0.109962	 1.85e-01	 4.66e-01	no
ENSMUSG00000024276	Zfp397			-1.44e-01	 1.59e-01	 0.303633	 3.31e-03	-5.59e-01	-2.55e-01	 0.303456	 1.08e-02	 0.303456	 1.08e-02	 8.68e-02	no
ENSMUSG00000063281	Zfp35			 3.23e-01	 3.07e-01	-0.015927	 8.71e-01	 5.27e-01	 5.11e-01	-0.015927	 8.72e-01	-0.015927	 8.72e-01	 9.48e-01	no
ENSMUSG00000051469	Zfp24			-1.23e-01	 3.49e-02	 0.157983	 1.31e-01	 3.16e-03	 1.61e-01	 0.158003	 1.73e-01	 0.158003	 1.73e-01	 4.49e-01	no
ENSMUSG00000047989	Ino80c	FBgn0040929	CG12659	-9.86e-03	 1.59e-01	 0.168913	 1.67e-01	 3.40e-01	 5.09e-01	 0.168913	 1.74e-01	 0.168913	 1.74e-01	 4.50e-01	no
ENSMUSG00000059363	Fxn	FBgn0030092	fh	 3.12e-02	-2.32e-01	-0.263724	 8.00e-02	 5.14e-01	 2.51e-01	-0.263724	 7.49e-02	-0.263724	 8.00e-02	 2.88e-01	no
ENSMUSG00000024613	Tcof1			 1.98e-01	 6.76e-02	-0.130772	 2.12e-01	-4.33e-01	-5.63e-01	-0.130856	 2.77e-01	-0.130856	 2.77e-01	 5.70e-01	no
ENSMUSG00000024902	Mrpl11	FBgn0038234	mRpL11	-7.22e-03	 4.03e-02	 0.047427	 6.45e-01	 7.94e-01	 8.41e-01	 0.047506	 6.32e-01	 0.047427	 6.45e-01	 8.39e-01	no
ENSMUSG00000058927	Gm10053	FBgn0086907	Cyt-c-d	 3.58e-01	 2.80e-01	-0.077721	 4.41e-01	 9.86e-01	 9.08e-01	-0.077912	 4.59e-01	-0.077912	 4.59e-01	 7.27e-01	no
ENSMUSG00000000420	Galnt1			-2.05e-01	-2.32e-01	-0.026680	 7.46e-01	 5.42e-02	 2.76e-02	-0.026680	 7.50e-01	-0.026680	 7.50e-01	 8.96e-01	no
ENSMUSG00000022677	Fopnl			-1.37e-01	-1.67e-01	-0.029985	 8.06e-01	 7.06e-01	 6.76e-01	-0.029985	 8.14e-01	-0.029985	 8.14e-01	 9.23e-01	no
ENSMUSG00000020601	Trib2	FBgn0028978	trbl	 4.46e-01	 3.70e-01	-0.075789	 2.39e-01	-1.26e-01	-2.02e-01	-0.075715	 2.69e-01	-0.075715	 2.69e-01	 5.63e-01	no
ENSMUSG00000024273	2700062C07Rik			-3.18e-01	-4.76e-02	 0.270489	 5.70e-02	 3.53e-01	 6.23e-01	 0.270489	 4.86e-02	 0.270489	 5.70e-02	 2.37e-01	no
ENSMUSG00000035181	Heatr5a	FBgn0037541	CG2747	 7.84e-01	 4.96e-01	-0.288360	 7.35e-03	-6.78e-01	-9.66e-01	-0.288179	 1.27e-02	-0.288179	 1.27e-02	 9.59e-02	no
ENSMUSG00000040446	Rprd1a	FBgn0035318	CG9018	 4.55e-01	 4.30e-01	-0.025371	 8.10e-01	 5.83e-02	 3.30e-02	-0.025149	 8.21e-01	-0.025149	 8.21e-01	 9.26e-01	no
ENSMUSG00000024270	Slc39a6			-1.96e-01	 7.50e-02	 0.271074	 3.29e-04	-6.36e-01	-3.65e-01	 0.271144	 7.28e-04	 0.271144	 7.28e-04	 1.31e-02	no
ENSMUSG00000022972	Cfap298	FBgn0040696	CG18675	 1.78e-03	-3.07e-02	-0.032374	 7.78e-01	 6.78e-01	 6.46e-01	-0.032374	 7.75e-01	-0.032374	 7.78e-01	 9.07e-01	no
ENSMUSG00000073131	Vma21	FBgn0036998	CG5969	 3.59e-02	 5.11e-01	 0.475482	 3.16e-05	-5.93e-02	 4.16e-01	 0.475653	 3.80e-05	 0.475653	 3.80e-05	 1.37e-03	no
ENSMUSG00000073131	Vma21	FBgn0259705	CG42359	 3.59e-02	 5.11e-01	 0.475482	 3.16e-05	-5.93e-02	 4.16e-01	 0.475653	 3.80e-05	 0.475653	 3.80e-05	 1.37e-03	no
ENSMUSG00000022790	Igsf11			 4.84e-01	 3.89e-01	-0.095780	 5.74e-01	-6.47e-02	-1.60e-01	-0.094978	 5.93e-01	-0.094978	 5.93e-01	 8.11e-01	no
ENSMUSG00000024617	Camk2a			-3.28e-01	-4.26e-01	-0.098969	 5.18e-01	-5.60e-01	-6.58e-01	-0.099021	 5.35e-01	-0.099021	 5.35e-01	 7.76e-01	yes
ENSMUSG00000061080	Lsamp	FBgn0259714	DIP-epsilon	 2.95e-01	 2.33e-02	-0.271882	 3.33e-02	-2.08e-01	-4.80e-01	-0.271914	 6.41e-02	-0.271914	 6.41e-02	 2.52e-01	yes
ENSMUSG00000061080	Lsamp	FBgn0051708	DIP-zeta	 2.95e-01	 2.33e-02	-0.271882	 3.33e-02	-2.08e-01	-4.80e-01	-0.271914	 6.41e-02	-0.271914	 6.41e-02	 2.52e-01	yes
ENSMUSG00000061080	Lsamp	FBgn0031837	DIP-iota	 2.95e-01	 2.33e-02	-0.271882	 3.33e-02	-2.08e-01	-4.80e-01	-0.271914	 6.41e-02	-0.271914	 6.41e-02	 2.52e-01	yes
ENSMUSG00000061080	Lsamp	FBgn0051814	DIP-kappa	 2.95e-01	 2.33e-02	-0.271882	 3.33e-02	-2.08e-01	-4.80e-01	-0.271914	 6.41e-02	-0.271914	 6.41e-02	 2.52e-01	yes
ENSMUSG00000061080	Lsamp	FBgn0031725	DIP-eta	 2.95e-01	 2.33e-02	-0.271882	 3.33e-02	-2.08e-01	-4.80e-01	-0.271914	 6.41e-02	-0.271914	 6.41e-02	 2.52e-01	yes
ENSMUSG00000061080	Lsamp	FBgn0053543	CG33543	 2.95e-01	 2.33e-02	-0.271882	 3.33e-02	-2.08e-01	-4.80e-01	-0.271914	 6.41e-02	-0.271914	 6.41e-02	 2.52e-01	yes
ENSMUSG00000061080	Lsamp	FBgn0031627	fipi	 2.95e-01	 2.33e-02	-0.271882	 3.33e-02	-2.08e-01	-4.80e-01	-0.271914	 6.41e-02	-0.271914	 6.41e-02	 2.52e-01	yes
ENSMUSG00000061080	Lsamp	FBgn0259245	DIP-beta	 2.95e-01	 2.33e-02	-0.271882	 3.33e-02	-2.08e-01	-4.80e-01	-0.271914	 6.41e-02	-0.271914	 6.41e-02	 2.52e-01	yes
ENSMUSG00000061080	Lsamp	FBgn0034723	CG13506	 2.95e-01	 2.33e-02	-0.271882	 3.33e-02	-2.08e-01	-4.80e-01	-0.271914	 6.41e-02	-0.271914	 6.41e-02	 2.52e-01	yes
ENSMUSG00000061080	Lsamp	FBgn0017590	klg	 2.95e-01	 2.33e-02	-0.271882	 3.33e-02	-2.08e-01	-4.80e-01	-0.271914	 6.41e-02	-0.271914	 6.41e-02	 2.52e-01	yes
ENSMUSG00000061080	Lsamp	FBgn0000071	Ama	 2.95e-01	 2.33e-02	-0.271882	 3.33e-02	-2.08e-01	-4.80e-01	-0.271914	 6.41e-02	-0.271914	 6.41e-02	 2.52e-01	yes
ENSMUSG00000061080	Lsamp	FBgn0010238	Lac	 2.95e-01	 2.33e-02	-0.271882	 3.33e-02	-2.08e-01	-4.80e-01	-0.271914	 6.41e-02	-0.271914	 6.41e-02	 2.52e-01	yes
ENSMUSG00000020956	Dtd2			-1.60e-01	-1.44e-01	 0.015260	 9.36e-01	 4.33e-01	 4.49e-01	 0.015263	 9.33e-01	 0.015260	 9.36e-01	 9.73e-01	no
ENSMUSG00000056537	Rlim			 1.47e-02	-4.05e-02	-0.055289	 4.72e-01	-1.15e-01	-1.71e-01	-0.055124	 4.63e-01	-0.055289	 4.72e-01	 7.36e-01	no
ENSMUSG00000041817	Fam169a			-8.43e-02	-9.32e-02	-0.009046	 9.12e-01	 5.47e-02	 4.57e-02	-0.009046	 9.15e-01	-0.009046	 9.15e-01	 9.67e-01	no
ENSMUSG00000047261	Gap43			 1.07e-01	 2.59e-01	 0.151957	 3.17e-02	 4.12e-01	 5.64e-01	 0.151957	 2.84e-02	 0.151957	 3.17e-02	 1.67e-01	no
ENSMUSG00000060739	Nsa2	FBgn0025366	Ip259	 5.57e-02	-8.98e-02	-0.145412	 5.01e-02	 1.49e+00	 1.35e+00	-0.145412	 7.08e-02	-0.145412	 7.08e-02	 2.67e-01	no
ENSMUSG00000024271	Elp2	FBgn0033540	Elp2	 1.22e-01	 1.27e-01	 0.004815	 9.48e-01	 1.76e-01	 1.81e-01	 0.004815	 9.52e-01	 0.004815	 9.52e-01	 9.80e-01	no
ENSMUSG00000022973	Synj1	FBgn0034691	Synj	 2.66e-03	 7.82e-02	 0.075512	 4.50e-01	-9.44e-01	-8.69e-01	 0.075556	 5.38e-01	 0.075556	 5.38e-01	 7.77e-01	yes
ENSMUSG00000022973	Synj1	FBgn0038890	CG7956	 2.66e-03	 7.82e-02	 0.075512	 4.50e-01	-9.44e-01	-8.69e-01	 0.075556	 5.38e-01	 0.075556	 5.38e-01	 7.77e-01	yes
ENSMUSG00000022973	Synj1	FBgn0034179	CG6805	 2.66e-03	 7.82e-02	 0.075512	 4.50e-01	-9.44e-01	-8.69e-01	 0.075556	 5.38e-01	 0.075556	 5.38e-01	 7.77e-01	yes
ENSMUSG00000022973	Synj1	FBgn0030761	CG9784	 2.66e-03	 7.82e-02	 0.075512	 4.50e-01	-9.44e-01	-8.69e-01	 0.075556	 5.38e-01	 0.075556	 5.38e-01	 7.77e-01	yes
ENSMUSG00000038212	Mfsd14b	FBgn0037004	CG17637	-2.10e-01	-2.55e-01	-0.044991	 7.03e-01	-7.13e-02	-1.16e-01	-0.044968	 7.13e-01	-0.044968	 7.13e-01	 8.78e-01	no
ENSMUSG00000038212	Mfsd14b	FBgn0037003	CG18281	-2.10e-01	-2.55e-01	-0.044991	 7.03e-01	-7.13e-02	-1.16e-01	-0.044968	 7.13e-01	-0.044968	 7.13e-01	 8.78e-01	no
ENSMUSG00000038212	Mfsd14b	FBgn0037005	CG5078	-2.10e-01	-2.55e-01	-0.044991	 7.03e-01	-7.13e-02	-1.16e-01	-0.044968	 7.13e-01	-0.044968	 7.13e-01	 8.78e-01	no
ENSMUSG00000038212	Mfsd14b	FBgn0035400	CG11537	-2.10e-01	-2.55e-01	-0.044991	 7.03e-01	-7.13e-02	-1.16e-01	-0.044968	 7.13e-01	-0.044968	 7.13e-01	 8.78e-01	no
ENSMUSG00000024891	Slc29a2	FBgn0263916	Ent2	 5.16e-03	 4.39e-02	 0.038575	 8.06e-01	-7.03e-01	-6.64e-01	 0.038775	 8.33e-01	 0.038775	 8.33e-01	 9.30e-01	no
ENSMUSG00000021242	Npc2	FBgn0031381	Npc2a	-4.48e-01	-1.94e-01	 0.253163	 1.89e-03	 3.62e-01	 6.15e-01	 0.253163	 6.73e-04	 0.253163	 1.89e-03	 2.66e-02	no
ENSMUSG00000021241	Isca2	FBgn0039205	CG13623	-1.35e-01	-6.52e-02	 0.069452	 5.17e-01	 4.86e-01	 5.56e-01	 0.069452	 5.22e-01	 0.069452	 5.22e-01	 7.68e-01	no
ENSMUSG00000021359	Tfap2a			-7.55e-01	-1.04e+00	-0.286774	 4.14e-02	-2.96e-01	-5.82e-01	-0.286976	 6.02e-02	-0.286976	 6.02e-02	 2.43e-01	no
ENSMUSG00000035133	Arhgap5			-5.20e-02	-1.01e-01	-0.049261	 6.48e-01	-9.36e-02	-1.43e-01	-0.049036	 6.41e-01	-0.049261	 6.48e-01	 8.41e-01	no
ENSMUSG00000047379	B4gat1	FBgn0031738	CG9171	-6.77e-01	-7.25e-01	-0.048135	 6.30e-01	-2.19e-01	-2.68e-01	-0.048135	 6.41e-01	-0.048135	 6.41e-01	 8.37e-01	no
ENSMUSG00000047379	B4gat1	FBgn0032457	CG15483	-6.77e-01	-7.25e-01	-0.048135	 6.30e-01	-2.19e-01	-2.68e-01	-0.048135	 6.41e-01	-0.048135	 6.41e-01	 8.37e-01	no
ENSMUSG00000047379	B4gat1	FBgn0031732	CG11149	-6.77e-01	-7.25e-01	-0.048135	 6.30e-01	-2.19e-01	-2.68e-01	-0.048135	 6.41e-01	-0.048135	 6.41e-01	 8.37e-01	no
ENSMUSG00000031333	Abcb7	FBgn0035244	ABCB7	 4.98e-01	 7.30e-01	 0.231901	 4.04e-02	 3.47e-02	 2.67e-01	 0.232246	 5.75e-02	 0.232246	 5.75e-02	 2.38e-01	no
ENSMUSG00000024878	Cbwd1			-5.57e-01	-4.85e-01	 0.071577	 6.23e-01	 4.72e-01	 5.44e-01	 0.071340	 5.94e-01	 0.071577	 6.23e-01	 8.26e-01	no
ENSMUSG00000061603	Akap6			 9.18e-01	 4.58e-01	-0.460668	 3.20e-05	 1.94e+00	 1.48e+00	-0.460594	 1.48e-04	-0.460594	 1.48e-04	 4.04e-03	yes
ENSMUSG00000021938	Pspc1			-1.74e-02	 2.18e-01	 0.235665	 7.49e-02	 1.11e-01	 3.47e-01	 0.235665	 7.75e-02	 0.235665	 7.75e-02	 2.82e-01	no
