pathways_name_level0,gene_secondary_identifier,gene_symbol,pathways_identifier_level1,pathways_name_level1,datasets_name,gene_primary_identifier
Metabolism of proteins,CG10071,RpL29,R-DME-72766,Translation,Reactome pathways data set,FBgn0016726
Metabolism of RNA,CG10071,RpL29,R-DME-927802,Nonsense-Mediated Decay (NMD),Reactome pathways data set,FBgn0016726
Metabolism,CG10072,sgl,R-DME-211859,Biological oxidations,Reactome pathways data set,FBgn0261445
Vesicle-mediated transport,CG10079,Egfr,R-DME-199991,Membrane Trafficking,Reactome pathways data set,FBgn0003731
Signal Transduction,CG10079,Egfr,R-DME-372790,Signaling by GPCR,Reactome pathways data set,FBgn0003731
Signal Transduction,CG10079,Egfr,R-DME-5683057,MAPK family signaling cascades,Reactome pathways data set,FBgn0003731
Signal Transduction,CG10079,Egfr,R-DME-9006931,Signaling by Nuclear Receptors,Reactome pathways data set,FBgn0003731
Signal Transduction,CG10079,Egfr,R-DME-9006934,Signaling by Receptor Tyrosine Kinases,Reactome pathways data set,FBgn0003731
Developmental Biology,CG10079,Egfr,R-DME-9675108,Nervous system development,Reactome pathways data set,FBgn0003731
Immune System,CG10080,mahj,R-DME-1280218,Adaptive Immune System,Reactome pathways data set,FBgn0034641
Metabolism,CG10082,CG10082,R-DME-1483249,Inositol phosphate metabolism,Reactome pathways data set,FBgn0034644
Programmed Cell Death,CG10083,Abp1,R-DME-109581,Apoptosis,Reactome pathways data set,FBgn0036372
Immune System,CG10083,Abp1,R-DME-168249,Innate Immune System,Reactome pathways data set,FBgn0036372
Neuronal System,CG10083,Abp1,R-DME-6794362,Protein-protein interactions at synapses,Reactome pathways data set,FBgn0036372
Signal Transduction,CG10083,Abp1,R-DME-9716542,"Signaling by Rho GTPases, Miro GTPases and RHOBTB3",Reactome pathways data set,FBgn0036372
Immune System,CG1009,Psa,R-DME-1280218,Adaptive Immune System,Reactome pathways data set,FBgn0261243
Protein localization,CG10090,Tim17a1,R-DME-1268020,Mitochondrial protein import,Reactome pathways data set,FBgn0038018
Neuronal System,CG10101,Ir84a,R-DME-112315,Transmission across Chemical Synapses,Reactome pathways data set,FBgn0037501
Vesicle-mediated transport,CG10101,Ir84a,R-DME-199991,Membrane Trafficking,Reactome pathways data set,FBgn0037501
Metabolism of proteins,CG10101,Ir84a,R-DME-597592,Post-translational protein modification,Reactome pathways data set,FBgn0037501
Immune System,CG10103,Ist1,R-DME-168249,Innate Immune System,Reactome pathways data set,FBgn0035715
Cell Cycle,CG10103,Ist1,R-DME-69278,"Cell Cycle, Mitotic",Reactome pathways data set,FBgn0035715
Immune System,CG10104,CG10104,R-DME-1280218,Adaptive Immune System,Reactome pathways data set,FBgn0033933
Metabolism of proteins,CG10104,CG10104,R-DME-2980736,Peptide hormone metabolism,Reactome pathways data set,FBgn0033933
Metabolism of proteins,CG10104,CG10104,R-DME-5683826,Surfactant metabolism,Reactome pathways data set,FBgn0033933
Immune System,CG10105,Sin1,R-DME-1280218,Adaptive Immune System,Reactome pathways data set,FBgn0033935
Signal Transduction,CG10105,Sin1,R-DME-9006925,Intracellular signaling by second messengers,Reactome pathways data set,FBgn0033935
Signal Transduction,CG10105,Sin1,R-DME-9006934,Signaling by Receptor Tyrosine Kinases,Reactome pathways data set,FBgn0033935
Immune System,CG10106,Tsp42Ee,R-DME-168249,Innate Immune System,Reactome pathways data set,FBgn0029506
Hemostasis,CG10106,Tsp42Ee,R-DME-76002,"Platelet activation, signaling and aggregation",Reactome pathways data set,FBgn0029506
Metabolism of RNA,CG10110,Cpsf160,R-DME-72203,Processing of Capped Intron-Containing Pre-mRNA,Reactome pathways data set,FBgn0024698
Gene expression (Transcription),CG10110,Cpsf160,R-DME-73857,RNA Polymerase II Transcription,Reactome pathways data set,FBgn0024698
Metabolism of RNA,CG10110,Cpsf160,R-DME-75067,Processing of Capped Intronless Pre-mRNA,Reactome pathways data set,FBgn0024698
Transport of small molecules,CG10116,CG10116,R-DME-174824,"Plasma lipoprotein assembly, remodeling, and clearance",Reactome pathways data set,FBgn0036367
Metabolism,CG10116,CG10116,R-DME-556833,Metabolism of lipids,Reactome pathways data set,FBgn0036367
Digestion and absorption,CG10116,CG10116,R-DME-8935690,Digestion,Reactome pathways data set,FBgn0036367
Metabolism,CG10117,ttv,R-DME-71387,Metabolism of carbohydrates,Reactome pathways data set,FBgn0265974
Metabolism,CG10118,ple,R-DME-71291,Metabolism of amino acids and derivatives,Reactome pathways data set,FBgn0005626
Metabolism,CG10120,Men,R-DME-1428517,The citric acid (TCA) cycle and respiratory electron transport,Reactome pathways data set,FBgn0002719
Gene expression (Transcription),CG10122,Polr1A,R-DME-73864,RNA Polymerase I Transcription,Reactome pathways data set,FBgn0019938
Metabolism of RNA,CG10128,tra2,R-DME-72203,Processing of Capped Intron-Containing Pre-mRNA,Reactome pathways data set,FBgn0003742
Metabolism of RNA,CG10128,tra2,R-DME-72312,rRNA processing,Reactome pathways data set,FBgn0003742
Signal Transduction,CG10128,tra2,R-DME-9716542,"Signaling by Rho GTPases, Miro GTPases and RHOBTB3",Reactome pathways data set,FBgn0003742
Protein localization,CG10130,Sec61beta,R-DME-9609523,Insertion of tail-anchored proteins into the endoplasmic reticulum membrane,Reactome pathways data set,FBgn0010638
Metabolism of proteins,CG10142,Ance-5,R-DME-2980736,Peptide hormone metabolism,Reactome pathways data set,FBgn0035076
Metabolism of proteins,CG10145,mspo,R-DME-597592,Post-translational protein modification,Reactome pathways data set,FBgn0020269
Immune System,CG10149,Rpn6,R-DME-1280215,Cytokine Signaling in Immune system,Reactome pathways data set,FBgn0028689
Immune System,CG10149,Rpn6,R-DME-1280218,Adaptive Immune System,Reactome pathways data set,FBgn0028689
Immune System,CG10149,Rpn6,R-DME-168249,Innate Immune System,Reactome pathways data set,FBgn0028689
Signal Transduction,CG10149,Rpn6,R-DME-195721,Signaling by WNT,Reactome pathways data set,FBgn0028689
Drosophila signaling pathways,CG10149,Rpn6,R-DME-209392,Hedgehog pathway,Reactome pathways data set,FBgn0028689
Drosophila signaling pathways,CG10149,Rpn6,R-DME-209412,Wingless pathway,Reactome pathways data set,FBgn0028689
Drosophila signaling pathways,CG10149,Rpn6,R-DME-209449,Toll pathway,Reactome pathways data set,FBgn0028689
Cellular responses to stimuli,CG10149,Rpn6,R-DME-2262752,Cellular responses to stress,Reactome pathways data set,FBgn0028689
Transport of small molecules,CG10149,Rpn6,R-DME-382556,ABC-family proteins mediated transport,Reactome pathways data set,FBgn0028689
Drosophila signaling pathways,CG10149,Rpn6,R-DME-432626,Circadian Clock pathway,Reactome pathways data set,FBgn0028689
Metabolism of RNA,CG10149,Rpn6,R-DME-450531,Regulation of mRNA stability by proteins that bind AU-rich elements,Reactome pathways data set,FBgn0028689
Signal Transduction,CG10149,Rpn6,R-DME-5358351,Signaling by Hedgehog,Reactome pathways data set,FBgn0028689
Metabolism of proteins,CG10149,Rpn6,R-DME-597592,Post-translational protein modification,Reactome pathways data set,FBgn0028689
DNA Replication,CG10149,Rpn6,R-DME-69002,DNA Replication Pre-Initiation,Reactome pathways data set,FBgn0028689
DNA Replication,CG10149,Rpn6,R-DME-69239,Synthesis of DNA,Reactome pathways data set,FBgn0028689
Cell Cycle,CG10149,Rpn6,R-DME-69278,"Cell Cycle, Mitotic",Reactome pathways data set,FBgn0028689
Cell Cycle,CG10149,Rpn6,R-DME-69620,Cell Cycle Checkpoints,Reactome pathways data set,FBgn0028689
Metabolism,CG10149,Rpn6,R-DME-71291,Metabolism of amino acids and derivatives,Reactome pathways data set,FBgn0028689
Gene expression (Transcription),CG10149,Rpn6,R-DME-73857,RNA Polymerase II Transcription,Reactome pathways data set,FBgn0028689
Signal Transduction,CG10149,Rpn6,R-DME-9006925,Intracellular signaling by second messengers,Reactome pathways data set,FBgn0028689
Vesicle-mediated transport,CG10153,Trs31,R-DME-199991,Membrane Trafficking,Reactome pathways data set,FBgn0266723
Metabolism of proteins,CG10153,Trs31,R-DME-597592,Post-translational protein modification,Reactome pathways data set,FBgn0266723
Immune System,CG10157,GILT2,R-DME-1280218,Adaptive Immune System,Reactome pathways data set,FBgn0039099
Metabolism,CG10160,Ldh,R-DME-1428517,The citric acid (TCA) cycle and respiratory electron transport,Reactome pathways data set,FBgn0001258
Metabolism of proteins,CG10161,eIF3d1,R-DME-72766,Translation,Reactome pathways data set,FBgn0040227
Transport of small molecules,CG10163,CG10163,R-DME-174824,"Plasma lipoprotein assembly, remodeling, and clearance",Reactome pathways data set,FBgn0035697
Metabolism,CG10163,CG10163,R-DME-556833,Metabolism of lipids,Reactome pathways data set,FBgn0035697
Digestion and absorption,CG10163,CG10163,R-DME-8935690,Digestion,Reactome pathways data set,FBgn0035697
Metabolism of proteins,CG10166,Dpm1,R-DME-597592,Post-translational protein modification,Reactome pathways data set,FBgn0032799
Transport of small molecules,CG10173,Best2,R-DME-983712,Ion channel transport,Reactome pathways data set,FBgn0035696
Transport of small molecules,CG10181,Mdr65,R-DME-382556,ABC-family proteins mediated transport,Reactome pathways data set,FBgn0004513
Immune System,CG10186,Hasp,R-DME-168249,Innate Immune System,Reactome pathways data set,FBgn0032797
Vesicle-mediated transport,CG10186,Hasp,R-DME-199991,Membrane Trafficking,Reactome pathways data set,FBgn0032797
Signal Transduction,CG10186,Hasp,R-DME-372790,Signaling by GPCR,Reactome pathways data set,FBgn0032797
Metabolism of proteins,CG10186,Hasp,R-DME-597592,Post-translational protein modification,Reactome pathways data set,FBgn0032797
Signal Transduction,CG10188,cyst,R-DME-372790,Signaling by GPCR,Reactome pathways data set,FBgn0032796
Signal Transduction,CG10188,cyst,R-DME-73887,Death Receptor Signalling,Reactome pathways data set,FBgn0032796
Signal Transduction,CG10188,cyst,R-DME-9006936,Signaling by TGFB family members,Reactome pathways data set,FBgn0032796
Signal Transduction,CG10188,cyst,R-DME-9716542,"Signaling by Rho GTPases, Miro GTPases and RHOBTB3",Reactome pathways data set,FBgn0032796
Immune System,CG10191,Poc1,R-DME-1280218,Adaptive Immune System,Reactome pathways data set,FBgn0036354
Metabolism of proteins,CG10191,Poc1,R-DME-597592,Post-translational protein modification,Reactome pathways data set,FBgn0036354
Immune System,CG10192,eIF4G2,R-DME-1280215,Cytokine Signaling in Immune system,Reactome pathways data set,FBgn0260634
Signal Transduction,CG10192,eIF4G2,R-DME-165159,MTOR signalling,Reactome pathways data set,FBgn0260634
Metabolism of RNA,CG10192,eIF4G2,R-DME-429914,Deadenylation-dependent mRNA decay,Reactome pathways data set,FBgn0260634
Metabolism of RNA,CG10192,eIF4G2,R-DME-450531,Regulation of mRNA stability by proteins that bind AU-rich elements,Reactome pathways data set,FBgn0260634
Metabolism of proteins,CG10192,eIF4G2,R-DME-72766,Translation,Reactome pathways data set,FBgn0260634
Metabolism of RNA,CG10192,eIF4G2,R-DME-927802,Nonsense-Mediated Decay (NMD),Reactome pathways data set,FBgn0260634
Metabolism,CG10194,CG10194,R-DME-556833,Metabolism of lipids,Reactome pathways data set,FBgn0032790
Protein localization,CG10194,CG10194,R-DME-9033241,Peroxisomal protein import,Reactome pathways data set,FBgn0032790
Gene expression (Transcription),CG10198,Nup98-96,R-DME-211000,Gene Silencing by RNA,Reactome pathways data set,FBgn0039120
Cellular responses to stimuli,CG10198,Nup98-96,R-DME-2262752,Cellular responses to stress,Reactome pathways data set,FBgn0039120
Metabolism of proteins,CG10198,Nup98-96,R-DME-597592,Post-translational protein modification,Reactome pathways data set,FBgn0039120
Cell Cycle,CG10198,Nup98-96,R-DME-69278,"Cell Cycle, Mitotic",Reactome pathways data set,FBgn0039120
Metabolism of RNA,CG10198,Nup98-96,R-DME-72203,Processing of Capped Intron-Containing Pre-mRNA,Reactome pathways data set,FBgn0039120
Metabolism,CG10202,Pgm2b,R-DME-71387,Metabolism of carbohydrates,Reactome pathways data set,FBgn0033969
Metabolism of RNA,CG10203,x16,R-DME-72203,Processing of Capped Intron-Containing Pre-mRNA,Reactome pathways data set,FBgn0028554
Gene expression (Transcription),CG10203,x16,R-DME-73857,RNA Polymerase II Transcription,Reactome pathways data set,FBgn0028554
Metabolism of proteins,CG10206,nop5,R-DME-597592,Post-translational protein modification,Reactome pathways data set,FBgn0026196
Metabolism of RNA,CG10206,nop5,R-DME-72312,rRNA processing,Reactome pathways data set,FBgn0026196
Metabolism of RNA,CG10210,tst,R-DME-429914,Deadenylation-dependent mRNA decay,Reactome pathways data set,FBgn0039117
Cell Cycle,CG10212,SMC2,R-DME-69278,"Cell Cycle, Mitotic",Reactome pathways data set,FBgn0027783
DNA Repair,CG10215,Ercc1,R-DME-5696398,Nucleotide Excision Repair,Reactome pathways data set,FBgn0028434
Metabolism,CG10219,SdhD,R-DME-1428517,The citric acid (TCA) cycle and respiratory electron transport,Reactome pathways data set,FBgn0039112
Transport of small molecules,CG10221,Hrd3,R-DME-382556,ABC-family proteins mediated transport,Reactome pathways data set,FBgn0028475
Signal Transduction,CG10221,Hrd3,R-DME-5358351,Signaling by Hedgehog,Reactome pathways data set,FBgn0028475
Metabolism of proteins,CG10223,Top2,R-DME-597592,Post-translational protein modification,Reactome pathways data set,FBgn0284220
Metabolism of RNA,CG10228,Pcf11,R-DME-72203,Processing of Capped Intron-Containing Pre-mRNA,Reactome pathways data set,FBgn0264962
Gene expression (Transcription),CG10228,Pcf11,R-DME-73857,RNA Polymerase II Transcription,Reactome pathways data set,FBgn0264962
Metabolism of RNA,CG10228,Pcf11,R-DME-75067,Processing of Capped Intronless Pre-mRNA,Reactome pathways data set,FBgn0264962
Immune System,CG10230,Rpn9,R-DME-1280215,Cytokine Signaling in Immune system,Reactome pathways data set,FBgn0028691
Immune System,CG10230,Rpn9,R-DME-1280218,Adaptive Immune System,Reactome pathways data set,FBgn0028691
Immune System,CG10230,Rpn9,R-DME-168249,Innate Immune System,Reactome pathways data set,FBgn0028691
Signal Transduction,CG10230,Rpn9,R-DME-195721,Signaling by WNT,Reactome pathways data set,FBgn0028691
Drosophila signaling pathways,CG10230,Rpn9,R-DME-209392,Hedgehog pathway,Reactome pathways data set,FBgn0028691
Drosophila signaling pathways,CG10230,Rpn9,R-DME-209412,Wingless pathway,Reactome pathways data set,FBgn0028691
Drosophila signaling pathways,CG10230,Rpn9,R-DME-209449,Toll pathway,Reactome pathways data set,FBgn0028691
Cellular responses to stimuli,CG10230,Rpn9,R-DME-2262752,Cellular responses to stress,Reactome pathways data set,FBgn0028691
Transport of small molecules,CG10230,Rpn9,R-DME-382556,ABC-family proteins mediated transport,Reactome pathways data set,FBgn0028691
Drosophila signaling pathways,CG10230,Rpn9,R-DME-432626,Circadian Clock pathway,Reactome pathways data set,FBgn0028691
Metabolism of RNA,CG10230,Rpn9,R-DME-450531,Regulation of mRNA stability by proteins that bind AU-rich elements,Reactome pathways data set,FBgn0028691
Signal Transduction,CG10230,Rpn9,R-DME-5358351,Signaling by Hedgehog,Reactome pathways data set,FBgn0028691
Metabolism of proteins,CG10230,Rpn9,R-DME-597592,Post-translational protein modification,Reactome pathways data set,FBgn0028691
DNA Replication,CG10230,Rpn9,R-DME-69002,DNA Replication Pre-Initiation,Reactome pathways data set,FBgn0028691
DNA Replication,CG10230,Rpn9,R-DME-69239,Synthesis of DNA,Reactome pathways data set,FBgn0028691
Cell Cycle,CG10230,Rpn9,R-DME-69278,"Cell Cycle, Mitotic",Reactome pathways data set,FBgn0028691
Cell Cycle,CG10230,Rpn9,R-DME-69620,Cell Cycle Checkpoints,Reactome pathways data set,FBgn0028691
Metabolism,CG10230,Rpn9,R-DME-71291,Metabolism of amino acids and derivatives,Reactome pathways data set,FBgn0028691
Gene expression (Transcription),CG10230,Rpn9,R-DME-73857,RNA Polymerase II Transcription,Reactome pathways data set,FBgn0028691
Signal Transduction,CG10230,Rpn9,R-DME-9006925,Intracellular signaling by second messengers,Reactome pathways data set,FBgn0028691
Metabolism,CG10234,Hs2st,R-DME-71387,Metabolism of carbohydrates,Reactome pathways data set,FBgn0024230
Metabolism,CG10237,CG10237,R-DME-196854,Metabolism of vitamins and cofactors,Reactome pathways data set,FBgn0032783
Hemostasis,CG10244,Cad96Ca,R-DME-202733,Cell surface interactions at the vascular wall,Reactome pathways data set,FBgn0022800
Signal Transduction,CG10244,Cad96Ca,R-DME-5683057,MAPK family signaling cascades,Reactome pathways data set,FBgn0022800
Signal Transduction,CG10244,Cad96Ca,R-DME-9006925,Intracellular signaling by second messengers,Reactome pathways data set,FBgn0022800
Signal Transduction,CG10244,Cad96Ca,R-DME-9006934,Signaling by Receptor Tyrosine Kinases,Reactome pathways data set,FBgn0022800
Developmental Biology,CG10250,nau,R-DME-525793,Myogenesis,Reactome pathways data set,FBgn0002922
Neuronal System,CG10251,prt,R-DME-112315,Transmission across Chemical Synapses,Reactome pathways data set,FBgn0043005
Transport of small molecules,CG10251,prt,R-DME-425407,SLC-mediated transmembrane transport,Reactome pathways data set,FBgn0043005
Protein localization,CG10253,Agps,R-DME-9033241,Peroxisomal protein import,Reactome pathways data set,FBgn0033983
Metabolism,CG10260,Pi4KIIIalpha,R-DME-556833,Metabolism of lipids,Reactome pathways data set,FBgn0267350
Immune System,CG10263,Hakai,R-DME-1280218,Adaptive Immune System,Reactome pathways data set,FBgn0032812
Metabolism,CG10268,Pmvk,R-DME-556833,Metabolism of lipids,Reactome pathways data set,FBgn0032811
Metabolism of proteins,CG10278,GATAe,R-DME-597592,Post-translational protein modification,Reactome pathways data set,FBgn0038391
Gene expression (Transcription),CG10278,GATAe,R-DME-73857,RNA Polymerase II Transcription,Reactome pathways data set,FBgn0038391
Signal Transduction,CG10278,GATAe,R-DME-9006931,Signaling by Nuclear Receptors,Reactome pathways data set,FBgn0038391
Hemostasis,CG10278,GATAe,R-DME-983231,Factors involved in megakaryocyte development and platelet production,Reactome pathways data set,FBgn0038391
Metabolism of RNA,CG10281,TfIIFalpha,R-DME-72086,mRNA Capping,Reactome pathways data set,FBgn0010282
Metabolism of RNA,CG10281,TfIIFalpha,R-DME-72203,Processing of Capped Intron-Containing Pre-mRNA,Reactome pathways data set,FBgn0010282
Gene expression (Transcription),CG10281,TfIIFalpha,R-DME-73857,RNA Polymerase II Transcription,Reactome pathways data set,FBgn0010282
Signal Transduction,CG10281,TfIIFalpha,R-DME-9006931,Signaling by Nuclear Receptors,Reactome pathways data set,FBgn0010282
Signal Transduction,CG10281,TfIIFalpha,R-DME-9006934,Signaling by Receptor Tyrosine Kinases,Reactome pathways data set,FBgn0010282
Immune System,CG10295,Pak,R-DME-1280218,Adaptive Immune System,Reactome pathways data set,FBgn0267698
Immune System,CG10295,Pak,R-DME-168249,Innate Immune System,Reactome pathways data set,FBgn0267698
Signal Transduction,CG10295,Pak,R-DME-372790,Signaling by GPCR,Reactome pathways data set,FBgn0267698
Signal Transduction,CG10295,Pak,R-DME-5683057,MAPK family signaling cascades,Reactome pathways data set,FBgn0267698
Signal Transduction,CG10295,Pak,R-DME-9006934,Signaling by Receptor Tyrosine Kinases,Reactome pathways data set,FBgn0267698
Developmental Biology,CG10295,Pak,R-DME-9675108,Nervous system development,Reactome pathways data set,FBgn0267698
Signal Transduction,CG10295,Pak,R-DME-9716542,"Signaling by Rho GTPases, Miro GTPases and RHOBTB3",Reactome pathways data set,FBgn0267698
Metabolism,CG10300,CG10300,R-DME-196854,Metabolism of vitamins and cofactors,Reactome pathways data set,FBgn0039107
Metabolism,CG10301,CG10301,R-DME-196854,Metabolism of vitamins and cofactors,Reactome pathways data set,FBgn0039106
Metabolism,CG10302,bsf,R-DME-1428517,The citric acid (TCA) cycle and respiratory electron transport,Reactome pathways data set,FBgn0284256
Cellular responses to stimuli,CG10302,bsf,R-DME-2262752,Cellular responses to stress,Reactome pathways data set,FBgn0284256
Gene expression (Transcription),CG10302,bsf,R-DME-73857,RNA Polymerase II Transcription,Reactome pathways data set,FBgn0284256
Metabolism of proteins,CG10305,RpS26,R-DME-72766,Translation,Reactome pathways data set,FBgn0261597
Metabolism of RNA,CG10305,RpS26,R-DME-927802,Nonsense-Mediated Decay (NMD),Reactome pathways data set,FBgn0261597
Metabolism of proteins,CG10306,eIF3k,R-DME-72766,Translation,Reactome pathways data set,FBgn0034654
Signal Transduction,CG10307,CG10307,R-DME-9006925,Intracellular signaling by second messengers,Reactome pathways data set,FBgn0034655
Metabolism of proteins,CG10315,eIF2Bdelta,R-DME-72766,Translation,Reactome pathways data set,FBgn0034858
Metabolism,CG10320,ND-B12,R-DME-1428517,The citric acid (TCA) cycle and respiratory electron transport,Reactome pathways data set,FBgn0034645
Metabolism of RNA,CG10324,CG10324,R-DME-72203,Processing of Capped Intron-Containing Pre-mRNA,Reactome pathways data set,FBgn0038454
Metabolism of RNA,CG10333,CG10333,R-DME-72203,Processing of Capped Intron-Containing Pre-mRNA,Reactome pathways data set,FBgn0032690
Immune System,CG10335,Pbgs,R-DME-168249,Innate Immune System,Reactome pathways data set,FBgn0036271
Metabolism,CG10335,Pbgs,R-DME-189445,Metabolism of porphyrins,Reactome pathways data set,FBgn0036271
DNA Repair,CG10336,CG10336,R-DME-5693532,DNA Double-Strand Break Repair,Reactome pathways data set,FBgn0032698
Neuronal System,CG10339,CG10339,R-DME-6794362,Protein-protein interactions at synapses,Reactome pathways data set,FBgn0034972
Digestion and absorption,CG10339,CG10339,R-DME-8935690,Digestion,Reactome pathways data set,FBgn0034972
Immune System,CG10353,CG10353,R-DME-168249,Innate Immune System,Reactome pathways data set,FBgn0030349
Transport of small molecules,CG10353,CG10353,R-DME-983712,Ion channel transport,Reactome pathways data set,FBgn0030349
Metabolism of RNA,CG10354,Rat1,R-DME-72312,rRNA processing,Reactome pathways data set,FBgn0031868
Transport of small molecules,CG10357,CG10357,R-DME-174824,"Plasma lipoprotein assembly, remodeling, and clearance",Reactome pathways data set,FBgn0035453
Metabolism,CG10357,CG10357,R-DME-556833,Metabolism of lipids,Reactome pathways data set,FBgn0035453
Digestion and absorption,CG10357,CG10357,R-DME-8935690,Digestion,Reactome pathways data set,FBgn0035453
Autophagy,CG10360,ref(2)P,R-DME-1632852,Macroautophagy,Reactome pathways data set,FBgn0003231
Immune System,CG10363,Tep4,R-DME-168249,Innate Immune System,Reactome pathways data set,FBgn0041180
Metabolism of proteins,CG10363,Tep4,R-DME-381426,Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs),Reactome pathways data set,FBgn0041180
Metabolism of proteins,CG10363,Tep4,R-DME-597592,Post-translational protein modification,Reactome pathways data set,FBgn0041180
Metabolism,CG10367,Hmgcr,R-DME-556833,Metabolism of lipids,Reactome pathways data set,FBgn0263782
Neuronal System,CG10369,Irk3,R-DME-112315,Transmission across Chemical Synapses,Reactome pathways data set,FBgn0032706
Neuronal System,CG10369,Irk3,R-DME-1296071,Potassium Channels,Reactome pathways data set,FBgn0032706
Muscle contraction,CG10369,Irk3,R-DME-5576891,Cardiac conduction,Reactome pathways data set,FBgn0032706
Immune System,CG10370,Rpt5,R-DME-1280215,Cytokine Signaling in Immune system,Reactome pathways data set,FBgn0028684
Immune System,CG10370,Rpt5,R-DME-1280218,Adaptive Immune System,Reactome pathways data set,FBgn0028684
Immune System,CG10370,Rpt5,R-DME-168249,Innate Immune System,Reactome pathways data set,FBgn0028684
Signal Transduction,CG10370,Rpt5,R-DME-195721,Signaling by WNT,Reactome pathways data set,FBgn0028684
Drosophila signaling pathways,CG10370,Rpt5,R-DME-209392,Hedgehog pathway,Reactome pathways data set,FBgn0028684
Drosophila signaling pathways,CG10370,Rpt5,R-DME-209412,Wingless pathway,Reactome pathways data set,FBgn0028684
Drosophila signaling pathways,CG10370,Rpt5,R-DME-209449,Toll pathway,Reactome pathways data set,FBgn0028684
Cellular responses to stimuli,CG10370,Rpt5,R-DME-2262752,Cellular responses to stress,Reactome pathways data set,FBgn0028684
Transport of small molecules,CG10370,Rpt5,R-DME-382556,ABC-family proteins mediated transport,Reactome pathways data set,FBgn0028684
Drosophila signaling pathways,CG10370,Rpt5,R-DME-432626,Circadian Clock pathway,Reactome pathways data set,FBgn0028684
Metabolism of RNA,CG10370,Rpt5,R-DME-450531,Regulation of mRNA stability by proteins that bind AU-rich elements,Reactome pathways data set,FBgn0028684
