ontology,GO.ID,Term,Annotated,Significant,Expected,classicFisher,bonferroni,bh,foldEnrichment
BP,GO:0019222,regulation of metabolic process,7856,31,18.82,0.00041,1,0.018811578947368422,1.65
BP,GO:0072175,epithelial tube formation,146,4,0.35,0.00041,1,0.018811578947368422,11.43
BP,GO:0031122,cytoplasmic microtubule organization,61,3,0.15,0.00042,1,0.018811578947368422,20
BP,GO:0050879,multicellular organismal movement,61,3,0.15,0.00042,1,0.018811578947368422,20
BP,GO:0050881,musculoskeletal movement,61,3,0.15,0.00042,1,0.018811578947368422,20
BP,GO:0031399,regulation of protein modification proce...,1656,12,3.97,0.00042,1,0.018811578947368422,3.02
BP,GO:0034330,cell junction organization,765,8,1.83,0.00043,1,0.019091999999999998,4.37
BP,GO:0030900,forebrain development,412,6,0.99,0.00044,1,0.01936758620689655,6.06
BP,GO:0048667,cell morphogenesis involved in neuron di...,583,7,1.4,0.00045,1,0.01963846153846154,5
BP,GO:0060627,regulation of vesicle-mediated transport,589,7,1.41,0.00048,1,0.020770169491525423,4.96
BP,GO:0021537,telencephalon development,276,5,0.66,0.00051,1,0.02188285714285714,7.58
BP,GO:1903047,mitotic cell cycle process,791,8,1.9,0.00054,1,0.02278710743801653,4.21
BP,GO:0006338,chromatin remodeling,280,5,0.67,0.00054,1,0.02278710743801653,7.46
BP,GO:0007548,sex differentiation,282,5,0.68,0.00056,1,0.023437377049180325,7.35
BP,GO:0048608,reproductive structure development,435,6,1.04,0.00058,1,0.023882903225806454,5.77
BP,GO:0050905,neuromuscular process,160,4,0.38,0.00058,1,0.023882903225806454,10.53
BP,GO:0040007,growth,1012,9,2.42,0.00060,1,0.024508799999999997,3.72
BP,GO:0030902,hindbrain development,163,4,0.39,0.00062,1,0.02492692913385827,10.26
BP,GO:0035148,tube formation,163,4,0.39,0.00062,1,0.02492692913385827,10.26
BP,GO:0045786,negative regulation of cell cycle,444,6,1.06,0.00065,1,0.025529999999999997,5.66
BP,GO:0006325,chromatin organization,445,6,1.07,0.00065,1,0.025529999999999997,5.61
BP,GO:0007409,axonogenesis,445,6,1.07,0.00065,1,0.025529999999999997,5.61
BP,GO:0031324,negative regulation of cellular metaboli...,2841,16,6.81,0.00067,1,0.02590544117647059,2.35
BP,GO:0097435,supramolecular fiber organization,819,8,1.96,0.00068,1,0.02590544117647059,4.08
BP,GO:0001894,tissue homeostasis,294,5,0.7,0.00068,1,0.02590544117647059,7.14
BP,GO:0035418,protein localization to synapse,72,3,0.17,0.00069,1,0.02590544117647059,17.65
BP,GO:1903078,positive regulation of protein localizat...,72,3,0.17,0.00069,1,0.02590544117647059,17.65
BP,GO:0048518,positive regulation of biological proces...,6900,28,16.53,0.00069,1,0.02590544117647059,1.69
BP,GO:0060255,regulation of macromolecule metabolic pr...,7301,29,17.49,0.00073,1,0.02701,1.66
BP,GO:0090316,positive regulation of intracellular pro...,170,4,0.41,0.00073,1,0.02701,9.76
BP,GO:0098813,nuclear chromosome segregation,302,5,0.72,0.00076,1,0.027718285714285713,6.94
BP,GO:0031056,regulation of histone modification,172,4,0.41,0.00076,1,0.027718285714285713,9.76
BP,GO:0040011,locomotion,2032,13,4.87,0.00077,1,0.027883829787234037,2.67
BP,GO:0010975,regulation of neuron projection developm...,467,6,1.12,0.00084,1,0.030204507042253522,5.36
BP,GO:0003006,developmental process involved in reprod...,1065,9,2.55,0.00086,1,0.03049416666666667,3.53
BP,GO:0072659,protein localization to plasma membrane,310,5,0.74,0.00086,1,0.03049416666666667,6.76
BP,GO:1904377,positive regulation of protein localizat...,79,3,0.19,0.00090,1,0.03169241379310345,15.79
BP,GO:0009894,regulation of catabolic process,1076,9,2.58,0.00092,1,0.032174794520547945,3.49
BP,GO:0048812,neuron projection morphogenesis,659,7,1.58,0.00093,1,0.03230326530612245,4.43
BP,GO:0009653,anatomical structure morphogenesis,2932,16,7.02,0.00095,1,0.032775,2.28
BP,GO:0120035,regulation of plasma membrane bounded ce...,663,7,1.59,0.00096,1,0.032897718120805365,4.4
BP,GO:0050794,regulation of cellular process,12637,41,30.28,0.00097,1,0.0330188,1.35
BP,GO:0009791,post-embryonic development,82,3,0.2,0.00100,1,0.03381456953642384,15
BP,GO:0048589,developmental growth,668,7,1.6,0.00101,1,0.03392802631578948,4.38
BP,GO:0120039,plasma membrane bounded cell projection ...,674,7,1.61,0.00106,1,0.035374901960784313,4.35
BP,GO:0009890,negative regulation of biosynthetic proc...,1838,12,4.4,0.00108,1,0.03557729032258065,2.73
BP,GO:1905475,regulation of protein localization to me...,189,4,0.45,0.00108,1,0.03557729032258065,8.89
BP,GO:0048858,cell projection morphogenesis,678,7,1.62,0.00110,1,0.03600384615384616,4.32
BP,GO:0006935,chemotaxis,680,7,1.63,0.00112,1,0.036424968152866236,4.29
BP,GO:0031344,regulation of cell projection organizati...,681,7,1.63,0.00113,1,0.03651759493670886,4.29
BP,GO:0042330,taxis,683,7,1.64,0.00115,1,0.036699375,4.27
BP,GO:0048485,sympathetic nervous system development,21,2,0.05,0.00115,1,0.036699375,40
BP,GO:0061564,axon development,500,6,1.2,0.00119,1,0.03750703703703704,5
BP,GO:0021543,pallium development,194,4,0.46,0.00119,1,0.03750703703703704,8.7
BP,GO:0051222,positive regulation of protein transport,335,5,0.8,0.00121,1,0.03790343558282208,6.25
BP,GO:0016570,histone modification,502,6,1.2,0.00122,1,0.03798365853658536,5
BP,GO:0010948,negative regulation of cell cycle proces...,337,5,0.81,0.00124,1,0.038372363636363635,6.17
BP,GO:0032990,cell part morphogenesis,697,7,1.67,0.00129,1,0.03967915662650602,4.19
BP,GO:0045934,negative regulation of nucleobase-contai...,1620,11,3.88,0.00132,1,0.040183313609467454,2.84
BP,GO:0006974,cellular response to DNA damage stimulus,909,8,2.18,0.00133,1,0.040183313609467454,3.67
BP,GO:0007346,regulation of mitotic cell cycle,511,6,1.22,0.00133,1,0.040183313609467454,4.92
BP,GO:0042063,gliogenesis,344,5,0.82,0.00136,1,0.040848,6.1
BP,GO:0010646,regulation of cell communication,3658,18,8.76,0.00139,1,0.04150491228070175,2.05
BP,GO:0065007,biological regulation,14349,44,34.38,0.00140,1,0.04156046511627907,1.28
BP,GO:0045892,"negative regulation of transcription, DN...",1386,10,3.32,0.00144,1,0.04250080924855491,3.01
BP,GO:1903507,negative regulation of nucleic acid-temp...,1388,10,3.33,0.00146,1,0.04284344827586207,3
BP,GO:1902679,negative regulation of RNA biosynthetic ...,1390,10,3.33,0.00147,1,0.0428904,3
BP,GO:0023051,regulation of signaling,3677,18,8.81,0.00148,1,0.04293681818181818,2.04
BP,GO:0000819,sister chromatid segregation,206,4,0.49,0.00149,1,0.04298271186440678,8.16
BP,GO:1904951,positive regulation of establishment of ...,352,5,0.84,0.00151,1,0.043072960893854755,5.95
BP,GO:0009056,catabolic process,2760,15,6.61,0.00151,1,0.043072960893854755,2.27
BP,GO:2001252,positive regulation of chromosome organi...,95,3,0.23,0.00153,1,0.043400999999999995,13.04
BP,GO:0030220,platelet formation,25,2,0.06,0.00163,1,0.04547967213114754,33.33
BP,GO:0032469,endoplasmic reticulum calcium ion homeos...,25,2,0.06,0.00163,1,0.04547967213114754,33.33
BP,GO:0036344,platelet morphogenesis,25,2,0.06,0.00163,1,0.04547967213114754,33.33
BP,GO:1990778,protein localization to cell periphery,360,5,0.86,0.00166,1,0.046065,5.81
BP,GO:0048708,astrocyte differentiation,99,3,0.24,0.00173,1,0.047748,12.5
BP,GO:0048513,animal organ development,3743,18,8.97,0.00182,1,0.04996193548387097,2.01
BP,GO:0062197,cellular response to chemical stress,368,5,0.88,0.00183,1,0.049967807486631016,5.68
BP,GO:0007059,chromosome segregation,370,5,0.89,0.00188,1,0.05078984126984127,5.62
BP,GO:0007044,cell-substrate junction assembly,102,3,0.24,0.00188,1,0.05078984126984127,12.5
BP,GO:0043408,regulation of MAPK cascade,747,7,1.79,0.00191,1,0.05132873684210527,3.91
BP,GO:1902414,protein localization to cell junction,103,3,0.25,0.00193,1,0.051594659685863874,12
BP,GO:0060562,epithelial tube morphogenesis,374,5,0.9,0.00197,1,0.0523896875,5.56
BP,GO:0031346,positive regulation of cell projection o...,376,5,0.9,0.00201,1,0.05313350253807107,5.56
BP,GO:0035295,tube development,1206,9,2.89,0.00204,1,0.05313350253807107,3.11
BP,GO:0032331,negative regulation of chondrocyte diffe...,28,2,0.07,0.00204,1,0.05313350253807107,28.57
BP,GO:0048873,homeostasis of number of cells within a ...,28,2,0.07,0.00204,1,0.05313350253807107,28.57
BP,GO:0007264,small GTPase mediated signal transductio...,556,6,1.33,0.00205,1,0.05313350253807107,4.51
BP,GO:0051223,regulation of protein transport,560,6,1.34,0.00212,1,0.054020000000000006,4.48
BP,GO:0010468,regulation of gene expression,5858,24,14.03,0.00214,1,0.054020000000000006,1.71
BP,GO:2000113,negative regulation of cellular macromol...,1721,11,4.12,0.00214,1,0.054020000000000006,2.67
BP,GO:0006259,DNA metabolic process,981,8,2.35,0.00215,1,0.054020000000000006,3.4
BP,GO:1901699,cellular response to nitrogen compound,763,7,1.83,0.00216,1,0.054020000000000006,3.83
BP,GO:0009896,positive regulation of catabolic process,563,6,1.35,0.00218,1,0.054020000000000006,4.44
BP,GO:0048871,multicellular organismal homeostasis,563,6,1.35,0.00218,1,0.054020000000000006,4.44
BP,GO:0030036,actin cytoskeleton organization,765,7,1.83,0.00219,1,0.054020000000000006,3.83
BP,GO:0000423,mitophagy,29,2,0.07,0.00219,1,0.054020000000000006,28.57
BP,GO:0034063,stress granule assembly,29,2,0.07,0.00219,1,0.054020000000000006,28.57
BP,GO:0150115,cell-substrate junction organization,108,3,0.26,0.00221,1,0.05422085714285715,11.54
BP,GO:0006281,DNA repair,565,6,1.35,0.00222,1,0.05422085714285715,4.44
BP,GO:0009057,macromolecule catabolic process,1470,10,3.52,0.00223,1,0.05422085714285715,2.84
BP,GO:0010558,negative regulation of macromolecule bio...,1732,11,4.15,0.00225,1,0.054447867298578194,2.65
BP,GO:0046822,regulation of nucleocytoplasmic transpor...,109,3,0.26,0.00227,1,0.0546727358490566,11.54
BP,GO:0050789,regulation of biological process,13537,42,32.43,0.00231,1,0.05506009216589862,1.3
BP,GO:0044770,cell cycle phase transition,570,6,1.37,0.00232,1,0.05506009216589862,4.38
BP,GO:0035239,tube morphogenesis,994,8,2.38,0.00233,1,0.05506009216589862,3.36
BP,GO:0065008,regulation of biological quality,4153,19,9.95,0.00234,1,0.05506009216589862,1.91
BP,GO:0080135,regulation of cellular response to stres...,774,7,1.85,0.00234,1,0.05506009216589862,3.78
BP,GO:0006914,autophagy,574,6,1.38,0.00240,1,0.055680814479638005,4.35
BP,GO:0051493,regulation of cytoskeleton organization,574,6,1.38,0.00240,1,0.055680814479638005,4.35
BP,GO:0061919,process utilizing autophagic mechanism,574,6,1.38,0.00240,1,0.055680814479638005,4.35
BP,GO:0030100,regulation of endocytosis,235,4,0.56,0.00241,1,0.055680814479638005,7.14
BP,GO:0051253,negative regulation of RNA metabolic pro...,1502,10,3.6,0.00262,1,0.060218744394618835,2.78
BP,GO:0007018,microtubule-based movement,400,5,0.96,0.00263,1,0.060218744394618835,5.21
BP,GO:0044265,cellular macromolecule catabolic process,1253,9,3,0.00265,1,0.06040580357142857,3
BP,GO:0032984,protein-containing complex disassembly,242,4,0.58,0.00267,1,0.060549026548672565,6.9
BP,GO:0032989,cellular component morphogenesis,793,7,1.9,0.00268,1,0.060549026548672565,3.68
BP,GO:0070201,regulation of establishment of protein l...,588,6,1.41,0.00270,1,0.06073215859030837,4.26
BP,GO:0008045,motor neuron axon guidance,33,2,0.08,0.00283,1,0.0633771052631579,25
BP,GO:1905477,positive regulation of protein localizat...,118,3,0.28,0.00285,1,0.06354628820960699,10.71
BP,GO:0090304,nucleic acid metabolic process,5978,24,14.32,0.00288,1,0.063936,1.68
BP,GO:0009966,regulation of signal transduction,3260,16,7.81,0.00294,1,0.06498545454545454,2.05
BP,GO:0001975,response to amphetamine,34,2,0.08,0.00300,1,0.06602586206896552,25
BP,GO:0051656,establishment of organelle localization,413,5,0.99,0.00302,1,0.06618077253218885,5.05
BP,GO:0050769,positive regulation of neurogenesis,251,4,0.6,0.00305,1,0.0665525641025641,6.67
BP,GO:0031327,negative regulation of cellular biosynth...,1806,11,4.33,0.00313,1,0.06786725,2.54
BP,GO:0007267,cell-cell signaling,1808,11,4.33,0.00316,1,0.06786725,2.54
BP,GO:0022603,regulation of anatomical structure morph...,1045,8,2.5,0.00317,1,0.06786725,3.2
BP,GO:0061037,negative regulation of cartilage develop...,35,2,0.08,0.00318,1,0.06786725,25
BP,GO:0006950,response to stress,4602,20,11.03,0.00319,1,0.06786725,1.81
BP,GO:0044087,regulation of cellular component biogene...,1046,8,2.51,0.00319,1,0.06786725,3.19
BP,GO:0032970,regulation of actin filament-based proce...,422,5,1.01,0.00331,1,0.07012804979253112,4.95
BP,GO:0000209,protein polyubiquitination,260,4,0.62,0.00346,1,0.07300314049586777,6.45
BP,GO:0034243,regulation of transcription elongation f...,38,2,0.09,0.00374,1,0.07826409836065573,22.22
BP,GO:0048009,insulin-like growth factor receptor sign...,38,2,0.09,0.00374,1,0.07826409836065573,22.22
BP,GO:0007160,cell-matrix adhesion,268,4,0.64,0.00385,1,0.0799109756097561,6.25
BP,GO:0016358,dendrite development,268,4,0.64,0.00385,1,0.0799109756097561,6.25
BP,GO:0045930,negative regulation of mitotic cell cycl...,270,4,0.65,0.00396,1,0.08153129032258065,6.15
BP,GO:1901987,regulation of cell cycle phase transitio...,440,5,1.05,0.00396,1,0.08153129032258065,4.76
BP,GO:0030029,actin filament-based process,854,7,2.05,0.00404,1,0.08284433734939758,3.41
BP,GO:0000165,MAPK cascade,856,7,2.05,0.00409,1,0.08353416,3.41
BP,GO:0001838,embryonic epithelial tube formation,135,3,0.32,0.00416,1,0.08449214285714286,9.38
BP,GO:0006402,mRNA catabolic process,274,4,0.66,0.00417,1,0.08449214285714286,6.06
BP,GO:0048598,embryonic morphogenesis,643,6,1.54,0.00420,1,0.08469952941176472,3.9
BP,GO:0042176,regulation of protein catabolic process,447,5,1.07,0.00423,1,0.08469952941176472,4.67
BP,GO:0072594,establishment of protein localization to...,447,5,1.07,0.00423,1,0.08469952941176472,4.67
BP,GO:0010959,regulation of metal ion transport,449,5,1.08,0.00431,1,0.08575714285714285,4.63
BP,GO:0021782,glial cell development,137,3,0.33,0.00433,1,0.08575714285714285,9.09
BP,GO:0035136,forelimb morphogenesis,41,2,0.1,0.00435,1,0.08575714285714285,20
BP,GO:0042307,positive regulation of protein import in...,41,2,0.1,0.00435,1,0.08575714285714285,20
BP,GO:0000956,nuclear-transcribed mRNA catabolic proce...,138,3,0.33,0.00442,1,0.08666505747126436,9.09
BP,GO:0044772,mitotic cell cycle phase transition,452,5,1.08,0.00443,1,0.08666505747126436,4.63
BP,GO:0051301,cell division,652,6,1.56,0.00449,1,0.08750358778625955,3.85
BP,GO:1901988,negative regulation of cell cycle phase ...,282,4,0.68,0.00461,1,0.08950060836501901,5.88
BP,GO:0034329,cell junction assembly,457,5,1.09,0.00464,1,0.08974181818181817,4.59
BP,GO:0043009,chordate embryonic development,657,6,1.57,0.00466,1,0.08978852830188679,3.82
BP,GO:0042552,myelination,141,3,0.34,0.00469,1,0.09002684210526316,8.82
BP,GO:0007169,transmembrane receptor protein tyrosine ...,660,6,1.58,0.00476,1,0.09102831460674159,3.8
BP,GO:0007272,ensheathment of neurons,143,3,0.34,0.00488,1,0.09194568265682655,8.82
BP,GO:0008366,axon ensheathment,143,3,0.34,0.00488,1,0.09194568265682655,8.82
BP,GO:0046887,positive regulation of hormone secretion,143,3,0.34,0.00488,1,0.09194568265682655,8.82
BP,GO:0051028,mRNA transport,143,3,0.34,0.00488,1,0.09194568265682655,8.82
BP,GO:1904591,positive regulation of protein import,44,2,0.11,0.00499,1,0.09367257352941176,18.18
BP,GO:0048568,embryonic organ development,467,5,1.12,0.00508,1,0.09501274725274726,4.46
BP,GO:0032355,response to estradiol,146,3,0.35,0.00517,1,0.09603703971119133,8.57
BP,GO:0000184,nuclear-transcribed mRNA catabolic proce...,45,2,0.11,0.00521,1,0.09603703971119133,18.18
