validated_id,current_symbol,human_gene_symbol,Syp_brain_iCLIP,Syp_larva_iCLIP,sfari_dmel
FBgn0000250,cact,NFKBIA,FALSE,TRUE,FALSE
FBgn0000253,Cam,CALML3,TRUE,TRUE,FALSE
FBgn0000259,CkIIbeta,CSNK2B,TRUE,TRUE,FALSE
FBgn0000261,Cat,CAT,TRUE,TRUE,FALSE
FBgn0000273,Pka-C1,PRKACG,TRUE,TRUE,FALSE
FBgn0000283,Cp190,N/A,TRUE,FALSE,FALSE
FBgn0000286,Cf2,N/A,TRUE,TRUE,FALSE
FBgn0000289,cg,N/A,TRUE,TRUE,FALSE
FBgn0000299,Col4a1,COL4A3,FALSE,TRUE,FALSE
FBgn0000303,ChAT,CHAT,TRUE,FALSE,FALSE
FBgn0000307,chif,DBF4,TRUE,TRUE,FALSE
FBgn0000308,chic,PFN4,TRUE,TRUE,FALSE
FBgn0000316,cin,GPHN,FALSE,FALSE,TRUE
FBgn0000319,Chc,CLTCL1,TRUE,TRUE,TRUE
FBgn0000339,cni,CNIH4,FALSE,TRUE,FALSE
FBgn0000370,crc,ATF5,TRUE,TRUE,FALSE
FBgn0000382,csw,PTPN6,TRUE,TRUE,TRUE
FBgn0000384,cta,GNA12,FALSE,TRUE,FALSE
FBgn0000392,cup,N/A,FALSE,TRUE,FALSE
FBgn0000404,CycA,CCNA1,TRUE,FALSE,FALSE
FBgn0000405,CycB,CCNB2,TRUE,TRUE,FALSE
FBgn0000412,D1,N/A,TRUE,TRUE,FALSE
FBgn0000416,Sap-r,SFTPB,TRUE,TRUE,FALSE
FBgn0000422,Ddc,DDC,FALSE,TRUE,TRUE
FBgn0000448,Hr3,RORA,FALSE,TRUE,TRUE
FBgn0000454,Dip-B,N/A,FALSE,TRUE,FALSE
FBgn0000463,Dl,DLL4,TRUE,TRUE,TRUE
FBgn0000464,Lar,PTPRS,TRUE,TRUE,FALSE
FBgn0000479,dnc,PDE4A,TRUE,TRUE,FALSE
FBgn0000489,Pka-C3,PRKY,FALSE,TRUE,FALSE
FBgn0000492,Dr,MSX1,FALSE,FALSE,TRUE
FBgn0000499,dsh,DVL1,FALSE,FALSE,TRUE
FBgn0000536,eas,ETNK2,FALSE,TRUE,FALSE
FBgn0000541,E(bx),BPTF,TRUE,TRUE,FALSE
FBgn0000546,EcR,NR1H2,TRUE,TRUE,FALSE
FBgn0000547,ed,N/A,TRUE,TRUE,FALSE
FBgn0000557,eEF1alpha2,EEF1A1,TRUE,TRUE,TRUE
FBgn0000559,eEF2,EEF2,TRUE,TRUE,FALSE
FBgn0000562,egl,EXD1,FALSE,TRUE,FALSE
FBgn0000566,Eip55E,CTH,FALSE,TRUE,FALSE
FBgn0000567,Eip74EF,ELF2,FALSE,TRUE,FALSE
FBgn0000568,Eip75B,N/A,TRUE,TRUE,FALSE
FBgn0000575,emc,ID3,TRUE,TRUE,FALSE
FBgn0000577,en,EN2,FALSE,FALSE,TRUE
FBgn0000578,ena,VASP,TRUE,TRUE,FALSE
FBgn0000579,Eno,ENO2,TRUE,TRUE,FALSE
FBgn0000581,E(Pc),EPC1,TRUE,FALSE,TRUE
FBgn0000611,exd,PBX4,TRUE,TRUE,TRUE
FBgn0000615,exu,N/A,FALSE,TRUE,FALSE
FBgn0000633,CG17716,N/A,TRUE,FALSE,FALSE
FBgn0000635,Fas2,NCAM1,TRUE,TRUE,FALSE
FBgn0000636,Fas3,N/A,TRUE,TRUE,FALSE
FBgn0000639,Fbp1,N/A,FALSE,TRUE,FALSE
FBgn0000640,Fbp2,N/A,FALSE,TRUE,FALSE
FBgn0000667,Actn,ACTN3,TRUE,TRUE,TRUE
FBgn0000711,flw,PPP1CB,FALSE,TRUE,FALSE
FBgn0000719,fog,N/A,TRUE,TRUE,FALSE
FBgn0000721,for,PRKG2,FALSE,TRUE,FALSE
FBgn0001085,fz,FZD3,FALSE,TRUE,FALSE
FBgn0001087,g,AP3D1,FALSE,TRUE,FALSE
FBgn0001090,bnb,N/A,TRUE,TRUE,FALSE
FBgn0001091,Gapdh1,GAPDHS,FALSE,TRUE,FALSE
FBgn0001092,Gapdh2,GAPDHS,FALSE,TRUE,FALSE
FBgn0001098,Gdh,GLUD2,FALSE,TRUE,FALSE
FBgn0001104,Galphai,GNAO1,FALSE,FALSE,TRUE
FBgn0001105,Gbeta13F,GNB3,TRUE,TRUE,FALSE
FBgn0001108,DCTN1-p150,DCTN1,FALSE,TRUE,FALSE
FBgn0001112,Gld,CHDH,FALSE,TRUE,FALSE
FBgn0001114,Glt,N/A,FALSE,TRUE,FALSE
FBgn0001122,Galphao,GNAO1,TRUE,TRUE,FALSE
FBgn0001123,Galphas,GNAS,FALSE,TRUE,TRUE
FBgn0001124,Got1,GOT1L1,TRUE,TRUE,FALSE
FBgn0001128,Gpdh1,GPD1L,FALSE,TRUE,FALSE
FBgn0001134,Grd,GABRE,FALSE,FALSE,TRUE
FBgn0001139,gro,TLE1,TRUE,TRUE,FALSE
FBgn0001142,Gs1,GLUL,FALSE,TRUE,FALSE
FBgn0001145,Gs2,GLUL,FALSE,TRUE,FALSE
FBgn0001149,GstD1,N/A,TRUE,TRUE,FALSE
FBgn0001168,h,HES1,FALSE,TRUE,FALSE
FBgn0001169,H,N/A,TRUE,TRUE,FALSE
FBgn0001186,Hex-A,HK2,FALSE,TRUE,FALSE
FBgn0001197,His2Av,H2AFZ,TRUE,TRUE,FALSE
FBgn0001208,Hn,PAH,FALSE,FALSE,TRUE
FBgn0001215,Hrb98DE,HNRNPA0,TRUE,TRUE,FALSE
FBgn0001217,Hsc70-2,HSPA1A,FALSE,TRUE,FALSE
FBgn0001218,Hsc70-3,HSPA5,TRUE,TRUE,FALSE
FBgn0001220,Hsc70-5,HSPA9,TRUE,TRUE,FALSE
FBgn0001224,Hsp23,CRYAA2,TRUE,TRUE,FALSE
FBgn0001225,Hsp26,HSPB1,FALSE,TRUE,FALSE
FBgn0001226,Hsp27,N/A,TRUE,TRUE,FALSE
FBgn0001233,Hsp83,HSP90AA1,TRUE,TRUE,FALSE
FBgn0001234,lncRNA:Hsromega,N/A,TRUE,TRUE,FALSE
FBgn0001235,hth,MEIS3,TRUE,TRUE,TRUE
FBgn0001248,Idh,IDH2,TRUE,TRUE,FALSE
FBgn0001250,if,ITGA2B,FALSE,TRUE,FALSE
FBgn0001253,ImpE1,N/A,TRUE,TRUE,FALSE
FBgn0001254,ImpE2,N/A,FALSE,TRUE,FALSE
FBgn0001257,ImpL2,N/A,FALSE,TRUE,FALSE
FBgn0001258,Ldh,LDHAL6B,FALSE,TRUE,FALSE
FBgn0001269,inv,EN2,FALSE,FALSE,TRUE
FBgn0001280,janA,PHPT1,TRUE,TRUE,FALSE
FBgn0001281,janB,PHPT1,TRUE,TRUE,FALSE
FBgn0001296,kar,SLC16A2,FALSE,TRUE,FALSE
FBgn0001297,kay,FOS,TRUE,TRUE,FALSE
FBgn0001301,kel,KLHL2,FALSE,TRUE,FALSE
FBgn0001308,Khc,KIF5A,TRUE,FALSE,TRUE
FBgn0001316,klar,N/A,TRUE,TRUE,FALSE
FBgn0001319,kn,EBF2,FALSE,FALSE,TRUE
FBgn0001324,kto,MED12,FALSE,FALSE,TRUE
FBgn0001325,Kr,N/A,FALSE,TRUE,FALSE
FBgn0001404,egh,N/A,FALSE,TRUE,FALSE
FBgn0001624,dlg1,DLG3,TRUE,TRUE,TRUE
FBgn0001941,ifc,DEGS1,FALSE,TRUE,FALSE
FBgn0001942,eIF4A,EIF4A1,TRUE,TRUE,FALSE
FBgn0001961,Arpc1,ARPC1B,FALSE,TRUE,FALSE
FBgn0001983,wor,SNAI2,TRUE,FALSE,FALSE
FBgn0001987,Gli,N/A,FALSE,TRUE,FALSE
FBgn0001989,ND-B17,N/A,TRUE,FALSE,FALSE
FBgn0001991,Ca-alpha1D,CACNA1B,FALSE,FALSE,TRUE
FBgn0001994,crp,TFAP4,TRUE,TRUE,FALSE
FBgn0002022,Catsup,SLC39A7,TRUE,TRUE,FALSE
FBgn0002031,l(2)37Cc,PHB,TRUE,TRUE,TRUE
FBgn0002044,swm,RBM27,FALSE,FALSE,TRUE
FBgn0002069,AspRS,DARS,FALSE,TRUE,FALSE
FBgn0002121,l(2)gl,LLGL2,TRUE,TRUE,FALSE
FBgn0002183,dre4,SUPT16H,FALSE,FALSE,TRUE
FBgn0002284,Prosbeta6,PSMB1,TRUE,TRUE,FALSE
FBgn0002306,sas,N/A,FALSE,TRUE,FALSE
FBgn0002413,dco,CSNK1E,TRUE,TRUE,TRUE
FBgn0002431,hyd,UBR5,TRUE,TRUE,TRUE
FBgn0002466,sti,CIT,TRUE,FALSE,FALSE
FBgn0002521,pho,ZFP42,TRUE,TRUE,TRUE
FBgn0002522,lab,HOXD1,FALSE,FALSE,TRUE
FBgn0002525,Lam,LMNB1,TRUE,TRUE,FALSE
FBgn0002526,LanA,LAMA3,FALSE,TRUE,FALSE
FBgn0002531,Lcp1,N/A,FALSE,TRUE,FALSE
FBgn0002533,Lcp2,N/A,FALSE,TRUE,FALSE
FBgn0002534,Lcp3,N/A,FALSE,TRUE,FALSE
FBgn0002535,Lcp4,N/A,FALSE,TRUE,FALSE
FBgn0002562,Lsp1alpha,N/A,FALSE,TRUE,FALSE
FBgn0002563,Lsp1beta,N/A,FALSE,TRUE,FALSE
FBgn0002564,Lsp1gamma,N/A,FALSE,TRUE,FALSE
FBgn0002565,Lsp2,N/A,FALSE,TRUE,FALSE
FBgn0002579,RpL36,RPL36,FALSE,TRUE,FALSE
FBgn0002590,RpS5a,RPS5,TRUE,TRUE,FALSE
FBgn0002593,RpLP1,RPLP1,TRUE,TRUE,FALSE
FBgn0002622,RpS3,RPS3,TRUE,TRUE,FALSE
FBgn0002626,RpL32,RPL32,TRUE,TRUE,FALSE
FBgn0002629,E(spl)m4-BFM,N/A,TRUE,FALSE,FALSE
FBgn0002643,mam,N/A,TRUE,TRUE,FALSE
FBgn0002645,Map205,N/A,TRUE,TRUE,FALSE
FBgn0002709,mei-218,MCMDC2,FALSE,TRUE,FALSE
FBgn0002719,Men,ME2,TRUE,TRUE,FALSE
FBgn0002736,mago,MAGOH,TRUE,FALSE,FALSE
FBgn0002772,Mlc1,N/A,FALSE,TRUE,FALSE
FBgn0002773,Mlc2,N/A,FALSE,TRUE,FALSE
FBgn0002775,msl-3,MSL3P1,FALSE,FALSE,TRUE
FBgn0002778,mnd,SLC7A10,FALSE,FALSE,TRUE
FBgn0002780,mod,N/A,FALSE,TRUE,FALSE
FBgn0002781,mod(mdg4),N/A,TRUE,TRUE,FALSE
FBgn0002783,mor,SMARCC1,TRUE,TRUE,TRUE
FBgn0002787,Rpn8,PSMD7,FALSE,TRUE,FALSE
FBgn0002789,Mp20,CNN3,FALSE,TRUE,FALSE
FBgn0002862,Mst87F,N/A,FALSE,TRUE,FALSE
FBgn0002865,Mst98Ca,N/A,FALSE,TRUE,FALSE
FBgn0002868,MtnA,N/A,FALSE,TRUE,FALSE
FBgn0002873,mud,N/A,TRUE,FALSE,FALSE
FBgn0002914,Myb,MYBL2,TRUE,TRUE,FALSE
FBgn0002921,Atpalpha,ATP4A,TRUE,TRUE,TRUE
FBgn0002932,neur,NEURL1,TRUE,TRUE,FALSE
FBgn0002973,numb,NUMB,TRUE,FALSE,FALSE
FBgn0003002,opa,ZIC3,TRUE,FALSE,FALSE
FBgn0003016,osp,TRIOBP,FALSE,TRUE,FALSE
FBgn0003028,ovo,OVOL2,FALSE,TRUE,FALSE
FBgn0003042,Pc,CBX2,TRUE,FALSE,FALSE
FBgn0003044,Pcl,PHF1,TRUE,TRUE,FALSE
FBgn0003067,Pepck1,PCK1,FALSE,TRUE,FALSE
FBgn0003068,per,PER1,FALSE,FALSE,TRUE
FBgn0003071,Pfk,PFKL,TRUE,TRUE,FALSE
FBgn0003074,Pgi,GPI,FALSE,TRUE,FALSE
FBgn0003079,Raf,RAF1,FALSE,TRUE,TRUE
FBgn0003090,pk,PRICKLE3,FALSE,FALSE,TRUE
FBgn0003091,Pkc53E,PRKCG,FALSE,FALSE,TRUE
FBgn0003093,Pkc98E,PRKCH,FALSE,TRUE,FALSE
FBgn0003124,polo,PLK2,TRUE,TRUE,FALSE
FBgn0003134,Pp1alpha-96A,PPP1CA,FALSE,TRUE,FALSE
FBgn0003137,Ppn,PAPLN,FALSE,TRUE,FALSE
FBgn0003149,Prm,N/A,FALSE,TRUE,FALSE
FBgn0003159,CG2841,N/A,FALSE,TRUE,FALSE
FBgn0003162,Pu,GCH1,FALSE,TRUE,FALSE
FBgn0003165,pum,PUM1,TRUE,TRUE,FALSE
FBgn0003187,qua,AVIL,FALSE,FALSE,TRUE
FBgn0003204,ras,IMPDH2,FALSE,TRUE,FALSE
FBgn0003205,Ras85D,NRAS,TRUE,TRUE,TRUE
FBgn0003206,Ras64B,RRAS,FALSE,TRUE,FALSE
FBgn0003209,raw,N/A,FALSE,TRUE,FALSE
FBgn0003210,rb,AP3B2,FALSE,TRUE,FALSE
FBgn0003231,ref(2)P,SQSTM1,FALSE,TRUE,FALSE
FBgn0003256,rl,MAPK3,TRUE,TRUE,TRUE
FBgn0003261,Rm62,DDX5,TRUE,TRUE,FALSE
FBgn0003274,RpLP2,RPLP2,TRUE,FALSE,FALSE
FBgn0003277,RpII215,POLR2A,TRUE,TRUE,FALSE
FBgn0003279,RpL4,RPL4,TRUE,TRUE,FALSE
FBgn0003285,rst,KIRREL2,FALSE,FALSE,TRUE
FBgn0003292,rt,POMT1,FALSE,FALSE,TRUE
FBgn0003302,rux,N/A,FALSE,TRUE,FALSE
FBgn0003310,S,N/A,TRUE,TRUE,FALSE
FBgn0003312,sad,CYP27A1,FALSE,FALSE,TRUE
FBgn0003313,sala,N/A,FALSE,TRUE,FALSE
FBgn0003321,sbr,NXF2,TRUE,TRUE,TRUE
FBgn0003334,Scm,SCML4,TRUE,TRUE,FALSE
FBgn0003345,sd,TEAD2,TRUE,TRUE,FALSE
FBgn0003357,Jon99Ciii,N/A,FALSE,TRUE,FALSE
FBgn0003360,sesB,SLC25A31,TRUE,TRUE,FALSE
FBgn0003371,sgg,GSK3A,TRUE,TRUE,FALSE
FBgn0003372,Sgs1,N/A,FALSE,TRUE,FALSE
FBgn0003373,Sgs3,N/A,FALSE,TRUE,FALSE
FBgn0003374,Sgs4,N/A,FALSE,TRUE,FALSE
FBgn0003375,Sgs5,N/A,FALSE,TRUE,FALSE
FBgn0003377,Sgs7,N/A,FALSE,TRUE,FALSE
FBgn0003378,Sgs8,N/A,FALSE,TRUE,FALSE
FBgn0003380,Sh,KCNA10,FALSE,TRUE,FALSE
FBgn0003386,Shaw,KCNC3,FALSE,FALSE,TRUE
FBgn0003388,shd,N/A,FALSE,TRUE,FALSE
FBgn0003391,shg,N/A,TRUE,TRUE,FALSE
FBgn0003392,shi,DNM2,TRUE,TRUE,FALSE
FBgn0003396,shn,HIVEP3,FALSE,TRUE,TRUE
FBgn0003410,sina,SIAH3,TRUE,TRUE,FALSE
FBgn0003415,skd,MED13L,TRUE,FALSE,TRUE
FBgn0003423,slgA,LOC102724788,FALSE,TRUE,TRUE
FBgn0003429,slo,KCNU1,FALSE,FALSE,TRUE
FBgn0003430,slp1,FOXG1,FALSE,FALSE,TRUE
FBgn0003435,sm,HNRNPLL,TRUE,TRUE,FALSE
FBgn0003447,sn,FSCN1,TRUE,TRUE,FALSE
FBgn0003462,Sod1,SOD1,TRUE,TRUE,TRUE
FBgn0003463,sog,CHRD,FALSE,TRUE,FALSE
FBgn0003475,spir,SPIRE2,FALSE,TRUE,FALSE
FBgn0003499,sr,EGR1,FALSE,FALSE,TRUE
FBgn0003502,Btk29A,BMX,TRUE,FALSE,FALSE
FBgn0003507,srp,GATA1,FALSE,TRUE,FALSE
FBgn0003514,sqh,MYL12B,FALSE,TRUE,FALSE
FBgn0003517,sta,RPSA,TRUE,TRUE,FALSE
FBgn0003520,stau,STAU1,TRUE,TRUE,FALSE
FBgn0003525,stg,CDC25C,TRUE,TRUE,FALSE
FBgn0003557,Su(dx),WWP2,FALSE,FALSE,TRUE
FBgn0003575,su(sable),ZC3H4,FALSE,FALSE,TRUE
FBgn0003607,Su(var)205,CBX3,TRUE,TRUE,FALSE
FBgn0003612,Su(var)2-10,PIAS4,TRUE,TRUE,FALSE
FBgn0003638,su(w[a]),SFSWAP,FALSE,TRUE,FALSE
FBgn0003651,svp,NR2F1,TRUE,TRUE,TRUE
FBgn0003656,sws,PNPLA6,TRUE,TRUE,TRUE
FBgn0003660,Syb,VAMP8,TRUE,TRUE,TRUE
FBgn0003716,tkv,ACVR1C,TRUE,TRUE,FALSE
FBgn0003721,Tm1,TPM2,TRUE,TRUE,FALSE
FBgn0003731,Egfr,ERBB3,FALSE,TRUE,FALSE
FBgn0003744,trc,STK38L,FALSE,TRUE,FALSE
FBgn0003748,Treh,TREH,FALSE,TRUE,FALSE
FBgn0003862,trx,KMT2A,TRUE,TRUE,TRUE
FBgn0003866,tsh,TSHZ1,TRUE,FALSE,TRUE
FBgn0003870,ttk,N/A,FALSE,TRUE,FALSE
FBgn0003882,tub,N/A,TRUE,TRUE,FALSE
FBgn0003884,alphaTub84B,TUBA1B,TRUE,TRUE,FALSE
FBgn0003885,alphaTub84D,TUBA1C,TRUE,TRUE,FALSE
FBgn0003888,betaTub60D,TUBB1,TRUE,TRUE,FALSE
FBgn0003889,betaTub85D,TUBB1,FALSE,TRUE,FALSE
FBgn0003891,tud,TDRD15,TRUE,TRUE,FALSE
FBgn0003930,snRNA:U4:39B,N/A,TRUE,FALSE,FALSE
FBgn0003931,snRNA:U4:38AB,N/A,TRUE,FALSE,FALSE
FBgn0003934,snRNA:U5:23D,N/A,TRUE,FALSE,FALSE
FBgn0003941,RpL40,UBA52,TRUE,FALSE,FALSE
FBgn0003942,RpS27A,RPS27A,TRUE,TRUE,FALSE
FBgn0003943,Ubi-p63E,UBB,TRUE,TRUE,FALSE
FBgn0003944,Ubx,N/A,FALSE,TRUE,FALSE
FBgn0003964,usp,RXRB,FALSE,TRUE,FALSE
FBgn0003965,v,TDO2,FALSE,FALSE,TRUE
FBgn0004055,uzip,N/A,TRUE,FALSE,FALSE
FBgn0004066,Prosalpha4,PSMA7,FALSE,TRUE,FALSE
FBgn0004102,oc,CRX,FALSE,FALSE,TRUE
FBgn0004103,Pp1-87B,PPP1CA,TRUE,TRUE,FALSE
FBgn0004106,Cdk1,CDK2,TRUE,FALSE,FALSE
FBgn0004108,Nrt,N/A,TRUE,TRUE,FALSE
FBgn0004117,Tm2,TPM1,FALSE,TRUE,FALSE
FBgn0004169,up,TNNT1,FALSE,TRUE,FALSE
FBgn0004171,Mst98Cb,N/A,FALSE,TRUE,FALSE
FBgn0004172,Mst84Da,N/A,FALSE,TRUE,FALSE
FBgn0004174,Mst84Dc,N/A,FALSE,TRUE,FALSE
FBgn0004175,Mst84Dd,N/A,FALSE,TRUE,FALSE
FBgn0004177,mts,PPP2CB,TRUE,TRUE,TRUE
FBgn0004179,Csp,DNAJC5G,TRUE,TRUE,FALSE
FBgn0004187,snRNA:U1:95Cc,N/A,TRUE,TRUE,FALSE
FBgn0004198,ct,CUX1,TRUE,TRUE,TRUE
FBgn0004227,nonA,PSPC1,TRUE,TRUE,FALSE
FBgn0004237,Hrb87F,HNRNPA0,TRUE,TRUE,FALSE
FBgn0004242,Syt1,SYT8,FALSE,TRUE,TRUE
FBgn0004362,HmgD,HMGB2,TRUE,TRUE,FALSE
FBgn0004363,porin,VDAC1,TRUE,TRUE,FALSE
FBgn0004368,Ptp4E,PTPRH,FALSE,FALSE,TRUE
FBgn0004369,Ptp99A,PTPRZ1,TRUE,TRUE,FALSE
FBgn0004370,Ptp10D,PTPRH,TRUE,TRUE,TRUE
FBgn0004373,fwd,PI4KB,TRUE,TRUE,FALSE
FBgn0004374,neb,KIF14,FALSE,FALSE,TRUE
FBgn0004387,Klp98A,KIF16B,FALSE,TRUE,FALSE
FBgn0004390,RasGAP1,RASA2,TRUE,FALSE,FALSE
FBgn0004395,unk,UNKL,TRUE,TRUE,FALSE
FBgn0004396,CrebA,CREB3L3,FALSE,TRUE,FALSE
FBgn0004401,Pep,CIZ1,TRUE,TRUE,FALSE
FBgn0004403,RpS14a,RPS14,FALSE,TRUE,FALSE
FBgn0004419,me31B,DDX6,TRUE,TRUE,FALSE
FBgn0004432,Cyp1,PPIA,TRUE,TRUE,FALSE
FBgn0004435,Galphaq,GNA14,TRUE,TRUE,FALSE
FBgn0004436,Ubc6,UBE2A,TRUE,TRUE,FALSE
FBgn0004449,Ten-m,TENM3,TRUE,TRUE,FALSE
FBgn0004456,mew,ITGA3,FALSE,TRUE,FALSE
FBgn0004507,GlyP,PYGB,TRUE,TRUE,FALSE
FBgn0004509,Fur1,PCSK4,FALSE,TRUE,FALSE
FBgn0004567,slp2,FOXG1,TRUE,FALSE,TRUE
FBgn0004573,5-HT7,HTR7,FALSE,TRUE,FALSE
FBgn0004574,Rop,STXBP3,FALSE,TRUE,TRUE
FBgn0004575,Syn,SYN2,FALSE,FALSE,TRUE
FBgn0004581,bgcn,YTHDC2,FALSE,FALSE,TRUE
FBgn0004583,ex,FRMD6,FALSE,TRUE,FALSE
FBgn0004584,Rrp1,APEX1,TRUE,FALSE,FALSE
FBgn0004587,B52,SRSF4,TRUE,TRUE,FALSE
FBgn0004592,Eig71Ee,N/A,FALSE,TRUE,FALSE
FBgn0004595,pros,PROX2,TRUE,TRUE,FALSE
FBgn0004606,zfh1,ZEB1,FALSE,TRUE,FALSE
FBgn0004607,zfh2,ZFHX2,TRUE,TRUE,FALSE
FBgn0004611,Plc21C,PLCB2,FALSE,FALSE,TRUE
FBgn0004619,GluRIA,GRIA4,FALSE,FALSE,TRUE
FBgn0004636,Rap1,RAP1B,TRUE,TRUE,FALSE
FBgn0004638,drk,GRAP,TRUE,TRUE,FALSE
FBgn0004646,ogre,N/A,TRUE,TRUE,FALSE
FBgn0004647,N,NOTCH4,TRUE,TRUE,FALSE
FBgn0004648,svr,CPD,FALSE,TRUE,FALSE
FBgn0004652,fru,N/A,TRUE,TRUE,FALSE
FBgn0004656,fs(1)h,BRD3,TRUE,TRUE,TRUE
FBgn0004657,mys,ITGB4,TRUE,TRUE,TRUE
FBgn0004687,Mlc-c,MYL3,TRUE,TRUE,FALSE
FBgn0004698,Xpc,XPC,TRUE,TRUE,TRUE
FBgn0004784,inaC,PRKCA,FALSE,FALSE,TRUE
FBgn0004828,His3.3B,H3F3B,TRUE,TRUE,FALSE
FBgn0004838,Hrb27C,DAZAP1,TRUE,TRUE,FALSE
FBgn0004839,otk,PTK7,TRUE,FALSE,TRUE
FBgn0004859,ci,GLI1,TRUE,TRUE,FALSE
FBgn0004865,Eip78C,NR1D2,FALSE,TRUE,FALSE
FBgn0004867,RpS2,RPS2,TRUE,TRUE,FALSE
FBgn0004868,Gdi,GDI2,TRUE,TRUE,FALSE
FBgn0004875,enc,R3HDM1,TRUE,TRUE,FALSE
FBgn0004876,cdi,TESK1,TRUE,TRUE,FALSE
FBgn0004878,cas,CASZ1,TRUE,FALSE,TRUE
FBgn0004880,scrt,SCRT2,TRUE,FALSE,FALSE
FBgn0004882,orb,CPEB1,FALSE,TRUE,FALSE
FBgn0004885,tok,TLL2,FALSE,TRUE,FALSE
FBgn0004888,Scsalpha1,SUCLG1,TRUE,TRUE,FALSE
FBgn0004889,tws,PPP2R2C,TRUE,TRUE,FALSE
FBgn0004893,bowl,OSR2,FALSE,TRUE,FALSE
FBgn0004903,Rb97D,HNRNPA0,TRUE,FALSE,FALSE
FBgn0004907,14-3-3zeta,SFN,TRUE,TRUE,TRUE
FBgn0004910,Eip63F-1,N/A,FALSE,TRUE,FALSE
FBgn0004921,Ggamma1,GNG3,TRUE,TRUE,FALSE
FBgn0004924,Top1,TOP1MT,TRUE,TRUE,FALSE
FBgn0004926,eIF2beta,EIF2S2,TRUE,TRUE,FALSE
FBgn0005198,gig,TSC2,FALSE,FALSE,TRUE
FBgn0005278,Sam-S,MAT1A,TRUE,TRUE,FALSE
FBgn0005386,ash1,ASH1L,FALSE,FALSE,TRUE
FBgn0005411,U2af50,U2AF2,TRUE,TRUE,FALSE
FBgn0005427,ewg,NRF1,FALSE,TRUE,FALSE
FBgn0005533,RpS17,RPS17,TRUE,FALSE,FALSE
FBgn0005536,Mbs,PPP1R12C,TRUE,TRUE,FALSE
FBgn0005558,ey,PAX6,FALSE,FALSE,TRUE
FBgn0005561,sv,PAX8,FALSE,FALSE,TRUE
FBgn0005564,Shal,KCND1,FALSE,FALSE,TRUE
FBgn0005585,Calr,CALR3,TRUE,TRUE,FALSE
FBgn0005593,RpL7,RPL7L1,TRUE,TRUE,FALSE
FBgn0005596,yem,UBN1,FALSE,FALSE,TRUE
FBgn0005617,msl-1,MSL1,FALSE,TRUE,FALSE
FBgn0005626,ple,TH,FALSE,TRUE,FALSE
FBgn0005631,robo1,ROBO3,FALSE,FALSE,TRUE
FBgn0005632,faf,USP9Y,FALSE,TRUE,TRUE
FBgn0005640,Eip63E,CDK17,TRUE,TRUE,FALSE
FBgn0005648,Pabp2,PABPN1L,TRUE,TRUE,FALSE
FBgn0005649,Rox8,TIA1,TRUE,TRUE,FALSE
