GO.ID,Term,Annotated,Significant,Expected,classicFisher,bonferroni,bh,foldEnrichment,ontology
GO:0048513,animal organ development,1198,307,159.73, 1e-30,2.1810000000000003e-27,3.6966101694915256e-29,1.92,BP
GO:0051716,cellular response to stimulus,1999,444,266.53, 1e-30,2.1810000000000003e-27,3.6966101694915256e-29,1.67,BP
GO:0008104,protein localization,727,216,96.93, 1e-30,2.1810000000000003e-27,3.6966101694915256e-29,2.23,BP
GO:0051603,proteolysis involved in cellular protein...,369,139,49.2, 1e-30,2.1810000000000003e-27,3.6966101694915256e-29,2.83,BP
GO:0044257,cellular protein catabolic process,373,139,49.73, 1e-30,2.1810000000000003e-27,3.6966101694915256e-29,2.8,BP
GO:0030163,protein catabolic process,387,142,51.6, 1e-30,2.1810000000000003e-27,3.6966101694915256e-29,2.75,BP
GO:0050896,response to stimulus,2972,592,396.27, 1e-30,2.1810000000000003e-27,3.6966101694915256e-29,1.49,BP
GO:0048477,oogenesis,602,188,80.27, 1e-30,2.1810000000000003e-27,3.6966101694915256e-29,2.34,BP
GO:0019941,modification-dependent protein catabolic...,344,131,45.87, 1e-30,2.1810000000000003e-27,3.6966101694915256e-29,2.86,BP
GO:0044260,cellular macromolecule metabolic process,2841,571,378.8, 1e-30,2.1810000000000003e-27,3.6966101694915256e-29,1.51,BP
GO:0007281,germ cell development,736,214,98.13, 1e-30,2.1810000000000003e-27,3.6966101694915256e-29,2.18,BP
GO:0007399,nervous system development,1131,288,150.8, 1e-30,2.1810000000000003e-27,3.6966101694915256e-29,1.91,BP
GO:0007165,signal transduction,1547,361,206.27, 1e-30,2.1810000000000003e-27,3.6966101694915256e-29,1.75,BP
GO:0006511,ubiquitin-dependent protein catabolic pr...,340,129,45.33, 1e-30,2.1810000000000003e-27,3.6966101694915256e-29,2.85,BP
GO:0006091,generation of precursor metabolites and ...,221,99,29.47, 1e-30,2.1810000000000003e-27,3.6966101694915256e-29,3.36,BP
GO:0035556,intracellular signal transduction,651,196,86.8, 1e-30,2.1810000000000003e-27,3.6966101694915256e-29,2.26,BP
GO:0007276,gamete generation,966,257,128.8, 1e-30,2.1810000000000003e-27,3.6966101694915256e-29,2,BP
GO:0051234,establishment of localization,1906,420,254.13,1.0e-30,2.1810000000000003e-27,3.6966101694915256e-29,1.65,BP
GO:0043632,modification-dependent macromolecule cat...,351,131,46.8,1.0e-30,2.1810000000000003e-27,3.6966101694915256e-29,2.8,BP
GO:1901564,organonitrogen compound metabolic proces...,3471,661,462.8,2.4e-30,5.2344e-27,8.724e-29,1.43,BP
GO:0007292,female gamete generation,655,195,87.33,5.7e-30,1.24317e-26,2.037983606557377e-28,2.23,BP
GO:0070727,cellular macromolecule localization,598,183,79.73,9.2e-30,2.0065199999999998e-26,3.2363225806451615e-28,2.3,BP
GO:0019953,sexual reproduction,981,257,130.8,1.1e-29,2.3991e-26,3.808095238095238e-28,1.96,BP
GO:0006810,transport,1848,407,246.4,1.4e-29,3.0534e-26,4.7709375e-28,1.65,BP
GO:0050793,regulation of developmental process,685,200,91.33,1.7e-29,3.7077e-26,5.704153846153846e-28,2.19,BP
GO:0007010,cytoskeleton organization,650,191,86.67,1.5e-28,3.2715e-25,4.956818181818182e-27,2.2,BP
GO:0044265,cellular macromolecule catabolic process,519,163,69.2,6.3e-28,1.37403e-24,2.0507910447761192e-26,2.36,BP
GO:0048523,negative regulation of cellular process,1304,308,173.87,4.2e-27,9.1602e-24,1.3470882352941176e-25,1.77,BP
GO:0009968,negative regulation of signal transducti...,379,131,50.53,6.2e-27,1.35222e-23,1.9597391304347825e-25,2.59,BP
GO:0009057,macromolecule catabolic process,578,173,77.07,7.1e-27,1.54851e-23,2.212157142857143e-25,2.24,BP
GO:0003006,developmental process involved in reprod...,942,242,125.6,1.6e-26,3.4896000000000004e-23,4.914929577464789e-25,1.93,BP
GO:0048585,negative regulation of response to stimu...,433,142,57.73,1.8e-26,3.9258e-23,5.452500000000001e-25,2.46,BP
GO:1902531,regulation of intracellular signal trans...,352,124,46.93,2.2e-26,4.7982e-23,6.572876712328768e-25,2.64,BP
GO:0006897,endocytosis,173,80,23.07,2.7e-26,5.888699999999999e-23,7.957702702702702e-25,3.47,BP
GO:0071704,organic substance metabolic process,6006,996,800.8,3.8e-26,8.287800000000001e-23,1.10504e-24,1.24,BP
GO:0044238,primary metabolic process,5643,947,752.4,7.2e-26,1.57032e-22,2.0662105263157895e-24,1.26,BP
GO:0030029,actin filament-based process,326,117,43.47,9.4e-26,2.05014e-22,2.6625194805194806e-24,2.69,BP
GO:0034613,cellular protein localization,541,163,72.13,1.1e-25,2.3991e-22,3.075769230769231e-24,2.26,BP
GO:0051246,regulation of protein metabolic process,557,166,74.27,1.4e-25,3.0534e-22,3.8650632911392404e-24,2.24,BP
GO:0010647,positive regulation of cell communicatio...,456,145,60.8,1.7e-25,3.7077e-22,4.577407407407408e-24,2.38,BP
GO:0023056,positive regulation of signaling,456,145,60.8,1.7e-25,3.7077e-22,4.577407407407408e-24,2.38,BP
GO:0048609,multicellular organismal reproductive pr...,1099,267,146.53,2.8e-25,6.1068e-22,7.447317073170732e-24,1.82,BP
GO:1901575,organic substance catabolic process,916,234,122.13,3.0e-25,6.542999999999999e-22,7.883132530120482e-24,1.92,BP
GO:0032501,multicellular organismal process,3659,669,487.87,3.6e-25,7.8516e-22,9.347142857142858e-24,1.37,BP
GO:0048699,generation of neurons,847,221,112.93,3.9e-25,8.5059e-22,1.0006941176470589e-23,1.96,BP
GO:0022008,neurogenesis,915,233,122,6.2e-25,1.35222e-21,1.5723488372093022e-23,1.91,BP
GO:0060429,epithelium development,965,242,128.67,6.7e-25,1.46127e-21,1.6796206896551727e-23,1.88,BP
GO:0032879,regulation of localization,535,160,71.33,7.8e-25,1.70118e-21,1.933159090909091e-23,2.24,BP
GO:0030036,actin cytoskeleton organization,312,112,41.6,1.1e-24,2.3991e-21,2.69561797752809e-23,2.69,BP
GO:0023057,negative regulation of signaling,409,133,54.53,1.9e-24,4.1439e-21,4.604333333333334e-23,2.44,BP
GO:0019538,protein metabolic process,2902,554,386.93,2.7e-24,5.8887e-21,6.471098901098901e-23,1.43,BP
GO:0015980,energy derivation by oxidation of organi...,168,76,22.4,2.8e-24,6.1068000000000006e-21,6.637826086956522e-23,3.39,BP
GO:0009887,animal organ morphogenesis,747,200,99.6,3.3e-24,7.197299999999999e-21,7.739032258064517e-23,2.01,BP
GO:0006793,phosphorus metabolic process,931,234,124.13,3.4e-24,7.415399999999999e-21,7.888723404255319e-23,1.89,BP
GO:0030182,neuron differentiation,780,206,104,4.0e-24,8.724e-21,9.183157894736842e-23,1.98,BP
GO:0009888,tissue development,1044,254,139.2,4.3e-24,9.378300000000001e-21,9.769062500000001e-23,1.82,BP
GO:0010648,negative regulation of cell communicatio...,408,132,54.4,4.9e-24,1.06869e-20,1.101742268041237e-22,2.43,BP
GO:0032268,regulation of cellular protein metabolic...,526,156,70.13,8.4e-24,1.83204e-20,1.8694285714285712e-22,2.22,BP
GO:0040007,growth,444,139,59.2,1.0e-23,2.181e-20,2.181e-22,2.35,BP
GO:0048519,negative regulation of biological proces...,1559,341,207.87,1.0e-23,2.181e-20,2.181e-22,1.64,BP
GO:0006796,phosphate-containing compound metabolic ...,924,231,123.2,1.5e-23,3.2715e-20,3.2391089108910894e-22,1.88,BP
GO:0140352,export from cell,244,94,32.53,2.0e-23,4.362e-20,4.276470588235294e-22,2.89,BP
GO:0009967,positive regulation of signal transducti...,419,133,55.87,2.4e-23,5.2343999999999997e-20,5.081941747572815e-22,2.38,BP
GO:1901565,organonitrogen compound catabolic proces...,556,161,74.13,2.5e-23,5.4525e-20,5.192857142857143e-22,2.17,BP
GO:0035295,tube development,716,192,95.47,2.5e-23,5.4525e-20,5.192857142857143e-22,2.01,BP
GO:0007166,cell surface receptor signaling pathway,717,192,95.6,3.0e-23,6.543e-20,6.172641509433962e-22,2.01,BP
GO:0007163,establishment or maintenance of cell pol...,194,81,25.87,5.3e-23,1.15593e-19,1.0803084112149534e-21,3.13,BP
GO:0000902,cell morphogenesis,560,161,74.67,5.6e-23,1.2213599999999998e-19,1.1308888888888887e-21,2.16,BP
GO:0044087,regulation of cellular component biogene...,312,109,41.6,5.8e-23,1.26498e-19,1.1605321100917433e-21,2.62,BP
GO:0046034,ATP metabolic process,138,66,18.4,6.4e-23,1.39584e-19,1.2689454545454545e-21,3.59,BP
GO:0048666,neuron development,617,172,82.27,6.8e-23,1.48308e-19,1.3361081081081081e-21,2.09,BP
GO:0009894,regulation of catabolic process,293,104,39.07,1.5e-22,3.2715e-19,2.895132743362832e-21,2.66,BP
GO:0051130,positive regulation of cellular componen...,267,98,35.6,1.5e-22,3.2715e-19,2.895132743362832e-21,2.75,BP
GO:0045333,cellular respiration,127,62,16.93,3.4e-22,7.4154e-19,6.5047368421052626e-21,3.66,BP
GO:0032940,secretion by cell,236,90,31.47,4.0e-22,8.724e-19,7.58608695652174e-21,2.86,BP
GO:0048584,positive regulation of response to stimu...,520,151,69.33,4.8e-22,1.04688e-18,9.024827586206897e-21,2.18,BP
GO:0033043,regulation of organelle organization,335,112,44.67,8.4e-22,1.83204e-18,1.565846153846154e-20,2.51,BP
GO:0034330,cell junction organization,382,122,50.93,9.8e-22,2.13738e-18,1.8113389830508474e-20,2.4,BP
GO:0022414,reproductive process,1251,283,166.8,1.0e-21,2.1809999999999998e-18,1.8327731092436973e-20,1.7,BP
GO:0045184,establishment of protein localization,479,142,63.87,1.1e-21,2.3991000000000002e-18,1.99925e-20,2.22,BP
GO:0015031,protein transport,457,137,60.93,1.9e-21,4.1439e-18,3.4247107438016526e-20,2.25,BP
GO:0034329,cell junction assembly,238,89,31.73,3.3e-21,7.1973e-18,5.899426229508197e-20,2.8,BP
GO:0048729,tissue morphogenesis,606,165,80.8,8.0e-21,1.7447999999999998e-17,1.4185365853658535e-19,2.04,BP
GO:0048589,developmental growth,377,119,50.27,9.4e-21,2.05014e-17,1.6533387096774196e-19,2.37,BP
GO:0002009,morphogenesis of an epithelium,587,161,78.27,1.1e-20,2.3990999999999998e-17,1.91928e-19,2.06,BP
GO:0046903,secretion,252,91,33.6,1.9e-20,4.1438999999999997e-17,3.2888095238095237e-19,2.71,BP
GO:0071705,nitrogen compound transport,648,172,86.4,2.0e-20,4.362e-17,3.4346456692913385e-19,1.99,BP
GO:0006914,autophagy,206,80,27.47,2.3e-20,5.0163e-17,3.8886046511627907e-19,2.91,BP
GO:0061919,process utilizing autophagic mechanism,206,80,27.47,2.3e-20,5.0163e-17,3.8886046511627907e-19,2.91,BP
GO:0042592,homeostatic process,479,139,63.87,2.6e-20,5.6706e-17,4.328702290076336e-19,2.18,BP
GO:0071695,anatomical structure maturation,190,76,25.33,2.6e-20,5.6706e-17,4.328702290076336e-19,3,BP
GO:0016197,endosomal transport,115,56,15.33,4.1e-20,8.9421e-17,6.774318181818183e-19,3.65,BP
GO:0031329,regulation of cellular catabolic process,268,94,35.73,4.4e-20,9.596399999999999e-17,7.215338345864661e-19,2.63,BP
GO:0008589,regulation of smoothened signaling pathw...,95,50,12.67,5.6e-20,1.22136e-16,9.114626865671642e-19,3.95,BP
GO:0007049,cell cycle,749,189,99.87,9.9e-20,2.15919e-16,1.5994e-18,1.89,BP
GO:0007267,cell-cell signaling,517,145,68.93,1.2e-19,2.6172000000000004e-16,1.9244117647058822e-18,2.1,BP
GO:0021700,developmental maturation,220,82,29.33,1.6e-19,3.4896e-16,2.5471532846715326e-18,2.8,BP
GO:0048469,cell maturation,187,74,24.93,1.7e-19,3.7077e-16,2.686739130434783e-18,2.97,BP
GO:0097435,supramolecular fiber organization,284,96,37.87,3.3e-19,7.1973e-16,5.140928571428571e-18,2.53,BP
GO:0010498,proteasomal protein catabolic process,275,94,36.67,3.3e-19,7.1973e-16,5.140928571428571e-18,2.56,BP
GO:0007264,small GTPase mediated signal transductio...,170,69,22.67,5.8e-19,1.2649799999999999e-15,8.971489361702128e-18,3.04,BP
GO:0035239,tube morphogenesis,506,141,67.47,7.5e-19,1.63575e-15,1.1519366197183097e-17,2.09,BP
GO:0007224,smoothened signaling pathway,100,50,13.33,1.0e-18,2.181e-15,1.5251748251748252e-17,3.75,BP
GO:0043161,proteasome-mediated ubiquitin-dependent ...,257,89,34.27,1.2e-18,2.6172e-15,1.7926027397260275e-17,2.6,BP
GO:0006464,cellular protein modification process,1280,278,170.67,1.2e-18,2.6172e-15,1.7926027397260275e-17,1.63,BP
GO:0036211,protein modification process,1280,278,170.67,1.2e-18,2.6172e-15,1.7926027397260275e-17,1.63,BP
GO:0007265,Ras protein signal transduction,146,62,19.47,2.5e-18,5.4525e-15,3.709183673469388e-17,3.18,BP
GO:0009060,aerobic respiration,116,54,15.47,2.6e-18,5.6706e-15,3.8314864864864866e-17,3.49,BP
GO:0043933,protein-containing complex organization,678,172,90.4,3.1e-18,6.7611e-15,4.5376510067114095e-17,1.9,BP
GO:0022603,regulation of anatomical structure morph...,183,71,24.4,3.5e-18,7.633499999999999e-15,5.0889999999999993e-17,2.91,BP
GO:0000165,MAPK cascade,147,62,19.6,3.7e-18,8.069700000000001e-15,5.344172185430464e-17,3.16,BP
GO:0048646,anatomical structure formation involved ...,542,146,72.27,4.9e-18,1.0686900000000001e-14,7.030855263157895e-17,2.02,BP
GO:0032989,cellular component morphogenesis,576,152,76.8,7.5e-18,1.63575e-14,1.0691176470588236e-16,1.98,BP
GO:0022900,electron transport chain,80,43,10.67,8.0e-18,1.7448e-14,1.1329870129870131e-16,4.03,BP
GO:0050807,regulation of synapse organization,165,66,22,8.4e-18,1.83204e-14,1.1819612903225807e-16,3,BP
GO:0031175,neuron projection development,475,132,63.33,1.4e-17,3.0533999999999996e-14,1.9448407643312103e-16,2.08,BP
GO:0070647,protein modification by small protein co...,317,100,42.27,1.4e-17,3.0533999999999996e-14,1.9448407643312103e-16,2.37,BP
GO:0051493,regulation of cytoskeleton organization,167,66,22.27,1.8e-17,3.9258e-14,2.4846835443037973e-16,2.96,BP
GO:0007416,synapse assembly,180,69,24,2.2e-17,4.7982e-14,3.017735849056604e-16,2.88,BP
GO:0032990,cell part morphogenesis,447,126,59.6,2.3e-17,5.0163e-14,3.1351875e-16,2.11,BP
GO:0071702,organic substance transport,805,192,107.33,3.4e-17,7.415399999999999e-14,4.60583850931677e-16,1.79,BP
GO:0051124,synaptic assembly at neuromuscular junct...,149,61,19.87,4.0e-17,8.724e-14,5.385185185185186e-16,3.07,BP
GO:0040008,regulation of growth,317,99,42.27,4.4e-17,9.5964e-14,5.887361963190184e-16,2.34,BP
GO:0032504,multicellular organism reproduction,1332,281,177.6,5.0e-17,1.0905e-13,6.649390243902439e-16,1.58,BP
GO:0009886,post-embryonic animal morphogenesis,457,127,60.93,5.8e-17,1.2649800000000002e-13,7.666545454545455e-16,2.08,BP
GO:0050803,regulation of synapse structure or activ...,200,73,26.67,6.1e-17,1.33041e-13,8.014518072289157e-16,2.74,BP
GO:0001654,eye development,392,114,52.27,6.7e-17,1.4612700000000001e-13,8.646568047337278e-16,2.18,BP
GO:0048880,sensory system development,392,114,52.27,6.7e-17,1.4612700000000001e-13,8.646568047337278e-16,2.18,BP
GO:0150063,visual system development,392,114,52.27,6.7e-17,1.4612700000000001e-13,8.646568047337278e-16,2.18,BP
GO:0050808,synapse organization,310,97,41.33,8.0e-17,1.7448e-13,1.0263529411764707e-15,2.35,BP
GO:0007444,imaginal disc development,570,148,76,9.9e-17,2.1591899999999998e-13,1.2626842105263156e-15,1.95,BP
GO:0032970,regulation of actin filament-based proce...,113,51,15.07,1.2e-16,2.6172e-13,1.5216279069767442e-15,3.38,BP
GO:0016032,viral process,42,29,5.6,1.5e-16,3.2714999999999997e-13,1.8801724137931035e-15,5.18,BP
GO:0006807,nitrogen compound metabolic process,5280,856,704,1.5e-16,3.2714999999999997e-13,1.8801724137931035e-15,1.22,BP
GO:0048707,instar larval or pupal morphogenesis,442,123,58.93,1.7e-16,3.7077e-13,2.1066477272727272e-15,2.09,BP
GO:0009798,axis specification,199,72,26.53,1.7e-16,3.7077e-13,2.1066477272727272e-15,2.71,BP
GO:0002165,instar larval or pupal development,558,145,74.4,1.9e-16,4.1439e-13,2.3411864406779663e-15,1.95,BP
GO:0010033,response to organic substance,591,151,78.8,2.2e-16,4.7982e-13,2.6656666666666667e-15,1.92,BP
GO:0016310,phosphorylation,418,118,55.73,2.2e-16,4.7982e-13,2.6656666666666667e-15,2.12,BP
GO:0016050,vesicle organization,122,53,16.27,2.2e-16,4.7982e-13,2.6656666666666667e-15,3.26,BP
GO:0007389,pattern specification process,527,139,70.27,2.3e-16,5.0163e-13,2.7714364640883976e-15,1.98,BP
GO:0032956,regulation of actin cytoskeleton organiz...,111,50,14.8,2.6e-16,5.6706e-13,3.1157142857142855e-15,3.38,BP
GO:0040011,locomotion,661,163,88.13,4.4e-16,9.5964e-13,5.2439344262295076e-15,1.85,BP
GO:0048812,neuron projection morphogenesis,437,121,58.27,4.5e-16,9.8145e-13,5.3339673913043474e-15,2.08,BP
GO:0060562,epithelial tube morphogenesis,463,126,61.73,4.7e-16,1.0250700000000002e-12,5.540918918918919e-15,2.04,BP
GO:0048749,compound eye development,372,108,49.6,5.2e-16,1.13412e-12,6.09741935483871e-15,2.18,BP
GO:0006886,intracellular protein transport,338,101,45.07,5.9e-16,1.28679e-12,6.881229946524065e-15,2.24,BP
GO:0048858,cell projection morphogenesis,439,121,58.53,6.6e-16,1.43946e-12,7.616190476190475e-15,2.07,BP
GO:0120039,plasma membrane bounded cell projection ...,439,121,58.53,6.6e-16,1.43946e-12,7.616190476190475e-15,2.07,BP
GO:0051640,organelle localization,226,77,30.13,7.4e-16,1.61394e-12,8.49442105263158e-15,2.56,BP
GO:0065003,protein-containing complex assembly,572,146,76.27,7.9e-16,1.7229900000000001e-12,9.020890052356021e-15,1.91,BP
GO:0007423,sensory organ development,477,128,63.6,8.9e-16,1.94109e-12,1.010984375e-14,2.01,BP
GO:0035220,wing disc development,391,111,52.13,1.2e-15,2.6171999999999998e-12,1.3490721649484535e-14,2.13,BP
GO:0042221,response to chemical,1198,254,159.73,1.2e-15,2.6171999999999998e-12,1.3490721649484535e-14,1.59,BP
GO:0019222,regulation of metabolic process,2213,414,295.07,1.3e-15,2.8353000000000002e-12,1.454e-14,1.4,BP
GO:0045879,negative regulation of smoothened signal...,56,33,7.47,1.4e-15,3.0534000000000003e-12,1.5578571428571428e-14,4.42,BP
GO:0051247,positive regulation of protein metabolic...,247,81,32.93,1.6e-15,3.4896e-12,1.7713705583756344e-14,2.46,BP
GO:1901888,regulation of cell junction assembly,131,54,17.47,1.8e-15,3.9258e-12,1.9827272727272728e-14,3.09,BP
GO:0070887,cellular response to chemical stimulus,497,131,66.27,1.9e-15,4.1439000000000005e-12,2.0823618090452264e-14,1.98,BP
GO:0000904,cell morphogenesis involved in different...,477,127,63.6,2.2e-15,4.7981999999999995e-12,2.3990999999999997e-14,2,BP
GO:0022904,respiratory electron transport chain,73,38,9.73,2.7e-15,5.8887e-12,2.9297014925373133e-14,3.91,BP
GO:0010256,endomembrane system organization,195,69,26,2.8e-15,6.1068000000000006e-12,3.0231683168316835e-14,2.65,BP
GO:0019058,viral life cycle,37,26,4.93,2.9e-15,6.3249e-12,3.1004411764705885e-14,5.27,BP
GO:0032446,protein modification by small protein co...,254,82,33.87,2.9e-15,6.3249e-12,3.1004411764705885e-14,2.42,BP
GO:0006950,response to stress,1292,268,172.27,3.0e-15,6.543e-12,3.19170731707317e-14,1.56,BP
GO:0009791,post-embryonic development,637,156,84.93,3.9e-15,8.5059e-12,4.129077669902913e-14,1.84,BP
GO:0048599,oocyte development,146,57,19.47,5.4e-15,1.17774e-11,5.689565217391305e-14,2.93,BP
GO:0043408,regulation of MAPK cascade,130,53,17.33,5.8e-15,1.26498e-11,6.081634615384615e-14,3.06,BP
GO:0016567,protein ubiquitination,225,75,30,6.8e-15,1.48308e-11,7.096076555023923e-14,2.5,BP
GO:0007552,metamorphosis,468,124,62.4,7.3e-15,1.59213e-11,7.581571428571429e-14,1.99,BP
GO:0051239,regulation of multicellular organismal p...,576,144,76.8,8.1e-15,1.76661e-11,8.372559241706162e-14,1.88,BP
GO:0031323,regulation of cellular metabolic process,1942,369,258.93,8.3e-15,1.81023e-11,8.538820754716982e-14,1.43,BP
GO:1902532,negative regulation of intracellular sig...,127,52,16.93,8.4e-15,1.83204e-11,8.60112676056338e-14,3.07,BP
GO:0007308,oocyte construction,131,53,17.47,8.5e-15,1.85385e-11,8.66285046728972e-14,3.03,BP
GO:0048667,cell morphogenesis involved in neuron di...,433,117,57.73,9.7e-15,2.11557e-11,9.83986046511628e-14,2.03,BP
GO:0044403,biological process involved in symbiotic...,33,24,4.4,9.8e-15,2.13738e-11,9.895277777777777e-14,5.45,BP
GO:0048592,eye morphogenesis,317,94,42.27,1.1e-14,2.3991e-11,1.0806756756756758e-13,2.22,BP
GO:0090596,sensory organ morphogenesis,317,94,42.27,1.1e-14,2.3991e-11,1.0806756756756758e-13,2.22,BP
GO:0099003,vesicle-mediated transport in synapse,112,48,14.93,1.1e-14,2.3991e-11,1.0806756756756758e-13,3.22,BP
GO:0099504,synaptic vesicle cycle,112,48,14.93,1.1e-14,2.3991e-11,1.0806756756756758e-13,3.22,BP
GO:0002064,epithelial cell development,347,100,46.27,1.1e-14,2.3991e-11,1.0806756756756758e-13,2.16,BP
GO:0007528,neuromuscular junction development,191,67,25.47,1.1e-14,2.3991e-11,1.0806756756756758e-13,2.63,BP
GO:0000003,reproduction,1481,296,197.47,1.3e-14,2.8353e-11,1.2714349775784754e-13,1.5,BP
GO:0043484,regulation of RNA splicing,105,46,14,1.5e-14,3.2715e-11,1.4604910714285712e-13,3.29,BP
GO:0030707,ovarian follicle cell development,314,93,41.87,1.6e-14,3.4896e-11,1.5509333333333334e-13,2.22,BP
GO:0044409,entry into host,31,23,4.13,1.7e-14,3.7077e-11,1.6190829694323146e-13,5.57,BP
GO:0046718,viral entry into host cell,31,23,4.13,1.7e-14,3.7077e-11,1.6190829694323146e-13,5.57,BP
GO:0051701,biological process involved in interacti...,31,23,4.13,1.7e-14,3.7077e-11,1.6190829694323146e-13,5.57,BP
GO:0052126,movement in host environment,31,23,4.13,1.7e-14,3.7077e-11,1.6190829694323146e-13,5.57,BP
GO:1903311,regulation of mRNA metabolic process,158,59,21.07,1.9e-14,4.1439000000000005e-11,1.793896103896104e-13,2.8,BP
GO:0032270,positive regulation of cellular protein ...,229,75,30.53,1.9e-14,4.1439000000000005e-11,1.793896103896104e-13,2.46,BP
GO:0051094,positive regulation of developmental pro...,243,78,32.4,2.0e-14,4.362e-11,1.8801724137931035e-13,2.41,BP
